suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,776.5 776.6 775.9 775.5 774.2 774.7 773.4 772.7 775.3 774.1,138,138,138,0,0,0,7,67.3,208
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1529 1530 1531 1529 1529 1530 1528 1548 1534 1530,224.7,224.7,224.8,0,0,0,29,138.2,527
CompilationBenchmarksBigWeekly,scalaz,60,1,27097 27090 27077 26785 26753 27097 27082 27430 26751 26726,3812,3812,3812,0,0,0,22,297.2,1426
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,242 241.8 253.2 242.1 240.7 242 241.1 240.9 242.1 242.1,61.04,61.04,61.04,0,0,0,2,41.3,128
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,160.7 161 159.9 161.2 160.6 160.7 159.3 159.5 160.4 160.5,45.86,45.86,45.86,0,0,0,6,22.9,60
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,150.2 150 147.6 149.7 149 149.4 149.2 148.3 149.3 148.5,40.12,40.13,40.13,0,0,0,2,22.3,72
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,146.8 147.5 146.5 146.1 146.8 146 146.2 147.5 146.2 145.9,40.03,40.03,40.03,0,0,0,2,19.8,74
CompilationBenchmarksSmallWeekly,findRef,150,1,112.4 112.1 112.1 111.6 113.1 112.2 110.4 111.9 111.5 111.9,30.27,30.28,30.28,0,0,0,6,21.9,75
CompilationBenchmarksSmallWeekly,i1535,150,1,184.2 185.1 185.1 184.2 184.9 183.6 183.4 182.6 184 184.4,44.54,44.54,44.55,0,0,0,3,61.4,151
CompilationBenchmarksSmallWeekly,i1687,150,1,125.8 124.3 124.3 124.6 124.4 123.7 123.7 123 124.5 123.5,33.35,33.35,33.35,0,0,0,4,25.8,84
CompilationBenchmarksSmallWeekly,implicitCache,150,1,171.1 170.7 170.9 171.2 170.5 171.1 170.7 184.4 172.8 170.4,44.18,44.19,44.19,0,0,0,5,22.8,85
CompilationBenchmarksSmallWeekly,implicitNums,150,1,375.5 378.2 376.2 375.6 375.1 375.5 375.1 374.5 378.8 375.2,80.91,80.91,80.92,0,0,0,0,39.4,206
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,173.5 172.6 173.1 173.2 172.7 172.1 173.7 172.6 173.5 173.1,44.48,44.48,44.48,0,0,0,3,28.6,61
CompilationBenchmarksSmallWeekly,tuple,150,1,186.9 187.7 186.6 187.9 187.3 187.9 187 187.1 187.2 187.4,46.75,46.75,46.75,0,0,0,1,29.9,75
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,150 149.3 149.8 149.5 147.9 148.8 149.5 148.4 148.5 148.9,38.78,38.79,38.79,0,0,0,10,34.2,101
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,184.4 183.6 184.3 184.9 184.5 184.3 183.7 184.1 181.1 184.5,44.79,44.79,44.79,0,0,0,0,28.6,115
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,115.2 116.4 116 115.4 115.9 115.6 116.3 115.5 115.8 115.9,33.03,33.03,33.03,0,0,0,0,10.9,22
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,134.3 135.8 134.9 134.6 134.8 134.9 134.2 135.1 134.5 134.7,36.59,36.6,36.6,0,0,0,6,49.8,137
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,171.5 172 171 171.3 171 170.2 171.2 170.9 171.4 171,44,44,44.01,0,0,0,1,29.7,75
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,121.8 121.9 120.8 121.5 120.9 120.6 121.6 120.7 122 124.2,34.6,34.6,34.6,0,0,0,2,19.7,50
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5126 5129 5129 5208 5246 5245 5236 5151 5256 5161,638.4,638.4,638.4,0,0,0,74,199.4,708
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,20.93 20.99 20.91 20.94 20.91 20.82 21.52 21.81 21.5 21.71,4.439,4.439,4.439,0,0,0,0,1,3
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.11 15.18 15.21 15.16 15.13 15.15 15.16 15.12 15.13 15.16,16.82,16.82,16.82,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,cd,20,1,29.76 30.1 30.25 30.5 31.24 30.56 30.58 27.32 27.31 27.25,36.4,36.49,36.52,0,0,0,0,0.8,4
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23.13 22.91 22.87 23.03 22.86 22.75 22.72 22.74 22.73 22.73,15.8,15.81,15.83,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,235.2 138.3 138.2 138.2 138.6 138.4 138.4 140.4 143.8 138.7,490.4,490.4,490.4,0,0,0,0,1.1,6
RuntimeBenchmarksAwfyWeekly,json,10,10,14.64 14.7 14.79 14.63 14.66 14.69 14.85 14.68 14.59 14.79,16.53,16.53,16.53,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,53.75 53.59 53.54 53.76 53.56 53.57 53.39 53.48 53.46 53.42,20.06,20.06,20.06,0,0,0,0,1.5,6
RuntimeBenchmarksAwfyWeekly,list,10,1000,74.56 74.46 74.38 74.83 74.11 74.1 74.24 74.29 74.12 74.24,0.7268,0.7268,0.7268,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.6 150.6 151 150.6 150.6 150.6 150.6,0.006784,0.006784,0.006784,0,0,0,0,0.9,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,410.7 406.8 407 407 407.1 407.1 407.7 407.2 407.1 406.9,60.01,60.01,60.01,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,permute,10,1000,110.8 110.8 110.8 129.3 178.6 110.8 110.8 110.8 110.8 110.8,226.3,226.3,226.3,0,0,0,0,0.8,2
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.97 29.59 29.54 29.77 29.63 29.59 29.73 29.53 29.74 29.66,1.367,1.367,1.367,0,0,0,0,1,4
RuntimeBenchmarksAwfyWeekly,richards,10,1000,110.3 110.1 110.2 110.3 110.3 110.2 113.5 110.6 110.4 110.3,0.9828,0.9828,0.9828,0,0,0,0,0.7,1
RuntimeBenchmarksAwfyWeekly,tracer,10,100,78.49 78.18 78.16 78.06 78.07 78.16 78.24 78.17 78.02 78,172.6,172.6,172.6,0,0,0,0,1.1,3
