suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26030 26029 26563 26820 27126 26467 27051 27221 27091 26268 27305 29263 28422 28349 27556 26823 26267 26544 26878 27174,4195,4195,4195,0,0,0,979,1129,1537
CompilationBenchmarksBigNightly,caskApp,150,1,584.4 579 595.9 562.1 552 560 556.2 558.5 554.7 553.4 553.1 553.3 554.4 556 559.3 554 557.9 556.3 574.5 593.1,108.5,108.5,108.5,0,0,0,5,98.35,274
CompilationBenchmarksBigNightly,dottyUtils,170,1,1103 1092 1091 1090 1090 1090 1090 1090 1103 1106 1089 1089 1089 1089 1089 1090 1087 1089 1088 1090,154.5,154.5,154.5,0,0,0,0,60.1,278
CompilationBenchmarksBigNightly,fansi,150,1,1280 1281 1283 1326 1282 1283 1280 1283 1278 1283 1283 1281 1280 1282 1280 1281 1280 1277 1283 1279,198.7,198.7,198.7,0,0,0,583,693,1123
CompilationBenchmarksBigNightly,parallelCollections,100,1,4523 4479 4478 4479 4479 4477 4477 4496 4527 4721 4784 4522 4646 4847 4518 4514 4516 4531 4821 4614,568.7,568.7,568.7,0,0,0,2,73.15,259
CompilationBenchmarksBigNightly,re2s,120,1,1835 1845 1800 1803 1801 1799 1795 1827 1809 1798 1799 1799 1800 1970 1856 1819 1799 1794 1795 1794,247.7,247.7,247.7,0,0,0,3,175.8,723
CompilationBenchmarksBigNightly,scalaToday,150,1,3265 3261 3263 3260 3258 3264 3258 3259 3264 3261 3259 3257 3260 3257 3258 3259 3257 3265 3260 3262,471.1,471.1,471.5,0,0,0,13,96.2,305
CompilationBenchmarksBigNightly,scalaYaml,80,1,4470 4487 4470 4469 4700 4680 4493 4461 4405 4455 4457 4458 4457 4457 4459 4459 4458 4455 4454 4455,540.5,540.6,540.8,0,0,0,13,162.1,413
CompilationBenchmarksBigNightly,sourcecode,170,1,919.9 916.4 918 929.2 919.2 917.1 917 916.5 907.9 906.8 905.1 905.4 904.1 910.7 905.7 905.2 905.3 905.1 905.2 905,161.4,161.4,161.5,0,0,0,1,80.2,333
CompilationBenchmarksBigNightly,tastyQuery,60,1,5136 5148 5140 5163 5142 5130 5130 5133 5132 5131 5127 5128 5124 5126 5126 5131 5125 5117 5118 5124,638.7,638.8,638.8,0,0,0,20,201,604
CompilationBenchmarksBigNightly,tictactoe,150,1,1113 1111 1119 1114 1110 1111 1155 1215 1118 1112 1115 1119 1108 1107 1108 1111 1107 1113 1118 1101,209.8,209.8,209.9,0,0,0,92,308.7,1161
CompilationBenchmarksSmallNightly,helloWorld,150,1,132.4 131.8 125.4 124.7 124.5 126 125.6 126.6 125.2 126.1 125 124.2 123.4 124.7 124.5 124.3 124.1 123.2 124.4 125.1,34.41,34.41,34.41,0,0,0,1,22.05,72
CompilationBenchmarksSmallNightly,implicitInductive,150,1,889.4 889.2 889 889 912.2 888 886.7 886.4 885.9 887.7 884.7 883.5 882.6 882.4 881.6 881.1 881.1 882.5 899.1 896.8,66.17,66.17,66.18,0,0,0,4,46.55,193
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,576.6 577.4 576.5 576.4 577.4 576.9 576.9 575.6 577 576.6 576.4 575.9 573.5 576.5 575.1 576 576.2 574.2 575.7 576.3,104.4,104.4,104.4,0,0,0,1,53.15,139
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,341.7 356.1 362.9 356.1 358.6 357.7 357.9 358.2 353.9 404.2 479 379.6 368.7 350.4 391.2 342.7 342.7 340.3 342.9 340.6,67.94,67.95,67.97,0,0,0,1,71.75,510
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.524 8.557 8.522 8.525 8.567 8.532 8.541 8.521 8.522 8.538,0.3672,0.3672,0.3672,0,0,0,0,0.1,1
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,132.7 131.5 131.7 131.5 131.5 131.8 134.9 136.8 131.4 131.3,350.6,350.6,350.6,0,0,0,0,1.2,4
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.31 22.35 22.29 22.34 22.31 22.34 22.29 22.35 22.31 22.3,6.574,6.574,6.574,0,0,0,0,1,4
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,456.9 457 457 456.9 457.7 457 457.1 511.1 501.5 457,267.5,267.5,267.5,0,0,0,0,1.2,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,26.56 26.52 26.51 26.56 26.51 26.63 27.13 26.48 26.5 26.5,5.613,5.613,5.613,0,0,0,0,1,4
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,93.18 93.18 93.18 93.18 93.1 93.25 92.94 92.88 92.97 96.16,96.1,96.1,96.1,0,0,0,0,1.2,5
