suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,861.7 804.8 787.1 795.4 786.4 784.9 784.3 785.8 783.3 783.5 784.6 784.2 786.7 783.8 783.2 772.9 770.8 776.8 771.4 771.6,138.7,138.7,138.7,0,0,0,7,73.3,220
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1524 1524 1645 1559 1533 1560 1539 1537 1524 1521 1516 1514 1515 1514 1515 1514 1513 1514 1513 1513,226.7,226.7,226.8,0,0,0,11,138.1,511
CompilationBenchmarksBigWeekly,scalaz,60,1,26603 26598 26828 27874 30409 28895 28373 27299 27026 27980 27282 26713 27668 27259 26534 26359 26372 26977 27628 27452,3821,3821,3821,0,0,0,23,200.6,868
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,239.4 239.5 238.4 239.7 238.2 239.4 238.3 237.9 239.7 240.7 239.2 242.4 239.3 240.1 237.8 240.2 241.8 240.3 237.4 237.1,61.11,61.13,61.15,0,0,0,1,58.35,163
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,163.4 165 164.3 163.6 162 164.6 176.2 162.8 163.7 163.7 163.3 162 162.2 162.4 163.2 162.3 162.3 163.3 162.5 161.5,45.39,45.4,45.4,0,0,0,1,21.55,54
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,157.4 156.1 155.3 157.2 157.3 154.7 157 157 153.1 156.2 156.5 156.6 155.1 149.6 146.7 160.9 148.4 148.5 146.1 145.2,39.63,39.63,39.64,0,0,0,0,23,98
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,142.5 143.4 142.4 141.3 142.4 141.7 142 141.4 141.9 142.1 141.1 141.7 141.5 141.5 140.4 141.3 140.6 140 140.9 144.1,39.6,39.61,39.61,0,0,0,0,32.25,126
CompilationBenchmarksSmallWeekly,findRef,150,1,112.9 112.6 112.6 112.9 129 116.7 112.8 112.6 112.8 112.2 112.9 111.6 111.6 110.9 113 111.2 111 111.5 110.7 110.1,30.39,30.4,30.4,0,0,0,2,28.75,85
CompilationBenchmarksSmallWeekly,i1535,150,1,187.5 187.3 187.4 186.3 187.1 187 186 187 186 186.9 184.9 186.4 185.9 185.9 186 185.3 186.1 184.5 188.9 185.2,44.53,44.54,44.54,0,0,0,2,35.8,146
CompilationBenchmarksSmallWeekly,i1687,150,1,120.4 120 120 119.3 118.7 119.8 120.5 119.7 125.7 119.7 119.6 119.8 117.9 134.8 120.7 120.6 121.2 120.7 121.7 121.5,32.84,32.84,32.84,0,0,0,0,18.15,74
CompilationBenchmarksSmallWeekly,implicitCache,150,1,176.4 183.7 169 166.5 166.7 164.3 167.3 167 165.6 167.1 167 167.2 166.2 166.3 166.8 166.2 166.4 165.6 166.7 166,44.25,44.25,44.25,0,0,0,1,22.05,75
CompilationBenchmarksSmallWeekly,implicitNums,150,1,355.5 354.4 355.4 355 354.9 355.3 355.1 354.4 353.9 356.1 355 354.5 354.5 354.6 354.7 354.1 355 354.5 354.6 354.8,82.15,82.15,82.15,0,0,0,0,26.85,190
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,174.3 174 174.3 175.9 173.7 174.6 174.2 174.7 173.3 174.6 174.5 174.4 173.6 174.1 173.4 173.9 174.3 172.5 174.2 173.3,44.43,44.43,44.43,0,0,0,0,26,80
CompilationBenchmarksSmallWeekly,tuple,150,1,197.6 192.4 185.6 185.2 184.8 184.9 184.4 184.2 185.8 184.4 184.1 183.8 184.1 184.9 183.7 184.1 184.1 185.4 183.8 182.9,46.76,46.76,46.77,0,0,0,2,29.25,112
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,144.1 166 144.4 144.9 144.8 144.7 143.8 144.6 144.5 148 143.8 144.2 143.8 142.7 143.1 143.5 143.3 142.8 143.2 143.4,38.11,38.11,38.12,0,0,0,2,23.8,99
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,173.5 174.2 175.4 174.2 174 196.5 184 174.3 173 174.2 172.8 174 173.8 174.1 173.4 173.7 173.9 173.2 173.6 173.5,44.63,44.63,44.64,0,0,0,0,26.7,115
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,114.4 114.8 114.3 114.4 114.5 114.3 114.4 114.1 114 114.7 114.9 114 114.1 114.4 113.9 113.7 113.9 113.4 113.2 113.9,33.06,33.06,33.07,0,0,0,0,15,46
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,135.4 134.2 134 135.8 134.8 133.4 134 134 134.4 134.4 134 133.8 133.8 133.5 134.5 133.1 133.1 133.7 133.4 133.1,36,36.01,36.02,0,0,0,0,36.2,116
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,178.9 179.7 178.9 178.3 178.5 179.1 178.6 178.5 176.9 179 177.8 178 177 177.7 176.6 178.5 177.5 176.7 177.2 174.1,43.66,43.67,43.68,0,0,0,11,40.6,108
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,118.3 118.4 118.2 117.1 118.2 117.9 117.4 117.8 117.1 118 117.6 117.3 116.5 123.6 116.6 116.3 116.5 116 116.4 116.5,34.07,34.07,34.08,0,0,0,0,22.1,76
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5120 5089 5086 5169 5148 5145 5142 5145 5143 5141 5142 5141 5139 5139 5211 5141 5532 5162 5189 5138,639.6,639.6,639.7,0,0,0,23,173,713
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.89 21.96 21.55 21.83 22.02 21.59 21.24 21.58 21.57 22.08,4.439,4.439,4.439,0,0,0,0,0.7,3
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.17 15.29 15.22 15.21 15.22 15.17 15.18 15.15 15.16 15.16,16.82,16.82,16.82,0,0,0,0,0.9,3
RuntimeBenchmarksAwfyWeekly,cd,20,1,29.33 29.37 29.36 29.44 29.37 30.11 29.5 27.56 27.58 27.57 27.58 27.53 27.51 27.56 27.54 27.5 27.55 27.56 27.54 27.57,36.4,36.44,36.52,0,0,0,0,0.6,5
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23.41 23.16 23.17 23.23 23.12 23.04 23.04 23 23.01 23.06,15.8,15.81,15.83,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,211 139.2 139 139.2 139.3 139.3 142.5 144.8 139.4 139.3 139.1 139.3 139.4 139.1 139.4 139.2 139.7 141 139.2 139.6,490.4,490.4,490.4,0,0,0,0,0.45,5
RuntimeBenchmarksAwfyWeekly,json,10,10,14.6 14.61 14.63 14.6 14.64 14.62 14.6 14.64 14.61 14.66,16.53,16.53,16.53,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,155.1 163.7 155.8 156.1 155.7 155.9 155.8 155.3 155.4 155.9 156.9 155.9 156.2 155.7 154.9 156.4 155.7 154.9 155 155.5,24.86,24.86,24.86,0,0,0,0,1.65,6
RuntimeBenchmarksAwfyWeekly,list,10,1000,70.12 70.58 70.86 70.72 70.51 70.55 70.49 70.62 70.89 70.3,0.7268,0.7268,0.7268,0,0,0,0,0.4,1
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 151 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 152.9 150.6,0.006784,0.006784,0.006784,0,0,0,0,0.6,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,410.8 407.1 407.3 408 412.2 407.8 417.7 413.9 407.4 410.4,60.01,60.01,60.01,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,permute,10,1000,110.2 110.2 110.3 121.5 186 110.2 110.2 110.3 110.1 110.2,226.3,226.3,226.3,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.76 29.83 29.55 29.64 29.66 29.74 29.63 29.44 29.86 29.36,1.367,1.367,1.367,0,0,0,0,0.6,3
RuntimeBenchmarksAwfyWeekly,richards,10,1000,103.1 103 103.1 103 103.1 103.2 103 105.9 103.6 103.2,0.9828,0.9828,0.9828,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,tracer,10,100,78.3 77.78 77.94 78.13 77.72 77.88 77.52 77.46 77.29 77.25,172.6,172.6,172.6,0,0,0,0,1.2,4
RuntimeBenchmarksLibsWeekly,fansiFormat,10,1,21.52 21.6 21.51 21.55 22.24 21.51 21.66 21.47 21.48 21.45 21.48 21.49 21.52 21.78 21.47 21.46 21.49 21.51 21.57 21.57,37.36,37.36,37.36,0,0,0,0,0.9,5
RuntimeBenchmarksLibsWeekly,wordFreqParser,10,1,38.39 38.42 38.42 38.4 38.41 38.48 38.48 38.54 38.37 38.38 38.4 38.4 38.43 38.42 38.52 38.5 38.43 38.46 58.53 38.48,71.2,71.2,71.2,0,0,0,0,1.25,4
RuntimeBenchmarksLibsWeekly,yamlDecode,10,1,227.2 223.4 223.3 223.7 226.1 223.2 223.2 223.2 223.2 223.9 223.5 223.1 223.3 223.3 223.1 292.8 223 222.9 223.1 222.9,408.7,408.7,408.7,0,0,0,0,1.7,5
RuntimeBenchmarksLibsWeekly,yamlEncode,10,1,54.13 54.12 53.97 54.03 53.97 53.95 53.97 53.98 53.96 54 53.94 54.03 72.03 60.05 54.44 53.91 53.96 54 54.47 53.98,82.37,82.37,82.37,0,0,0,0,1.05,5
