suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26553 26993 27172 26717 27008 27188 26144 26379 26564 26112 26867 27182 27103 27065 27358 26774 26097 27016 27357 27469,4221,4222,4222,0,0,0,948,1108,1522
CompilationBenchmarksBigNightly,caskApp,150,1,563.8 560.8 560.2 565.6 559.8 559.6 560.4 561.2 560.4 559.4 555.7 563.3 627.1 585.2 565 553.2 557.5 559.5 559.4 550.8,107.6,107.6,107.6,0,0,0,4,94.35,261
CompilationBenchmarksBigNightly,dottyUtils,170,1,1146 1136 1101 1099 1088 1084 1089 1088 1085 1088 1083 1082 1085 1087 1085 1088 1085 1083 1104 1096,155.4,155.4,155.4,0,0,0,0,68.45,455
CompilationBenchmarksBigNightly,fansi,150,1,1291 1282 1294 1280 1291 1288 1288 1297 1287 1289 1290 1291 1294 1292 1282 1279 1283 1291 1283 1278,200.5,200.5,200.5,0,0,0,461,579.8,1041
CompilationBenchmarksBigNightly,parallelCollections,100,1,4512 4512 4511 4511 4511 4511 4511 4510 4546 4510 4508 4509 4507 4934 4537 4730 4722 4510 4514 4506,572.6,572.6,572.7,0,0,0,1,68.4,224
CompilationBenchmarksBigNightly,re2s,120,1,1749 1752 1752 1753 1753 1753 1749 1768 1757 1753 1749 1751 1749 1746 1758 1798 1780 1775 1780 1777,250.1,250.1,250.2,0,0,0,0,205.1,993
CompilationBenchmarksBigNightly,scalaToday,150,1,3188 3187 3187 3184 3185 3191 3183 3183 3188 3182 3182 3181 3185 3182 3182 3183 3182 3186 3181 3183,470.8,470.8,470.8,0,0,0,19,118.3,310
CompilationBenchmarksBigNightly,scalaYaml,80,1,4397 4445 4509 4487 4503 4488 4483 4513 4436 4393 4391 4390 4390 4400 4392 4392 4405 4389 4385 4390,543.3,543.4,543.6,0,0,0,13,149.1,385
CompilationBenchmarksBigNightly,sourcecode,170,1,914.1 907.7 911.9 909.7 911 909.5 907.9 902.6 906.4 906.7 905.8 905.5 902.4 906.2 905 904.4 905.4 917.3 918.1 917.3,161.8,161.8,161.8,0,0,0,0,82.15,327
CompilationBenchmarksBigNightly,tastyQuery,60,1,5010 5009 5004 5003 4999 5059 5059 5057 5101 5110 5213 5275 5067 5227 5242 5197 5189 5156 5208 5018,643.7,643.7,643.8,0,0,0,25,199.9,668
CompilationBenchmarksBigNightly,tictactoe,150,1,1130 1135 1127 1129 1127 1125 1125 1124 1130 1126 1129 1122 1123 1122 1122 1128 1122 1124 1135 1119,211.3,211.3,211.3,0,0,0,19,212,1275
CompilationBenchmarksSmallNightly,helloWorld,150,1,121.5 122.2 121.1 121.2 121.2 121.2 122.8 121.3 122.9 121.8 121.7 121.7 122.5 121.6 121.3 121.5 121.3 122 120.7 120.9,33.79,33.79,33.79,0,0,0,0,22.75,74
CompilationBenchmarksSmallNightly,implicitInductive,150,1,884.8 885 885 884.6 883.8 884.6 884.4 884.7 883.2 884.3 882.5 884.3 883.3 883 883.2 882.7 883 882.5 883.4 882.7,66.25,66.25,66.26,0,0,0,1,43.95,184
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,575.9 575.2 575.6 575.4 574.5 575.4 576.9 574.8 649.1 576.9 575 574.4 579 570.4 569.2 569.7 570.1 571.5 569.4 568.1,104.2,104.2,104.2,0,0,0,1,54,161
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,337.4 349.1 356.5 357.7 351.9 354.2 356.7 358.2 354.3 354.4 350.3 335.3 335.7 333.6 357 356.4 355.4 341.7 356.9 356.6,67.63,67.64,67.66,0,0,0,1,63.65,267
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.527 8.526 8.536 8.529 8.576 8.536 8.527 8.54 8.524 8.535,0.3672,0.3672,0.3672,0,0,0,0,0,0
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,191.4 186.3 186.3 186.3 186.7 186.6 186.7 186.2 186.1 186.2,350.4,350.4,350.4,0,0,0,0,2.7,15
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.29 22.35 22.35 22.32 22.29 22.35 22.29 22.26 22.32 22.31,6.574,6.574,6.574,0,0,0,0,1,4
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,454 452.7 452.5 453.3 452.5 452.4 491.4 517.1 452.6 455,267.5,267.5,267.5,0,0,0,0,1.2,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,25.94 25.98 26.59 25.94 25.7 26.04 25.88 26.66 26.1 25.71,5.613,5.613,5.613,0,0,0,0,1.1,5
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,93.38 93.24 93.26 93.34 93.25 93.42 93.14 93.22 93.21 96.27,96.1,96.1,96.1,0,0,0,0,1.6,5
