suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26426 26456 26585 26841 27331 27310 26890 26912 26736 26504 26454 26785 26875 26795 26918 27119 26923 26722 26474 26432,4300,4300,4307,0,0,0,898,1065,1437
CompilationBenchmarksBigNightly,caskApp,150,1,581.3 583 582.8 588.8 569.7 566.3 567.7 567.5 587.5 568.6 569.1 570.9 569.6 590.6 573.5 564.8 563.8 584.2 567.9 559.9,108.1,108.1,108.1,0,0,0,4,110.3,348
CompilationBenchmarksBigNightly,dottyUtils,170,1,1088 1088 1088 1087 1089 1147 1124 1088 1087 1094 1086 1086 1085 1123 1088 1087 1084 1086 1086 1087,154.4,154.4,154.4,0,0,0,4,62.1,275
CompilationBenchmarksBigNightly,fansi,150,1,1315 1320 1318 1318 1302 1300 1300 1302 1300 1315 1300 1301 1315 1318 1301 1302 1309 1335 1302 1300,200.4,200.5,200.7,0,0,0,469,589.1,998
CompilationBenchmarksBigNightly,parallelCollections,100,1,4487 4510 4486 4489 4842 4513 4490 4492 4549 4575 4559 4557 4563 4550 4486 4496 4502 4498 4495 4534,574,574,574,0,0,0,1,75.15,250
CompilationBenchmarksBigNightly,re2s,120,1,1832 1838 1825 1847 1827 1799 1794 1811 1812 1797 1794 1799 1793 1791 1824 1791 1791 1811 1788 1787,250.7,250.7,250.7,0,0,0,6,187.5,772
CompilationBenchmarksBigNightly,scalaToday,150,1,3265 3265 3264 3263 3262 3425 3455 3268 3263 3263 3283 3261 3261 3274 3263 3260 3261 3262 3262 3259,471.8,471.8,471.9,0,0,0,30,122.1,299
CompilationBenchmarksBigNightly,scalaYaml,80,1,4484 4484 4486 4481 4480 4488 4482 4478 4477 4477 4475 4476 4475 4475 4831 4569 4475 4529 4769 4538,549.7,549.8,550.1,0,0,0,13,171.6,457
CompilationBenchmarksBigNightly,sourcecode,170,1,919 923 919.3 920.7 917.7 918.7 917.6 921.6 916.4 918.6 915 917.5 919.5 920.5 915.6 916.5 915.2 914.2 914.8 916.4,161.9,161.9,162.1,0,0,0,2,80.95,333
CompilationBenchmarksBigNightly,tastyQuery,60,1,5208 5132 5068 5077 5068 5064 5064 5061 5061 5058 5059 5059 5056 5056 5057 5056 5117 5273 5053 5262,638.8,638.8,638.9,0,0,0,19,197.9,686
CompilationBenchmarksBigNightly,tictactoe,150,1,1156 1155 1154 1156 1153 1153 1153 1159 1158 1154 1157 1151 1150 1149 1152 1159 1149 1151 1165 1134,212.7,212.8,212.8,0,0,0,64,280.5,1283
CompilationBenchmarksSmallNightly,helloWorld,150,1,126 125.6 124.4 124.9 124.4 124.1 124.6 123.5 124.4 123.7 124.3 125.7 125.1 124.3 123.7 122.9 123.3 123.2 122.1 122.1,33.83,33.83,33.84,0,0,0,0,23.95,63
CompilationBenchmarksSmallNightly,implicitInductive,150,1,895.7 896.1 896.7 894.9 895.2 893.1 897.7 896.3 893.9 895.9 894.6 913 900.6 904.1 910.2 908.7 901.8 909.4 912 903.4,65.4,65.4,65.41,0,0,0,1,43.25,191
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,573.8 573.9 574.7 573.8 574.7 573.9 572.9 574.3 573.8 573.9 573.9 573.6 571.7 573.7 573.5 573.3 573.7 573.2 572.9 573.2,102.7,102.7,102.7,0,0,0,3,49.15,152
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,337.4 337.7 337.9 336.6 336.5 339.2 339.4 340.4 335 335.8 337.8 338.9 336.6 338.5 338.1 337.6 337.9 336.9 338.1 336.5,68.18,68.19,68.21,0,0,0,3,61.75,236
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.523 8.522 8.523 8.533 8.522 8.532 8.519 8.525 8.522 8.521,0.3672,0.3672,0.3672,0,0,0,0,0.1,1
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,168.9 173.1 173.7 168.5 168.4 168.8 168.8 168.8 168.8 168.9,350.4,350.4,350.4,0,0,0,0,3,19
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.31 22.37 22.33 22.35 22.34 22.51 22.34 22.35 22.39 22.32,6.574,6.574,6.574,0,0,0,0,0.9,4
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,461.1 456.1 456 456 455.8 456 455.9 457.2 456 455.9,267.5,267.5,267.5,0,0,0,0,1.1,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,25.11 25.3 25.82 24.96 25.06 25.18 25.47 25.12 25.05 25.01,5.613,5.613,5.613,0,0,0,0,1.2,5
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,94.16 94.52 94.33 94.46 94.2 94.17 94.26 94.19 94.15 97.75,96.1,96.1,96.1,0,0,0,0,1.4,5
