suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,783.8 783.8 783 782.7 781.6 781.8 780.9 780.5 782 781.8 781.5 780.8 780.9 781.7 781.1 780.9 781.6 779.9 781.1 781,138.9,138.9,138.9,0,0,0,2,60.5,210
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1563 1790 1552 1543 1542 1543 1545 1540 1543 1541 1715 1559 1549 1554 1551 1553 1550 1551 1550 1694,226.1,226.2,226.3,0,0,0,16,143.2,510
CompilationBenchmarksBigWeekly,scalaz,60,1,27792 27225 26838 27789 27522 26744 26654 26715 26685 27557 27921 27117 26653 27609 27909 26939 26639 27110 28025 27516,3844,3844,3844,0,0,0,21,193.8,853
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,242.7 242.8 242.6 242.8 241.8 243.1 242.2 241.4 243.1 243.2 242.5 241.6 242.1 242.3 240.2 243 244.4 246.6 242.4 239.4,61.1,61.13,61.15,0,0,0,0,80,638
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,159.9 182.8 175.8 158.2 158 158.9 157.5 157.9 158 164.2 158 158.1 158.4 158.3 158.1 158.7 158.5 157.6 158 157.9,44.46,44.47,44.47,0,0,0,1,28.7,84
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,147.6 147.3 147.3 147.5 147.1 147.4 146.2 146.9 147.4 147.2 145.6 145.2 146.7 145.1 144.5 144.5 145.7 145.9 144.5 144,39.16,39.17,39.17,0,0,0,2,26.35,80
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,156.7 154.2 152.9 150.5 152.4 152.7 152.6 152 152.9 152.6 150.1 153.1 151.5 150.5 158.6 152.8 151.5 149.8 152.2 162,39.3,39.31,39.32,0,0,0,0,30.4,107
CompilationBenchmarksSmallWeekly,findRef,150,1,115.4 114 114.2 114.2 115.2 114.7 113.8 113.7 114.1 113.5 113 113.3 113.5 113.1 114.7 113.4 113.2 112.9 112.8 112,30.19,30.2,30.2,0,0,0,4,28.95,74
CompilationBenchmarksSmallWeekly,i1535,150,1,196.6 197.7 205.5 193.9 193.1 192.2 194.5 191.8 192.7 192.2 195 193 207 196.4 209.4 194.4 191.1 193.3 190.4 189.9,44.44,44.44,44.44,0,0,0,1,35.4,147
CompilationBenchmarksSmallWeekly,i1687,150,1,115.2 115.6 115.3 115 114.9 114.9 115.2 115 115 114.7 115 116.1 115.1 115.7 115.7 115.7 115.7 115.6 115.7 115.6,32.92,32.92,32.92,0,0,0,3,19.55,71
CompilationBenchmarksSmallWeekly,implicitCache,150,1,175.5 172.4 171.9 171.5 177 172.1 172.8 172.5 171 174 174.1 173.8 172.2 173.8 173.6 173 172 187.2 176.2 172.9,44.04,44.04,44.05,0,0,0,1,23.05,85
CompilationBenchmarksSmallWeekly,implicitNums,150,1,360.3 360.2 359.8 359.7 363.2 363.2 363.5 362.7 361.5 360.5 359.7 360.5 359.6 359.8 359.5 359.4 360.4 359.2 362.7 362.1,82.97,82.97,82.97,0,0,0,1,32.8,211
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,170.9 168.9 169 168.8 168.1 168.6 168.6 168.3 170.2 169.1 168.9 167.9 168 167.6 167.6 168.1 169 169.1 168 167.2,44.48,44.48,44.48,0,0,0,0,25.2,108
CompilationBenchmarksSmallWeekly,tuple,150,1,186.5 187.2 185.4 187.5 186.8 187 186.8 186.6 186.8 187.3 185.9 187.3 186 187.4 186.5 185.6 186 186 186.3 185.6,46.89,46.89,46.9,0,0,0,3,25.4,76
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,148.2 149.4 148.9 149.6 149.5 149.6 147 149.2 148.5 148.7 147.8 148.2 147.4 147.3 147.9 147.9 147.7 147.1 145.4 148.1,38.13,38.13,38.14,0,0,0,3,37.5,165
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,172.3 171.8 174 172.7 172.6 172.4 172.5 172.6 171 172.4 170.8 171.9 172.3 172.1 171.6 172 172 171.3 171.5 171.5,44.63,44.64,44.64,0,0,0,0,21.4,98
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,116.3 116.4 116.1 116.3 115.9 115.5 115.3 115.3 116 115.8 115.8 115.7 115.5 115.4 115.6 115.9 115.4 116.3 116.3 115.1,33.16,33.17,33.17,0,0,0,1,12.8,48
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,135.5 134.4 134.7 135.8 134.3 133.5 134.1 134.2 134.4 134.4 134.2 134 133.5 134.3 134.1 133.7 134.2 134.7 134.3 133.3,36.12,36.12,36.13,0,0,0,0,28.95,73
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,171.3 169.9 169.7 170.2 176.4 170 170.6 170.8 171.3 170.9 171.6 170.2 170.2 169.4 169.8 171.3 169.7 169.8 171.3 169.6,43.54,43.54,43.55,0,0,0,1,45.3,133
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,126.4 126 125.7 126 125.7 125 125.6 125.4 126.7 126 124.9 125 125.8 125.1 124.2 124.7 125.2 125.6 124.1 124.3,34.15,34.15,34.15,0,0,0,0,25.55,73
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5127 5128 5125 5131 5060 5052 5051 5053 5119 5048 5049 5050 5067 5046 5046 5044 5043 5105 5199 5159,633.7,633.7,633.8,0,0,0,26,165,665
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.95 21.75 21.98 21.82 21.85 21.77 21.85 21.86 21.56 21.84,4.439,4.439,4.439,0,0,0,0,0.7,3
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.13 15.15 15.27 15.17 15.14 15.12 15.13 15.14 15.12 15.11,16.82,16.82,16.82,0,0,0,0,1.1,5
RuntimeBenchmarksAwfyWeekly,cd,20,1,29.4 29.37 29.38 29.37 29.34 30.16 29.6 27.81 27.75 27.73 27.69 27.68 27.65 27.73 27.71 27.69 27.69 27.69 27.67 27.66,36.4,36.44,36.52,0,0,0,0,0.95,6
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23.16 22.94 22.91 22.97 22.86 22.76 22.78 22.74 22.74 22.75,15.8,15.81,15.83,0,0,0,0,0.7,1
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,214.9 139.1 139.2 139.3 139.1 139.5 142.6 144.6 139.4 139.4 139.1 139.6 139.4 139.4 139.5 139.1 140 140.9 139.2 139.3,490.4,490.4,490.4,0,0,0,0,0.75,5
RuntimeBenchmarksAwfyWeekly,json,10,10,14.62 14.64 14.64 14.68 14.7 14.77 14.78 14.75 14.65 14.7,16.53,16.53,16.53,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,98.27 98.32 97.84 97.98 98.12 97.78 96.83 97.53 106 97.06 98.17 97.17 97.34 97.41 97.17 97.66 97.17 97.48 97.05 97.37,24.86,24.86,24.86,0,0,0,0,1.65,7
RuntimeBenchmarksAwfyWeekly,list,10,1000,74.98 74.5 75.56 75.06 74.58 74.76 74.8 74.74 74.56 74.56,0.7268,0.7268,0.7268,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.6 150.6 150.6 151 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 152.7,0.006784,0.006784,0.006784,0,0,0,0,0.6,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,410.7 406.6 407.2 407.5 411.8 407.2 418.7 411.9 407.1 409.8,60.01,60.01,60.01,0,0,0,0,1.1,4
RuntimeBenchmarksAwfyWeekly,permute,10,1000,111.1 111.2 111.2 133.4 174.1 111.2 111.1 111.1 111.2 111.2,226.3,226.3,226.3,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.83 29.69 29.77 29.83 29.68 29.51 29.67 29.84 29.59 29.9,1.367,1.367,1.367,0,0,0,0,1.1,4
RuntimeBenchmarksAwfyWeekly,richards,10,1000,117 117 117 117.1 116.9 117 120.4 117 117 117,0.9828,0.9828,0.9828,0,0,0,0,0.4,1
RuntimeBenchmarksAwfyWeekly,tracer,10,100,97.83 97.51 97.53 281.5 81.24 74.65 74.75 74.74 77.62 80.34,163,163,163,0,0,0,0,1.5,5
RuntimeBenchmarksLibsWeekly,fansiFormat,10,1,21.47 21.54 21.43 21.47 22.36 21.44 21.44 21.42 21.45 21.43 21.45 21.43 21.43 21.71 21.45 21.41 21.49 21.51 21.55 21.57,37.36,37.36,37.36,0,0,0,0,1.4,5
RuntimeBenchmarksLibsWeekly,wordFreqParser,10,1,45.19 45.21 45.44 45.29 145 39 38.93 38.96 38.97 39.01 39 39.03 39.03 39.1 39.04 39.09 47.46 39.42 38.97 38.89,71.2,71.2,71.2,0,0,0,0,1.5,6
RuntimeBenchmarksLibsWeekly,yamlDecode,10,1,193.7 200.4 197.2 193.7 193.7 193.6 196 193.8 193.5 193.7 193.7 193.8 193.5 193.7 193.6 193.9 193.5 195.4 193.6 193.6,384,384,384,0,0,0,0,1.75,5
RuntimeBenchmarksLibsWeekly,yamlEncode,10,1,54.96 55.08 54.83 54.7 54.82 54.85 54.82 54.88 54.7 54.94 54.9 54.88 84.49 54.85 55.13 54.78 54.68 54.83 55.27 54.72,82.37,82.37,82.37,0,0,0,0,1.25,5
