suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27056 27413 27779 26355 26316 26394 27508 27543 27173 27869 27607 26804 27405 27438 26360 26260 26269 26276 27169 27664,4170,4172,4177,0,0,0,935,1125,1480
CompilationBenchmarksBigNightly,caskApp,150,1,554.6 557.1 555.2 554.5 553.6 555.7 553.6 554.7 553.4 555.7 553.7 553.2 552.3 553.5 550.6 554.6 553.4 552.5 552 552.4,107.8,107.8,107.8,0,0,0,3,102.2,334
CompilationBenchmarksBigNightly,dottyUtils,170,1,1095 1176 1114 1121 1113 1150 1143 1140 1148 1123 1139 1137 1140 1129 1146 1136 1139 1123 1088 1201,154.8,154.8,154.8,0,0,0,1,73.1,272
CompilationBenchmarksBigNightly,fansi,150,1,1310 1310 1313 1314 1313 1308 1310 1310 1298 1297 1297 1298 1295 1323 1296 1299 1307 1307 1314 1303,201.3,201.4,201.6,0,0,0,453,541.1,1010
CompilationBenchmarksBigNightly,parallelCollections,100,1,4526 4526 4524 4525 4526 4523 4525 4526 4489 4746 4657 4533 4530 4530 4532 4947 4559 4542 4522 4545,573.3,573.3,573.3,0,0,0,0,79.65,261
CompilationBenchmarksBigNightly,re2s,120,1,1818 1818 1823 1819 1826 1885 1913 1837 1841 1820 1866 1834 1821 1812 1852 1811 1808 1825 1805 1805,250.9,250.9,250.9,0,0,0,4,204.5,1039
CompilationBenchmarksBigNightly,scalaToday,150,1,3392 3416 3300 3309 3301 3299 3302 3300 3300 3298 3297 3297 3297 3297 3300 3298 3297 3298 3297 3295,480.1,480.2,480.2,0,0,0,16,111.4,286
CompilationBenchmarksBigNightly,scalaYaml,80,1,4389 4395 4389 4388 4385 4447 4437 4434 4432 4431 4430 4435 4457 4534 4554 4542 4518 4533 4542 4434,542,542,542.2,0,0,0,25,176.9,512
CompilationBenchmarksBigNightly,sourcecode,170,1,910.4 908.9 911.8 910.1 910.4 909.5 909.3 909.7 909.7 909 908.4 907.9 905.8 913.3 906.8 907.4 907.6 905.9 905.8 906.5,162.7,162.7,162.9,0,0,0,2,77.4,331
CompilationBenchmarksBigNightly,tastyQuery,60,1,5143 5202 5322 5252 5227 5111 5096 5076 5501 5106 5075 5072 5070 5072 5071 5076 5214 5243 5220 5070,634.7,634.7,634.9,0,0,0,15,193.8,632
CompilationBenchmarksBigNightly,tictactoe,150,1,1147 1149 1148 1148 1149 1147 1149 1145 1144 1144 1143 1146 1144 1144 1143 1140 1144 1140 1143 1141,211.8,211.8,211.8,0,0,0,10,186.4,984
CompilationBenchmarksSmallNightly,helloWorld,150,1,124.3 124.3 124.3 123.8 123.5 122.7 123.7 123.2 125 124.6 123.2 123.3 123.6 123 122.3 122.4 122 121.4 121.9 122.3,33.88,33.88,33.89,0,0,0,1,22.3,60
CompilationBenchmarksSmallNightly,implicitInductive,150,1,894 893.6 893.5 892.6 892 892.9 892.8 892.9 895.5 892.7 893.5 891.9 892.4 915.3 903.1 891.9 899.9 893.7 891.2 906.1,66.76,66.77,66.78,0,0,0,0,46.7,187
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,584.5 583.5 583.4 582.8 582.3 583.2 584.9 582.5 582.4 582.3 583.7 582 583.1 583 581.9 581.9 582.8 582.9 582.1 579.8,105.7,105.7,105.7,0,0,0,0,60.2,161
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,353.7 358.5 354 350 348.8 346.2 342.5 343.3 344.5 346.8 340.7 341.4 344.2 348 345.3 352.1 345.8 340.7 342.8 342.1,68.19,68.2,68.33,0,0,0,0,69.55,455
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.542 8.522 8.524 8.562 8.528 8.528 8.538 8.525 8.539 8.524,0.3672,0.3672,0.3672,0,0,0,0,0.1,1
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,191.6 186.3 186.3 186.6 186.4 186.5 186.8 186.1 186.2 186.2,350.4,350.4,350.4,0,0,0,0,2.9,18
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.26 22.28 22.25 22.27 22.27 22.33 22.26 22.21 22.27 22.25,6.574,6.574,6.574,0,0,0,0,0.9,4
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,451.4 451.5 451.4 451.4 452.1 451.5 451.1 473.9 527.9 451.2,267.5,267.5,267.5,0,0,0,0,1.1,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,26.5 26.51 26.48 26.5 26.5 26.57 27.06 26.48 26.46 26.47,5.613,5.613,5.613,0,0,0,0,1.4,5
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,94.08 93.53 93.53 93.54 93.52 93.68 93.21 93.69 93.14 97.04,96.1,96.1,96.1,0,0,0,0,1.1,5
