suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,789.2 788 787.1 793.1 787.7 787.5 787.2 787.6 785.8 786.2 786.6 788 789.5 787.1 785.6 788.2 784.9 791.7 785.5 785.9,138.7,138.7,138.7,0,0,0,2,55.55,218
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1537 1539 1556 1553 1560 1557 1554 1571 1561 1560 1553 1556 1557 1699 1572 1558 1591 1680 1609 1600,226,226.2,226.2,0,0,0,14,162.7,620
CompilationBenchmarksBigWeekly,scalaz,60,1,28391 27985 27498 27949 27545 27032 26959 27149 28627 28498 27704 28147 27809 27003 26880 28121 28072 27515 28364 28019,3827,3827,3828,0,0,0,9,224.9,1383
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,242.4 242.2 241.8 275.8 241.2 242.2 241.3 240.7 250.6 244 242 251.2 244 243.6 240.3 241.3 243 254.1 256.5 250.6,61.17,61.2,61.23,0,0,0,0,87.65,688
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,164.8 165 166.1 165.2 165.4 165 190.8 171 185.2 168.1 168.6 168.5 168.2 168.2 167.6 167 167.2 168.8 167.5 166.7,44.56,44.57,44.57,0,0,0,0,24.1,64
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,146.8 145.8 147.3 146.7 147.4 146.4 146.7 147.2 145.3 147.2 146.7 146.5 146.2 146.9 146.3 146.2 146.5 145.1 146.4 145.8,39.21,39.21,39.21,0,0,0,0,21.75,71
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,149.3 149.2 148.8 149.4 148.9 147.6 148.3 148.5 148.5 147.9 148.5 148.1 148.2 148.7 149.8 147.9 147.1 148 147.4 146.7,39.19,39.2,39.21,0,0,0,0,33.4,133
CompilationBenchmarksSmallWeekly,findRef,150,1,116.1 114.1 114.8 132.4 113.3 113.9 113.3 113.4 113.1 112.9 113 113.1 113.3 112.3 114 113.9 113.4 114.4 113.7 112.4,30.38,30.38,30.39,0,0,0,2,31.95,122
CompilationBenchmarksSmallWeekly,i1535,150,1,186.6 185.8 186.1 186.5 185.6 185.1 186.6 185.4 185.3 185.2 186.2 185.4 185.1 184.6 184.3 184.6 184.6 185.4 184.7 183.8,44.43,44.43,44.43,0,0,0,4,33.7,104
CompilationBenchmarksSmallWeekly,i1687,150,1,119.7 119.5 119.4 119.6 119.6 119 119.9 118.7 119.8 118.5 118.3 118 119.4 118.3 118.9 119.1 119.5 119 118.5 118.3,32.76,32.76,32.76,0,0,0,1,21.45,74
CompilationBenchmarksSmallWeekly,implicitCache,150,1,174.5 182.1 184.6 173.5 170.7 170.3 175.1 170.7 171.5 169.8 177.5 171.2 171.1 171.6 170.2 169.2 170.3 170.5 169.3 168.4,44.03,44.03,44.03,0,0,0,1,26.1,88
CompilationBenchmarksSmallWeekly,implicitNums,150,1,363.5 379.5 364.4 362.8 362 363.3 362.6 361.5 371.8 361.8 361.8 361.9 361.1 361.1 361 362.9 361.5 362.3 361.1 360.8,82.38,82.38,82.39,0,0,0,0,29.8,211
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,176.6 173.3 174.4 177.1 173 174.4 175.8 173.2 174.6 174.1 174 173.6 172.7 173.2 173.3 172.3 172.8 174 173 172.2,44.53,44.53,44.53,0,0,0,0,25.9,81
CompilationBenchmarksSmallWeekly,tuple,150,1,186 185.8 185.7 185.9 185.8 185.6 185.3 185.5 184.8 185.7 185.5 186.9 184.7 186.7 184.9 184.1 185.1 184.1 185.1 183.1,46.84,46.84,46.85,0,0,0,2,26.15,64
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,149.1 150.9 150.1 150.9 150.5 150.9 148.2 150.3 150 150.5 149.3 149.5 149.2 148.3 149.4 149.2 148.8 148.6 149.1 149.4,38.3,38.3,38.31,0,0,0,3,28.7,88
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,172.9 173.6 174.6 174.4 174.1 174.2 174.1 182.3 173.5 184.9 172.4 172.5 172.2 172.5 172.2 172.4 172.5 172.6 172.2 172.5,44.68,44.68,44.68,0,0,0,0,16.5,104
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,117.7 117.7 117 117.3 116.6 116.7 116.5 116.9 117.3 117.1 117 117.6 117 116.6 116.9 116.7 116.5 127.5 118.3 116.4,33.11,33.11,33.11,0,0,0,0,15.55,61
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,135.7 135.2 135.4 136 134.7 134.4 134.3 134 135.4 134.9 134.6 134.3 135.1 134.3 135.1 134 134 134.9 134.3 133.4,36.11,36.11,36.12,0,0,0,0,29.5,82
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,172.3 172.6 172.9 172.8 172.6 172.4 172.1 172.3 171 171.8 170.8 171.8 171.3 171.9 170.8 172.6 171.3 170.7 171.4 169.1,43.55,43.56,43.56,0,0,0,2,38.6,108
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,117.2 118.5 117.1 118 116.5 116.3 116 116.5 116.3 116.9 116.5 116 115.5 115.8 116.1 115.7 116.3 117 117.4 117.3,34.18,34.18,34.19,0,0,0,0,21.7,62
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,4991 4989 4988 4994 4994 4985 4986 5046 5047 5043 5043 5043 5042 5042 5044 5041 5040 5042 5038 5039,631.9,632,632.1,0,0,0,24,172.9,647
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,22.1 22.04 21.89 21.95 21.92 22.12 21.97 21.86 22.02 21.9,4.439,4.439,4.439,0,0,0,0,0.9,2
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.19 15.26 15.26 15.18 15.19 15.2 15.18 15.18 15.22 15.21,16.82,16.82,16.82,0,0,0,0,1.1,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,29.31 29.34 29.39 29.35 29.3 30.06 29.55 27.76 27.69 27.63 27.7 27.73 27.77 27.75 27.76 27.71 27.69 27.72 27.77 27.73,36.4,36.44,36.52,0,0,0,0,1.1,6
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23.19 22.98 22.95 23.04 22.84 22.73 22.71 22.72 22.74 22.72,15.8,15.81,15.83,0,0,0,0,0.8,2
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,217 139.3 140.1 139.4 139.4 139.3 142.5 145.2 139.9 140 139.8 139.8 139.7 139.6 139.8 139.7 140.7 141.3 139.9 139.7,490.4,490.4,490.4,0,0,0,0,0.6,5
RuntimeBenchmarksAwfyWeekly,json,10,10,14.62 14.6 14.65 14.62 14.59 14.6 14.63 14.62 14.6 14.66,16.53,16.53,16.53,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,102 97.66 97.04 97.39 97.19 97.3 97.91 97.91 97.95 97.96 105.1 99.17 97.88 98.06 97.86 98.34 97.67 97.89 98.06 97.77,24.86,24.86,24.86,0,0,0,0,1.6,7
RuntimeBenchmarksAwfyWeekly,list,10,1000,69.83 69.93 70.02 70.61 69.99 69.86 70.21 69.95 70.16 69.89,0.7268,0.7268,0.7268,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.9 150.7 150.7 150.7 150.7 151.1 150.7 150.7 150.9 150.7 150.8 150.8 150.8 150.6 150.7 150.9 150.7 150.7 153.2 151,0.006784,0.006784,0.006784,0,0,0,0,0.8,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,410.8 407 407.1 408.1 411.9 407.4 419.6 412.3 407.6 410,60.01,60.01,60.01,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,permute,10,1000,110.3 110.3 110.2 128.7 176.2 110.2 110.2 110.3 110.4 110.3,226.3,226.3,226.3,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.95 29.98 29.49 30.05 29.71 29.85 29.84 29.44 29.58 29.78,1.367,1.367,1.367,0,0,0,0,1.1,4
RuntimeBenchmarksAwfyWeekly,richards,10,1000,100.3 100.9 100.3 100.6 100.3 100.4 100.4 100.4 103.5 100.5,0.9828,0.9828,0.9828,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,tracer,10,100,74.62 74.39 74.43 74.82 74.35 74.49 74.55 74.47 74.47 74.45,163,163,163,0,0,0,0,1.3,4
RuntimeBenchmarksLibsWeekly,fansiFormat,10,1,21.59 21.76 22.47 21.59 21.55 21.56 21.54 21.54 21.54 21.51 21.7 21.58 21.67 21.7 21.55 21.47 21.5 21.49 21.58 21.59,37.36,37.36,37.36,0,0,0,0,1.25,5
RuntimeBenchmarksLibsWeekly,wordFreqParser,10,1,39.29 39.22 39.22 39.16 39.21 39.13 66.56 39.08 39.04 39.19 39.14 39.09 39.06 39.1 39.29 39.25 39.2 39.15 39.19 48.13,71.2,71.2,71.21,0,0,0,0,1.8,5
RuntimeBenchmarksLibsWeekly,yamlDecode,10,1,196 195.9 196.2 196.1 196.1 254 196 195.9 250.4 264.1 195.9 196.3 201.7 199.6 195.9 197.3 196.3 196.2 196.1 196,384.1,384.1,384.1,0,0,0,0,2,7
RuntimeBenchmarksLibsWeekly,yamlEncode,10,1,53.8 53.92 53.77 53.91 53.64 53.6 53.73 53.75 53.6 53.73 53.87 53.69 68.53 67.76 54 53.63 53.7 53.81 54.18 53.62,82.37,82.37,82.37,0,0,0,0,1.25,6
