suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,868.8 822 822.1 821.5 819.1 820.4 819.4 826.3 819.6 875.4 834.3 870.3 864.1 856.7 877.2 817.1 820.1 815.7 818.9 819.1,139,139,139.1,0,0,0,1,70.6,215
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1562 1567 1614 1622 1610 1592 1566 1780 1599 1627 1616 1598 1628 1617 1599 1621 1584 1554 1551 1551,227,227.1,227.2,0,0,0,12,127,550
CompilationBenchmarksBigWeekly,scalaz,60,1,27231 27686 27411 28425 28111 27639 27319 28114 28489 27568 27525 27236 27430 28672 28264 27808 28603 28081 27311 27750,3870,3870,3870,0,0,0,24,200.1,1149
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,253.5 246.4 245.3 245.7 244.6 245.7 244.6 243.8 245.5 246.2 245 244.3 245.3 245.7 243.9 245.8 246.3 250.2 245.4 241.8,61.25,61.28,61.3,0,0,0,0,79.8,632
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,164.7 163.7 164.1 164.6 164.3 165.1 163.3 165.2 163.2 165.3 162.9 164.5 164.1 164.8 163.8 162.9 164.8 164.4 163.9 164.4,44.42,44.42,44.42,0,0,0,0,23.4,56
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,148.9 148.4 147.6 147.7 146.3 146.3 145.8 146.5 148 165.6 147.3 146.1 150.3 146.3 145.7 146.2 157.1 147.7 146 145.4,39.28,39.28,39.28,0,0,0,0,23.05,72
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,151.9 151.3 151.9 152.7 151.3 150.2 150.8 150.3 150.8 149.4 151.5 150.6 151.2 151.5 152.5 149.9 150.1 150.8 149.3 149.3,39.28,39.28,39.29,0,0,0,0,28.85,90
CompilationBenchmarksSmallWeekly,findRef,150,1,111.7 111.8 111.3 110.7 112.9 112.2 110.6 111.3 110.9 111.3 111.1 110.9 111 111.5 109.8 111.2 109.5 110.4 110 110.4,30.3,30.31,30.31,0,0,0,2,28.75,70
CompilationBenchmarksSmallWeekly,i1535,150,1,199.4 197.5 193.3 187.7 198.6 187.5 184.8 185.9 185.3 186.1 183.6 185.8 185 185.4 185.4 183.9 185.2 182.3 184.6 185.7,44.44,44.44,44.45,0,0,0,2,33.2,110
CompilationBenchmarksSmallWeekly,i1687,150,1,116 117.2 116.7 116.1 116 116.2 116.5 115.9 115.4 116.3 116.3 116 114.8 115.9 115.8 115.9 115.8 115.5 116 115.5,32.9,32.9,32.91,0,0,0,1,21.3,70
CompilationBenchmarksSmallWeekly,implicitCache,150,1,168.4 169 168.4 168 169.1 168.5 168.8 169 167.5 168.6 168.6 168.6 167.6 168.3 168.2 167.7 167.5 166.8 168.4 168,44.1,44.1,44.1,0,0,0,0,22.05,75
CompilationBenchmarksSmallWeekly,implicitNums,150,1,375.9 373.7 374 374.1 375.5 375.3 374.9 375.2 376 375.7 376.8 375.2 374.2 374.5 374.6 373.8 375.5 373.7 374.8 374.7,81.97,81.98,81.98,0,0,0,0,38.4,383
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,176.8 177.3 177.3 177.8 176.3 177.2 177.3 177.7 176.2 177.2 177.2 177.5 176.2 177.1 177.4 176.4 179.5 196.7 177.3 175.9,44.55,44.55,44.55,0,0,0,0,24.1,78
CompilationBenchmarksSmallWeekly,tuple,150,1,187.1 186.3 200.6 197.5 193.4 190.3 190.4 186.2 187.8 186.9 186.6 186.3 186.3 187.1 186.2 186.5 186 187.4 186.3 186.4,46.78,46.79,46.79,0,0,0,3,30.8,93
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,146.3 145.1 145.7 145.3 149 145.1 145.5 145.3 145.4 144.8 145.4 144.7 144.2 144.5 144.4 144.7 144.3 144.6 144.5 144.2,38.17,38.17,38.17,0,0,0,6,28.95,93
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,180.4 172.1 173.8 171.2 170.9 171.2 170.9 171 170.9 171.2 170.8 170.8 170.9 170.9 170.5 170.4 170.6 170.2 170.4 170.3,44.48,44.49,44.49,0,0,0,0,21.8,120
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,114.7 114.3 113.8 113.9 113.7 113.4 113.1 113.4 113.2 113.4 113.6 113.3 113.8 113.4 112.9 113.7 113.6 115.4 115.3 114,33.06,33.06,33.07,0,0,0,0,15.4,56
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,137.8 136.6 137.4 138 136.6 137.1 136.6 136.5 136.9 137.1 136.5 136.8 136.5 136.2 137.4 137.6 136 137 137.1 134.8,35.95,35.95,35.96,0,0,0,0,30.55,64
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,171.7 171.6 171.4 169.7 170 169.1 169.6 169.6 169.9 169.7 170.1 169.3 170.6 170.1 169.8 169.7 169.7 169.5 170.2 170.2,43.55,43.55,43.56,0,0,0,10,44.3,115
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,122 122.4 121.1 121.2 121.2 121.6 121.1 121.5 121.1 121.3 121.4 120.9 120.4 120.8 121.1 121.1 120.9 120.3 121 120.9,34.13,34.14,34.14,0,0,0,1,21.7,65
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5492 5490 5489 5747 6524 5426 6565 5529 5125 5061 4983 4970 4968 4969 4968 4976 4974 4964 4964 4965,637.4,637.4,637.5,0,0,0,24,192.2,663
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.54 21.55 21.6 21.86 21.73 21.66 21.65 21.63 21.49 21.68,4.439,4.439,4.439,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.15 15.22 15.23 15.14 15.15 15.14 15.14 15.12 15.11 15.16,16.82,16.82,16.82,0,0,0,0,1.1,5
RuntimeBenchmarksAwfyWeekly,cd,20,1,31.43 31.48 31.38 31.39 32.99 31.75 31.73 30.04 30.01 30.09 30 29.95 29.92 29.95 29.98 29.99 30.05 29.93 29.93 29.92,36.4,36.44,36.52,0,0,0,0,0.8,5
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23.34 23.13 23.1 23.13 22.92 22.81 22.83 22.82 22.83 22.8,15.8,15.81,15.83,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,209.9 139.7 139.6 139.7 139.6 139.6 142.6 145.1 140 140.1 139.7 140 140.3 140.1 139.9 140.8 140.7 142 140 140,490.4,490.4,490.4,0,0,0,0,0.7,6
RuntimeBenchmarksAwfyWeekly,json,10,10,14.52 14.57 14.54 14.55 14.52 14.54 14.52 14.53 14.54 14.57,16.53,16.53,16.53,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,97.57 97.7 97.29 97.41 97.34 97.36 97.31 97.56 97.43 106.2 98.64 97.1 97.5 97.68 97.46 97.86 97.13 97.55 96.83 96.79,24.86,24.86,24.86,0,0,0,0,1.5,7
RuntimeBenchmarksAwfyWeekly,list,10,1000,74.3 74.29 74.36 75.32 74.27 74.46 74.34 74.37 74.25 74.4,0.7268,0.7268,0.7268,0,0,0,0,0.8,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 151 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 152.8 150.6,0.006784,0.006784,0.006784,0,0,0,0,0.7,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,410.5 406.6 406.8 407.2 411.7 407 407.5 407.1 406.9 407,60.01,60.01,60.01,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,permute,10,1000,114.6 114.6 128.1 117.1 114.8 114.6 114.5 114.8 114.6 114.6,226.3,226.3,226.3,0,0,0,0,1.1,4
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.96 29.52 29.88 29.45 29.88 29.61 29.92 29.59 29.56 29.44,1.367,1.367,1.367,0,0,0,0,1,4
RuntimeBenchmarksAwfyWeekly,richards,10,1000,106.3 106.2 106.3 106.1 106 106.3 105.9 109 106.6 106.2,0.9828,0.9828,0.9828,0,0,0,0,0.9,3
RuntimeBenchmarksAwfyWeekly,tracer,10,100,75.01 74.78 74.71 74.78 74.74 74.69 74.68 74.75 74.68 74.72,163,163,163,0,0,0,0,1.3,4
