suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,775.3 775.9 775 775.4 774.4 774.5 783.3 773.1 774.2 774.3 774.5 773.7 773.3 773.8 773.8 773.4 772.9 772.8 773 773.3,138.5,138.5,138.5,0,0,0,2,74.55,253
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1565 1566 1570 1566 1572 1571 1565 1583 1568 1563 1564 1566 1569 1635 1616 1630 1613 1602 1631 1611,226.6,226.8,226.8,0,0,0,16,141.9,519
CompilationBenchmarksBigWeekly,scalaz,60,1,26928 27974 28213 27686 27000 27918 28186 27315 26926 26920 26916 28130 27567 28022 27833 27711 28272 27561 26919 27521,3854,3854,3854,0,0,0,12,214,1134
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,243.2 242.7 274.8 249.6 243.7 243.9 253.4 245.6 244.1 243.8 243 242.1 258.7 241.7 238.1 240.2 242.2 240.9 239.9 238.9,61.01,61.03,61.05,0,0,0,0,71.85,263
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,161.6 161.2 161.4 161.9 160.8 161 162 161.5 161.8 161.2 163.5 162.2 162.3 162.2 161.8 160.7 160.4 162 161.1 160.6,44.37,44.38,44.38,0,0,0,2,31.3,83
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,155.6 155.7 155.5 154.3 163.6 155.4 154.6 154.5 156.7 155 155.2 153.9 153.7 182.3 150.7 150.7 151.1 152.8 151.1 150.1,39.3,39.3,39.31,0,0,0,1,25.75,80
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,145.3 146.2 145.6 144.4 145.3 145.5 145.5 144.8 145.6 145.3 143.6 145 144.4 144.2 144.5 145.4 145.6 144.3 146.1 145.3,39.25,39.26,39.26,0,0,0,1,33.35,128
CompilationBenchmarksSmallWeekly,findRef,150,1,118.6 116.3 116.8 117.1 114.6 117.6 116.5 116.6 117.2 116.3 116.3 117 117 116 116.1 116 116.5 116.3 117 115.3,30.36,30.37,30.37,0,0,0,3,32.95,134
CompilationBenchmarksSmallWeekly,i1535,150,1,187.1 186.4 185.8 186.8 185.7 185.6 187.2 186.3 189.7 185.8 186.9 185.3 185 184.9 184.5 184.5 185.1 186.1 185 184.1,44.47,44.48,44.48,0,0,0,7,45.5,156
CompilationBenchmarksSmallWeekly,i1687,150,1,120.2 120.1 119.6 119.2 118.8 119 119.4 119.1 118.9 118.7 119.5 119.2 117.7 119.1 118.8 118.7 118.9 119 118.8 119,32.84,32.84,32.84,0,0,0,3,20.8,70
CompilationBenchmarksSmallWeekly,implicitCache,150,1,171.1 165.3 165.3 164.8 165.5 165.3 165.7 165.1 164.8 165.5 165.3 165.3 164.6 164.6 165.5 164.6 184.8 168.3 165 164.7,44.15,44.15,44.15,0,0,0,1,24.1,79
CompilationBenchmarksSmallWeekly,implicitNums,150,1,365.5 364.6 365.4 364.6 365.4 365.5 365.2 364.7 364.5 365.1 365.9 364.6 364.6 364.8 365 364.7 365.4 364.5 364.9 364.9,82.3,82.3,82.31,0,0,0,0,29.4,179
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,182.6 194.5 191.8 199.2 180.5 213 177.4 175.5 177.6 176.3 177.3 185.1 176.1 175.1 175.6 175.5 175.6 176.5 175.2 174.4,44.48,44.48,44.48,0,0,0,1,35.7,86
CompilationBenchmarksSmallWeekly,tuple,150,1,186.8 187 186.2 187.3 185.9 186.9 189.4 186.3 186.9 186.6 186.8 187.1 186 187.3 186.2 185.5 185.6 185.3 185.8 184.3,46.86,46.86,46.87,0,0,0,2,30.8,91
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,157 155.4 151.4 156.6 154.7 154.9 156.1 155.1 149 148.4 176.4 149.2 150.3 147 146.4 145.5 145.1 145.3 151.6 144.6,38.23,38.23,38.24,0,0,0,0,30.3,108
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,187.1 190 187.3 251.9 224.9 195.4 183.2 205.9 183.6 182.3 184.1 183.7 182.9 182 182.6 182.6 182 182.6 182.7 182,44.39,44.39,44.4,0,0,0,0,19.5,121
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,115.8 114.9 114.7 114.6 114.1 114.1 115.3 114.5 115 113.9 114.6 114.9 122.5 115 114.1 113.6 113.8 114.8 114.7 113.5,33.08,33.08,33.08,0,0,0,0,16.35,59
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,136.8 137.4 135.6 136 136 136.6 135.6 136.1 135.8 136.5 136 136.8 136.1 137 133.6 135 134.1 134 134.7 135.4,35.93,35.94,35.95,0,0,0,0,29.75,111
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,181.1 170.6 169.7 170.7 170.4 170.8 180 179.7 180.4 172.9 173.7 179.6 180.1 179.4 179 169.1 168 168 168.6 168.3,43.54,43.55,43.56,0,0,0,10,47.75,114
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,121.6 121.7 120 122 120.6 120.8 121.2 121.6 120.8 121.1 121.4 120.3 119.9 120.5 120.2 120.6 121.8 120.6 120.8 121,34.21,34.21,34.22,0,0,0,1,24.15,62
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5468 5454 5778 5795 5883 5550 5779 5672 5526 5461 5459 5456 5457 5455 5457 5455 5355 5547 5170 5157,636.2,636.2,636.3,0,0,0,22,180.4,820
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.66 21.13 21.04 21.09 21 21.78 21.85 21.74 21.6 21.9,4.439,4.439,4.439,0,0,0,0,1.1,3
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.17 15.27 15.22 15.18 15.19 15.17 15.2 15.16 15.19 15.19,16.82,16.82,16.82,0,0,0,0,1.2,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,29.36 29.42 29.45 29.43 29.37 30.21 29.61 27.7 27.6 27.67 27.58 27.62 27.57 27.59 27.59 27.6 27.57 27.55 27.56 27.53,36.4,36.44,36.52,0,0,0,0,0.95,6
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23.13 22.91 22.88 22.93 22.85 22.72 22.74 22.72 22.71 22.71,15.8,15.81,15.83,0,0,0,0,0.8,2
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,238 137.9 138.1 138.1 138.1 138 137.9 140.5 143.7 138.4 138.4 138.7 138.5 138.4 138.2 138.7 139.1 139.8 138.4 138.5,490.4,490.4,490.4,0,0,0,0,0.65,6
RuntimeBenchmarksAwfyWeekly,json,10,10,14.8 14.92 14.75 14.77 14.88 14.77 14.81 14.87 14.7 14.94,16.53,16.53,16.53,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,98.01 98.23 97.9 98.15 97.98 98.05 97.39 97.42 104.7 98.43 97.57 97.29 97.45 97.51 97.31 97.54 97.35 97.46 97.2 97.48,24.86,24.86,24.86,0,0,0,0,1.6,6
RuntimeBenchmarksAwfyWeekly,list,10,1000,70.05 69.7 69.76 70.39 69.87 69.71 69.84 69.64 69.79 69.62,0.7268,0.7268,0.7268,0,0,0,0,0.8,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.6 150.6 150.6 150.6 151 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 150.6 152.8,0.006784,0.006784,0.006784,0,0,0,0,0.8,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,411.5 408.8 407.8 409.3 413.1 408.6 419.7 414.5 409.3 412.5,60.01,60.01,60.01,0,0,0,0,0.6,1
RuntimeBenchmarksAwfyWeekly,permute,10,1000,113.6 113.7 113.9 165.9 146.4 113.9 113.1 113.5 113.5 113.5,226.3,226.3,226.3,0,0,0,0,0.7,2
RuntimeBenchmarksAwfyWeekly,queens,10,10000,29.71 30.13 29.79 30 29.71 29.83 29.87 30.19 29.72 30,1.367,1.367,1.367,0,0,0,0,1.1,4
RuntimeBenchmarksAwfyWeekly,richards,10,1000,112.9 112.8 112.8 113 112.9 113 115.9 113.2 113 112.9,0.9828,0.9828,0.9828,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,tracer,10,100,74.51 74.36 74.39 74.39 74.3 74.37 74.38 74.33 74.29 74.36,163,163,163,0,0,0,0,1.4,5
RuntimeBenchmarksLibsWeekly,fansiFormat,10,1,21.41 21.49 21.38 21.43 22.1 21.42 21.42 21.4 21.4 21.4 21.53 21.44 21.43 21.54 21.42 21.4 21.42 21.53 21.55 21.47,37.36,37.36,37.36,0,0,0,0,1.05,4
RuntimeBenchmarksLibsWeekly,wordFreqParser,10,1,38.29 38.23 38.34 38.26 38.26 38.25 38.24 38.28 38.21 38.29 38.24 38.29 38.27 38.24 38.29 38.3 38.27 38.29 38.3 65.15,71.2,71.2,71.2,0,0,0,0,1.35,5
RuntimeBenchmarksLibsWeekly,yamlDecode,10,1,196.2 196 196 196 196.1 254.1 195.9 196 260.9 257.9 196 195.9 201.8 199.6 195.9 197.4 195.9 195.8 195.7 195.8,384.1,384.1,384.1,0,0,0,0,1.9,5
RuntimeBenchmarksLibsWeekly,yamlEncode,10,1,53.92 54.2 53.92 53.94 54.05 53.95 53.98 53.98 53.91 53.85 53.92 53.79 53.92 90.39 54.29 54.27 54.66 54.44 54.76 54.25,82.37,82.37,82.38,0,0,0,0,1.95,9
