suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,780.3 776.9 776.1 780.5 776.9 776.1 776.2 782.2 778.1 775.2 775.7 776.1 777.4 775.9 774 783.3 782.8 787.6 784 784.1,138.5,138.5,138.5,0,0,0,0,72.4,215
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1530 1529 1530 1528 1529 1529 1532 1525 1528 1526 1526 1524 1525 1523 1527 1526 1535 1526 1525 1525,226.7,226.9,226.9,0,0,0,9,138,551
CompilationBenchmarksBigWeekly,scalaz,60,1,27012 28048 28444 27535 28347 28037 27054 26996 27713 28334 27646 28000 28253 27272 26988 27280 28275 28020 27309 28326,3855,3855,3856,0,0,0,21,207.2,816
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,245.2 244.9 244.6 244.6 243.8 244.9 243.9 243.5 244.8 245.8 244.7 243.8 244.3 244.2 242.5 245 245.9 248.1 245 242,61.14,61.17,61.19,0,0,0,0,75.2,543
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,157.5 157.2 159.2 159.7 158.3 158.1 159.4 159 159.3 158.8 160.1 158.3 158.3 158.7 159 158.5 157.7 158.9 157.8 158.3,44.4,44.41,44.41,0,0,0,0,23.75,78
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,152.4 147.1 146.5 146.2 146.4 146.7 145.7 146.2 147.7 146.8 146.3 145.8 145.9 145.4 145 145.3 145.7 146.6 145.7 145.2,39.22,39.22,39.23,0,0,0,0,26.3,71
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,146.4 146.7 146.2 148.6 148.1 145.8 146.5 145.8 146 145.8 147 145.6 146.6 146.8 147.2 145.6 146.2 146.7 144.9 144.6,39.25,39.26,39.27,0,0,0,1,31.4,94
CompilationBenchmarksSmallWeekly,findRef,150,1,118.3 117.2 117.2 117.5 118.3 118.4 117.8 116.8 117.2 117.1 116.9 116.6 117.5 116.6 119.4 116.2 116.5 117.3 115.5 115.2,30.2,30.2,30.2,0,0,0,2,31.4,126
CompilationBenchmarksSmallWeekly,i1535,150,1,188.2 188.2 187 187.9 201.9 187.9 185.9 187.7 187.4 187.8 185.8 187 186.7 186.6 186.9 186.1 187.2 184.3 186.5 186.2,44.47,44.47,44.48,0,0,0,1,42.65,191
CompilationBenchmarksSmallWeekly,i1687,150,1,119.5 119.5 119.4 119.4 119.5 119.1 119.2 118.5 120 118.3 124.6 122.2 120 118.3 118.8 119.6 118.7 119.3 119.8 118.2,32.82,32.82,32.83,0,0,0,1,22.75,73
CompilationBenchmarksSmallWeekly,implicitCache,150,1,167.3 165.9 166.6 167.1 165.9 165.9 165.6 165.2 167.1 165.4 165.5 165 165.9 166.1 165 165.4 166.1 166.3 166 164.7,44.07,44.07,44.08,0,0,0,1,24.95,83
CompilationBenchmarksSmallWeekly,implicitNums,150,1,363.1 364.8 364.1 369.6 362.8 362.7 363 361.8 366.9 362.6 362.6 362.7 361.9 361.3 364.4 365.3 364.8 365.5 364.3 363.9,81.71,81.72,81.72,0,0,0,0,32.95,296
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,169.9 169.8 170 169.4 170.1 169.7 169.6 170.1 169 170.3 170.1 169.9 169.2 169.9 169.8 169.2 169.6 168.4 169.6 168.6,44.52,44.52,44.53,0,0,0,0,23.7,77
