suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27043 27098 26734 25986 26638 26948 27720 26814 26284 26414 27113 26139 25968 26002 26697 27059 27098 27377 27098 26719,4211,4212,4212,0,0,0,938,1069,1389
CompilationBenchmarksBigNightly,caskApp,150,1,575 596.8 568.9 589.4 589.9 588.9 584.1 592.3 584.5 587.4 588.4 577.3 584.4 578.8 577.4 562 559.8 558.1 558.4 558.4,107.9,107.9,107.9,0,0,0,7,118,629
CompilationBenchmarksBigNightly,dottyUtils,170,1,1119 1141 1104 1103 1103 1102 1102 1103 1101 1101 1103 1102 1100 1101 1224 1121 1108 1101 1097 1102,154.8,155,155,0,0,0,0,81,506
CompilationBenchmarksBigNightly,fansi,150,1,1322 1323 1324 1325 1322 1322 1322 1322 1320 1320 1321 1321 1319 1330 1308 1322 1321 1351 1348 1339,211.3,211.3,211.4,0,0,0,460,564.6,906
CompilationBenchmarksBigNightly,parallelCollections,100,1,4589 4593 4588 4591 4590 4589 4591 4591 4536 4537 4535 4537 4534 4537 4536 4534 4543 4535 4536 4536,574.2,574.2,574.2,0,0,0,3,85.9,337
CompilationBenchmarksBigNightly,re2s,120,1,1820 1820 1801 2014 1854 1818 1805 1825 1790 1818 1800 1785 1769 1766 1763 1765 1763 1762 1763 1766,249.6,249.6,249.7,0,0,0,4,195.1,730
CompilationBenchmarksBigNightly,scalaToday,150,1,3313 3312 3309 3309 3310 3317 3309 3308 3314 3308 3309 3494 3477 3327 3309 3311 3309 3314 3308 3311,479.2,479.2,479.2,0,0,0,18,118.5,297
CompilationBenchmarksBigNightly,scalaYaml,80,1,4354 4355 4353 4350 4353 4670 4423 4354 4348 4357 4350 4346 4351 4351 4345 4347 4347 4345 4344 4411,549.6,549.7,549.9,0,0,0,14,170.3,446
CompilationBenchmarksBigNightly,sourcecode,170,1,941.8 938 942.9 940.9 939.9 940.3 940.1 938.4 940.2 938.9 1039 946.7 945.7 944.1 965.1 938.3 937.3 940.2 937.6 939.4,162.7,162.7,162.8,0,0,0,0,89,299
CompilationBenchmarksBigNightly,tastyQuery,60,1,5165 5090 5105 5126 4980 4961 4972 4962 4959 4962 4958 4961 5086 5081 5062 5095 5076 5016 5006 5030,638.8,638.8,638.9,0,0,0,27,211.4,672
CompilationBenchmarksBigNightly,tictactoe,150,1,1193 1195 1193 1193 1194 1191 1193 1190 1190 1186 1188 1191 1190 1189 1105 1186 1191 1182 1184 1186,212.1,212.1,212.1,0,0,0,13,195.9,1354
CompilationBenchmarksSmallNightly,helloWorld,150,1,123.2 124.4 124.1 122.4 122.2 130.4 130.2 129.3 131.3 124.5 132.3 130.7 132.2 130.5 129.9 126.1 130.3 124.9 123.6 128,34.37,34.37,34.38,0,0,0,0,26.65,73
CompilationBenchmarksSmallNightly,implicitInductive,150,1,899.8 899.6 899.7 899.3 899.3 897.8 925.3 910.7 904.2 921.8 897.4 899.8 896.4 900.4 896.6 896.3 895.3 909 920.5 908.2,66.96,66.96,66.97,0,0,0,5,47.8,205
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,576.4 576.2 575.3 577.4 576.5 576.1 577.3 576.1 576 575.4 576.1 575.3 572.3 575.5 575 575.1 576.1 576.8 575.4 573.8,105.5,105.5,105.5,0,0,0,0,47.95,154
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,346.3 346.5 342.5 342.9 340.7 339.6 339.7 340.4 338.8 339.9 338 339.4 338.1 338.6 337.1 338.7 338.4 336.7 338.1 337.1,68.96,68.97,68.99,0,0,0,1,65.1,374
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.558 8.53 8.52 8.544 8.522 8.528 8.53 8.545 8.542 8.532,0.3672,0.3672,0.3672,0,0,0,0,0.1,1
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,191.9 186.9 186.9 187.4 186.8 187 187.2 186.7 186.8 186.8,350.4,350.4,350.4,0,0,0,0,3.1,19
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.28 22.33 22.29 22.29 22.38 22.37 22.28 22.29 22.34 22.29,6.574,6.574,6.574,0,0,0,0,1,4
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,453 451.4 451.1 452.2 451.4 451.5 478.2 523.9 451.6 451.7,267.5,267.5,267.5,0,0,0,0,1,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,25.72 25.85 25.77 25.69 25.97 25.9 25.67 26.29 25.71 25.65,5.613,5.613,5.613,0,0,0,0,1.1,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,93.34 93.28 93.25 93.3 93.25 93.49 92.96 92.95 93.07 96.18,96.1,96.1,96.1,0,0,0,0,1.3,4
