suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26929 26553 26205 26105 26466 26739 26944 26677 25913 25929 26366 26791 26951 26433 26344 26739 26776 26761 26627 26133,4154,4156,4161,0,0,0,940,1086,1416
CompilationBenchmarksBigNightly,caskApp,150,1,561.5 562.5 561.6 561.1 560.6 561.1 555.5 557.7 554.2 557.9 556.2 555.2 554.1 555.4 553.8 556.5 554.8 553.1 555.8 554.5,107.8,107.8,107.8,0,0,0,2,106.2,458
CompilationBenchmarksBigNightly,dottyUtils,170,1,1106 1102 1102 1102 1114 1113 1113 1114 1113 1112 1112 1112 1111 1112 1112 1112 1111 1112 1111 1112,155.1,155.1,155.1,0,0,0,0,64.3,258
CompilationBenchmarksBigNightly,fansi,150,1,1315 1286 1289 1275 1272 1273 1274 1274 1277 1284 1385 1321 1305 1325 1324 1326 1324 1320 1322 1324,200.1,200.1,200.1,0,0,0,456,559.2,1003
CompilationBenchmarksBigNightly,parallelCollections,100,1,4523 4525 4519 4522 4522 4519 4521 4522 4520 4523 4472 4507 4529 4529 4521 4519 4527 4521 4518 4521,575.4,575.4,575.5,0,0,0,0,89.1,352
CompilationBenchmarksBigNightly,re2s,120,1,1757 1760 1764 1761 1765 1759 1755 1776 1769 1755 1753 1762 1755 1756 1786 1756 1755 1770 1760 1773,251,251,251.1,0,0,0,9,186.8,737
CompilationBenchmarksBigNightly,scalaToday,150,1,3233 3232 3230 3230 3230 3235 3229 3229 3231 3229 3228 3227 3233 3228 3227 3232 3395 3231 3227 3282,472.3,472.3,472.3,0,0,0,16,134,333
CompilationBenchmarksBigNightly,scalaYaml,80,1,4454 4496 4493 4470 4486 4477 4488 4480 4401 4447 4446 4446 4444 4442 4446 4394 4390 4389 4391 4389,547,547.1,547.3,0,0,0,14,164.6,487
CompilationBenchmarksBigNightly,sourcecode,170,1,909.6 914.8 920.6 922.8 910.6 909.5 910 914.1 909.7 910.6 907.5 909.3 912.2 912.6 908.1 908.9 906.5 907.4 906.7 908.7,161.9,161.9,162,0,0,0,0,82.3,318
CompilationBenchmarksBigNightly,tastyQuery,60,1,5006 5008 5003 5010 5008 5001 5000 5001 5000 4997 4997 5004 5151 5107 5154 5000 4995 4999 4993 4990,637.9,637.9,638,0,0,0,19,188.5,662
CompilationBenchmarksBigNightly,tictactoe,150,1,1133 1121 1134 1120 1118 1117 1118 1118 1118 1115 1116 1129 1127 1127 1127 1127 1127 1125 1131 1124,211.3,211.3,211.3,0,0,0,4,180.8,999
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,768.7 765.1 765.2 770.2 765.2 766.1 764.1 767.2 765.1 764.2 765.9 765.1 765.7 763.5 763.2 764.9 763.3 769.2 764 763.7,138.3,138.3,138.3,0,0,0,3,74.55,266
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1522 1522 1524 1521 1521 1520 1524 1524 1526 1523 1522 1521 1521 1521 1521 1520 1519 1520 1520 1520,228.6,228.8,228.8,0,0,0,11,143.6,613
CompilationBenchmarksBigWeekly,scalaz,60,1,27222 27213 27271 27232 27444 27622 27790 27706 28002 28039 27508 27271 27232 27217 27418 27597 27762 27751 27548 28485,3879,3879,3879,0,0,0,20,180.7,1134
CompilationBenchmarksSmallNightly,helloWorld,150,1,126 125.8 125.5 125.6 124.7 124.5 190.8 122.7 124 124.4 150.3 130.5 121.1 121.9 120.9 121.4 140.8 120.9 119.6 119.4,34.29,34.29,34.3,0,0,0,0,24.2,66
CompilationBenchmarksSmallNightly,implicitInductive,150,1,893.8 893.5 893.4 892.9 893.4 892.8 892.7 892.6 894.8 892.9 893.5 891.6 892.1 891.5 891.4 891.8 892.3 891.9 891 891.7,66.92,66.92,66.93,0,0,0,4,54.55,197
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,583.6 659.5 591.3 584.6 583.8 583.6 581.8 584.1 582.6 583.1 582.7 584.7 582.2 584.1 582.9 583.6 581.5 583 583 582.5,105.2,105.2,105.2,0,0,0,1,58.9,240
