suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26434 26545 26279 25984 25928 26439 26352 26114 26122 26123 26112 26180 26159 26629 26700 26669 27250 26854 26431 26163,4219,4219,4220,0,0,0,859,1077,1512
CompilationBenchmarksBigNightly,caskApp,150,1,577.8 591.9 559.1 560.4 560.5 591.7 592.2 571.9 587.8 590.8 595.9 575.2 574.3 573.7 596.8 584.2 584.1 586.6 552.5 551.8,107.7,107.7,107.7,0,0,0,8,115.1,459
CompilationBenchmarksBigNightly,dottyUtils,170,1,1093 1092 1091 1091 1091 1091 1091 1091 1091 1090 1089 1090 1088 1089 1089 1090 1088 1089 1089 1093,156.6,156.6,156.6,0,0,0,0,75.5,376
CompilationBenchmarksBigNightly,fansi,150,1,1293 1386 1342 1420 1313 1302 1305 1306 1302 1300 1298 1299 1299 1313 1303 1302 1301 1338 1417 1338,201.1,201.2,201.2,0,0,0,562,676.2,1109
CompilationBenchmarksBigNightly,parallelCollections,100,1,4577 4579 4577 4579 4578 4576 4578 4579 4575 4576 4575 4573 4575 4576 4573 4573 4575 4573 4572 4571,579.5,579.5,579.5,0,0,0,1,79.05,312
CompilationBenchmarksBigNightly,re2s,120,1,1862 1855 1854 1842 1832 1831 1830 1841 1836 1831 1830 1972 1841 1827 1825 1832 1828 1822 1808 1806,252.6,252.7,252.8,0,0,0,5,177.4,774
CompilationBenchmarksBigNightly,scalaToday,150,1,3286 3286 3300 3458 3420 3299 3300 3290 3287 3286 3285 3285 3285 3282 3284 3284 3283 3283 3283 3282,484.5,484.6,484.6,0,0,0,17,119.5,298
CompilationBenchmarksBigNightly,scalaYaml,80,1,4416 4413 4414 4411 4413 4420 4412 4408 4407 4406 4407 4406 4407 4404 4408 4407 4419 4418 4416 4417,546.5,546.6,546.8,0,0,0,10,158.2,473
CompilationBenchmarksBigNightly,sourcecode,170,1,918.3 924.5 917.9 920.6 916.5 916.7 917 920.4 916.6 917.5 915 917 920.8 919.1 915.3 915 914.4 915.1 915.2 917.2,162.3,162.4,162.5,0,0,0,0,86,430
CompilationBenchmarksBigNightly,tastyQuery,60,1,5157 5083 5036 5061 5053 5057 5047 5045 5046 5042 5043 5046 5040 5043 5041 5044 5038 5040 5039 5110,640,640.1,640.1,0,0,0,20,189.8,663
CompilationBenchmarksBigNightly,tictactoe,150,1,1138 1134 1133 1136 1132 1132 1131 1131 1139 1133 1288 1194 1152 1137 1139 1145 1138 1209 1212 1158,211.8,211.8,211.8,0,0,0,79,264.8,1062
CompilationBenchmarksSmallNightly,helloWorld,150,1,129.2 129.2 121.8 121.6 129.4 130.6 126.7 124.9 126.5 130.4 130.4 127.7 125.6 128.4 123.3 128.6 124.8 121.8 122.1 121.4,33.9,33.91,33.91,0,0,0,0,22.45,56
CompilationBenchmarksSmallNightly,implicitInductive,150,1,885.6 885.3 885.4 885.1 886 886.3 883.5 883.8 888.4 884.2 886.1 887.8 890.7 890.3 886 887.2 887 886.3 886.2 887.3,66.56,66.57,66.58,0,0,0,0,48.4,195
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,571.3 571.2 571.7 573.1 571.4 572 571.3 572.2 572.3 571.9 571 571.1 568.8 570.7 571.3 570.3 570.4 569.9 570.7 569.8,102.2,102.2,102.2,0,0,0,0,62.4,273
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,348.5 363.1 355.6 349.3 345.7 344.8 344.5 345.3 349.3 345.3 345.7 344.8 344.8 339.8 339.4 340.3 381.4 341.9 356.2 340.1,68.29,68.3,68.48,0,0,0,3,94.8,705
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.522 8.571 8.53 8.53 8.544 8.561 8.523 8.526 8.527 8.523,0.3672,0.3672,0.3672,0,0,0,0,0,0
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,196.5 186 185.9 186.3 185.7 186.2 185.9 185.7 185.7 185.5,350.4,350.4,350.4,0,0,0,0,2.8,17
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.35 22.27 22.28 22.31 22.26 22.38 22.34 22.28 22.37 22.31,6.574,6.574,6.574,0,0,0,0,1,4
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,459.2 459.1 459.1 459.1 459 458.9 460.3 459.5 459.6 520.5,267.5,267.5,267.5,0,0,0,0,1.5,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,25.71 26.19 25.86 26.07 25.71 26.16 25.82 26.4 25.71 25.83,5.613,5.613,5.613,0,0,0,0,1.2,4
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,93.36 93.29 93.21 93.16 93.15 93.32 92.99 93 93.11 96.35,96.1,96.1,96.1,0,0,0,0,1.1,4
