suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27715 27600 26752 27786 27491 30592 29925 28200 27918 27375 27531 26721 27149 27164 27914 26625 26348 26341 26483 26917,4229,4230,4236,0,0,0,954,1119,1539
CompilationBenchmarksBigNightly,caskApp,150,1,562.6 562.2 560 560.4 559.4 559.8 556.8 559.1 557.2 560.2 555.7 557.2 557.1 558.3 553.4 568.3 556.9 554.8 557 555.9,108.4,108.4,108.4,0,0,0,8,119.7,417
CompilationBenchmarksBigNightly,dottyUtils,170,1,1108 1108 1108 1107 1106 1107 1110 1109 1106 1118 1104 1105 1107 1109 1107 1107 1095 1093 1147 1095,156.2,156.2,156.2,0,0,0,0,68.1,375
CompilationBenchmarksBigNightly,fansi,150,1,1297 1297 1300 1299 1298 1299 1298 1284 1282 1285 1284 1285 1283 1285 1282 1283 1284 1280 1286 1291,206.2,206.2,206.4,0,0,0,558,665.5,998
CompilationBenchmarksBigNightly,parallelCollections,100,1,4645 4651 4654 4645 4646 4643 4645 4719 4708 4704 4726 4703 4722 4658 4579 4571 4572 4571 4569 4569,578.8,578.8,578.9,0,0,0,2,78.65,256
CompilationBenchmarksBigNightly,re2s,120,1,1785 1787 1791 1791 1794 1790 1785 1792 1783 1772 1767 1775 1769 1769 1800 1766 1766 1781 1765 1769,252.4,252.4,252.5,0,0,0,10,187.4,773
CompilationBenchmarksBigNightly,scalaToday,150,1,3322 3318 3336 3319 3316 3323 3286 3284 3291 3285 3284 3282 3287 3284 3284 3285 3314 3318 3315 3318,491,491.1,491.1,0,0,0,19,115.4,336
CompilationBenchmarksBigNightly,scalaYaml,80,1,4421 4429 4423 4419 4416 4428 4606 4701 4465 4459 4468 4472 4464 4464 4480 4474 4470 4463 4477 4462,549.1,549.2,549.5,0,0,0,11,161.9,505
CompilationBenchmarksBigNightly,sourcecode,170,1,934.1 939.5 1022 950.2 943.5 943.9 949.7 948 942.9 945.5 943.5 943.9 947.1 944.3 940.9 941.5 941.6 943 941.4 942.9,162.5,162.5,162.5,0,0,0,0,77,397
CompilationBenchmarksBigNightly,tastyQuery,60,1,5031 5030 5027 5037 5032 5027 5027 5024 5022 5025 5024 5022 5019 5020 5021 5021 5019 5021 5015 5017,640.7,640.8,640.8,0,0,0,17,213.2,730
CompilationBenchmarksBigNightly,tictactoe,150,1,1146 1146 1144 1146 1146 1143 1142 1140 1166 1143 1147 1139 1139 1138 1137 1146 1140 1140 1143 1133,211.7,211.7,211.8,0,0,0,42,210.9,747
CompilationBenchmarksSmallNightly,helloWorld,150,1,119.9 119.3 119.1 119.4 119 120.7 119.8 118.7 120.4 121.1 120.1 120.3 120.4 119.9 119.7 120.8 120 119.4 118.9 118.2,33.84,33.84,33.84,0,0,0,1,22.5,60
CompilationBenchmarksSmallNightly,implicitInductive,150,1,891.9 893.2 893 892.6 892 900.5 891.9 892.4 889.6 892.2 889.7 892.3 890.6 892.2 890.1 891.4 890.7 890.3 890.6 890.9,65.58,65.59,65.6,0,0,0,5,47.4,184
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,583 584.4 582.6 584.6 582.3 599.7 582.9 581.9 581.3 581.2 582.9 581.2 583.9 582.8 582.7 581.8 582.6 584.2 581.8 580,104.7,104.7,104.7,0,0,0,2,64.75,294
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,351.2 354.2 352.3 348.1 348.4 347.3 347.2 347.6 346.3 346.5 345.7 346.4 345.8 345.6 345.8 346.3 345.5 344.7 346.1 346,68.14,68.15,68.31,0,0,0,2,65.4,385
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.538 8.522 8.532 8.545 8.535 8.525 8.541 8.533 8.538 8.537,0.3672,0.3672,0.3672,0,0,0,0,0.1,1
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,192.1 186.8 186.9 186.9 187.5 187.1 186.6 186.8 186.7 186.7,350.4,350.4,350.4,0,0,0,0,3,17
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.33 22.31 22.31 22.36 22.32 22.42 22.33 22.32 22.36 22.38,6.574,6.574,6.574,0,0,0,0,1,4
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,459.3 460.6 459.1 459.6 460.4 460.5 459.5 459.8 459.7 517.8,267.5,267.5,267.5,0,0,0,0,1.2,7
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,25.26 25.04 25.6 25.13 24.94 25.81 24.99 25.36 25.3 25.16,5.613,5.613,5.613,0,0,0,0,1.1,5
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,93.14 93.05 93.1 93.09 93.02 93.18 92.93 92.92 93.02 96.18,96.1,96.1,96.1,0,0,0,0,1.1,4
