suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,770.2 767 765.5 770.4 764.9 765.7 778.8 767.4 763.1 763.1 764.3 763.8 765.9 763.9 762.3 763.8 761.7 768 772.1 773.5,139.3,139.3,139.3,0,0,0,2,67.2,211
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1551 1551 1552 1550 1549 1549 1550 1546 1549 1688 1560 1545 1546 1567 1562 1563 1564 1563 1562 1563,229,229,229,0,0,0,12,125.1,461
CompilationBenchmarksBigWeekly,scalaz,60,1,28933 28803 28254 27983 27932 27842 27443 27755 27701 27940 30356 28982 27966 27956 28076 28942 28240 29058 28236 28092,3890,3895,3924,2,2.3,3,8,201.6,860
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,240.4 241.8 240.3 240.4 239.6 240.6 242.2 240.3 237.9 240.4 238.2 237.6 238.6 238 236.9 241.2 241.6 246.1 240.7 237.5,61.22,61.25,61.26,0,0,0,1,85.6,692
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,165.9 165.8 166.6 166.8 166.8 167.3 171.8 165.8 167.2 167.1 163.2 167 166 166.7 165.8 166.3 167.2 165.5 165.8 165.9,44.4,44.4,44.41,0,0,0,0,24.05,134
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,148.9 150.2 147.3 148.1 147.4 148.4 147.5 147.5 149.5 149.8 149.1 148.4 148.8 148.2 147.9 148.1 148.4 149.3 148.6 147.4,39.22,39.23,39.23,0,0,0,0,19.65,74
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,149.2 149 145.5 147.2 145.8 166.4 145.4 145.7 152.3 146.7 146.4 145 145.5 146.5 146.5 145.1 145 145.6 144.4 145.2,39.49,39.49,39.5,0,0,0,2,33.9,118
CompilationBenchmarksSmallWeekly,findRef,150,1,113.7 111.8 112.8 112.4 113.7 113.3 112.3 112.4 112.1 111.6 111.4 111.9 112 111.3 112.8 111.4 111.4 111.7 111.9 110.3,30.23,30.23,30.23,0,0,0,5,35.15,122
CompilationBenchmarksSmallWeekly,i1535,150,1,184.9 185.8 185.2 183.4 184.4 184.6 182.5 186.3 186 194.5 194.5 195.5 186.6 195.8 190 192.4 197.4 186.3 186.9 196.6,44.5,44.51,44.52,0,0,0,4,36.8,100
CompilationBenchmarksSmallWeekly,i1687,150,1,120.3 121.7 121 120.7 120.4 120.4 120.6 120.6 120.6 120.3 120.8 121 118.8 120.9 120.6 120.5 120.3 120.2 120.1 120.5,32.83,32.83,32.84,0,0,0,1,18.65,53
