suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26786 26535 26538 26556 26551 26864 27444 27634 27355 27005 26583 26551 26541 26552 26529 26557 26924 27490 27749 27215,4227,4227,4227,0,0,0,918,1073,1485
CompilationBenchmarksBigNightly,caskApp,150,1,555.6 560.4 560.2 559.4 558.5 558.8 558.5 558.9 557.8 559.6 560.2 586 575.1 560.3 577.4 591.6 591.6 561.7 578.9 559.3,108.3,108.3,108.3,0,0,0,10,113,326
CompilationBenchmarksBigNightly,dottyUtils,170,1,1111 1107 1108 1108 1108 1108 1111 1113 1109 1113 1105 1107 1107 1109 1107 1107 1105 1104 1119 1090,156.1,156.1,156.1,0,0,0,2,81,389
CompilationBenchmarksBigNightly,fansi,150,1,1327 1328 1328 1331 1328 1331 1332 1328 1325 1327 1326 1327 1330 1332 1326 1328 1325 1327 1326 1325,201,201,201.2,0,0,0,435,564.3,906
CompilationBenchmarksBigNightly,parallelCollections,100,1,4618 4571 4568 4569 4568 4567 4567 4577 4567 4569 4567 4566 4566 4565 4564 4565 4568 4565 4563 4565,578.4,578.4,578.4,0,0,0,4,87.05,286
CompilationBenchmarksBigNightly,re2s,120,1,1841 1894 1885 1894 1882 1846 1874 1852 1852 1834 1841 1850 1836 1837 1868 1836 1831 1846 1829 1829,252.6,252.6,252.6,0,0,0,5,199.2,809
CompilationBenchmarksBigNightly,scalaToday,150,1,3348 3350 3347 3348 3317 3315 3315 3349 3347 3349 3347 3348 3347 3346 3347 3345 3347 3345 3347 3344,482.3,482.4,482.4,0,0,0,17,112.2,287
CompilationBenchmarksBigNightly,scalaYaml,80,1,4539 4545 4535 4589 4588 4602 4582 5008 4614 4613 4586 4591 4590 4586 4595 4591 4533 4528 4529 4531,551.4,551.5,551.7,0,0,0,16,197.7,543
CompilationBenchmarksBigNightly,sourcecode,170,1,928 930.6 925.1 928.4 922.7 924.2 923.6 923.1 923 923.7 921.9 922 928.2 925.4 921.5 921.6 921.3 921 922 976.9,162.9,162.9,163,0,0,0,0,90.9,369
CompilationBenchmarksBigNightly,tastyQuery,60,1,5170 5173 5167 5175 5173 5162 5230 5164 5286 5239 5246 5246 5165 5161 5172 5167 5169 5161 5154 5157,638.4,638.5,638.6,0,0,0,15,196.3,588
CompilationBenchmarksBigNightly,tictactoe,150,1,1160 1236 1219 1164 1164 1162 1159 1158 1167 1161 1164 1158 1159 1156 1158 1162 1158 1161 1164 1151,211.9,211.9,211.9,0,0,0,66,245.3,950
CompilationBenchmarksSmallNightly,helloWorld,150,1,133 132.1 131.4 127.4 130.7 132 131.8 131.8 133.9 125.5 138 131.3 123.1 122.5 122.1 121.1 121 122.9 122.1 120.7,34.05,34.05,34.05,0,0,0,1,29,64
CompilationBenchmarksSmallNightly,implicitInductive,150,1,890.4 886.4 881.5 885.6 881.3 883.6 882 916.6 880.3 885.1 889.1 887.4 884.3 885 880 870 877.2 878.1 886.8 877.7,66.62,66.63,66.64,0,0,0,4,57.85,187
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,591.3 591.9 592 591.7 591.4 591.2 590.4 591.7 590.6 591 590.1 590.3 588.4 591.4 591.2 590.2 589 590.1 589.8 589.6,105.2,105.2,105.2,0,0,0,0,56.8,184
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,357.3 362.8 367.2 356.1 355.7 352.8 352 352.6 353.8 352.3 352.4 352 351.2 351.3 351.1 351.1 350.9 351.6 351.2 350,68.27,68.28,68.32,0,0,0,2,77.55,416
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.534 8.523 8.524 8.521 8.52 8.522 8.57 8.531 8.525 8.516,0.3672,0.3672,0.3672,0,0,0,0,0.1,1
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,192 186.8 186.7 186.7 186.7 186.9 187.1 186.4 186.5 186.5,350.4,350.4,350.4,0,0,0,0,1.3,5
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.31 22.31 22.29 22.31 22.3 22.37 22.33 22.3 22.28 22.28,6.574,6.574,6.574,0,0,0,0,1,4
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,456.1 456.1 456 456.1 456.9 456.1 456.6 480.3 533.4 456.6,267.5,267.5,267.5,0,0,0,0,0.9,5
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,26.46 26.48 26.47 26.47 26.5 26.52 26.99 26.46 26.47 26.46,5.613,5.613,5.613,0,0,0,0,1.2,5
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,93.18 93.12 93.01 93.02 93.01 93.19 92.86 92.87 93.09 96.11,96.1,96.1,96.1,0,0,0,0,1.1,4
