suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,834 788.3 788 792.1 784.9 784.9 785.1 786.7 784.1 784.3 789.8 785.6 784.3 783.6 799.1 789.7 783.6 790.7 783.6 793.1,138.7,138.7,138.7,0,0,0,7,73.7,253
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1598 1666 1672 1612 1614 1600 1599 1598 1610 1594 1594 1591 1591 1592 1590 1591 1589 1590 1589 1591,228.6,228.8,228.9,0,0,0,13,141.4,503
CompilationBenchmarksBigWeekly,scalaz,60,1,28322 28340 28591 28433 28561 28431 29823 28613 28578 28622 28410 28487 28740 28551 28562 28537 29019 29423 28465 28513,3864,3867,3875,2,2.45,3,4,225.9,1150
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,279.1 251.2 250.8 250.6 250.8 249.8 252.8 249.1 250.2 248.5 248.7 249.4 247.9 251 251.8 248 274 256.2 255.1 250.2,61.27,61.29,61.32,0,0,0,0,77.45,515
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,173 173.5 173.3 174.1 173.2 172.5 174.6 173.6 173.9 173.6 173.7 171.8 172.8 173.7 173.8 172.4 171.6 173.4 172.5 176.6,44.76,44.77,44.77,0,0,0,0,26,91
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,148.9 148.8 148.2 147.7 147.5 146.8 147.2 147.6 145.7 148.1 146.6 146.8 146.3 147.9 146.4 148.3 147.1 147.4 147.3 146.3,39.33,39.33,39.34,0,0,0,0,24.05,85
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,146.8 155.7 146.8 147.6 146.6 146.7 146.5 146.3 146.8 146.1 144.7 146.1 145.2 145.5 143.7 145.1 144.9 144 144.9 144.4,39.38,39.39,39.39,0,0,0,1,29.8,90
CompilationBenchmarksSmallWeekly,findRef,150,1,113.2 111.1 111.5 112 110.4 112.4 111.9 112 111.5 111.3 111.4 111.8 111.6 110.8 112.9 112.1 111.8 112.9 111.6 110.8,30.23,30.24,30.24,0,0,0,4,33.65,135
CompilationBenchmarksSmallWeekly,i1535,150,1,191.7 192.4 191.3 189.7 191.6 190.2 191.2 191.3 191 191.5 188.6 191.8 189.7 190.7 190.8 189.6 190.7 188.2 189.8 190.1,44.7,44.71,44.72,0,0,0,3,43.4,161
CompilationBenchmarksSmallWeekly,i1687,150,1,122.6 122 122.6 123.1 122.6 122.9 122.9 121.8 123.1 121.8 122.3 122.6 123 121.3 121.9 122.5 121.4 122.6 122.4 121.3,33.02,33.02,33.03,0,0,0,0,21.1,69
CompilationBenchmarksSmallWeekly,implicitCache,150,1,172 172.6 180.8 171.9 172.7 172.7 172.9 172.6 171.5 172.2 172.7 172.6 172 172 172.1 172.2 171.5 171.5 172.3 172.2,44.03,44.03,44.04,0,0,0,2,25.9,85
CompilationBenchmarksSmallWeekly,implicitNums,150,1,367.1 369.6 367 367.4 367.5 368.3 368 365.8 422.1 368.4 369.6 372.1 370.1 365.8 366.1 367.2 366.2 373.3 366.3 366.3,83.36,83.36,83.37,0,0,0,0,36.15,194
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,181.8 180 180.5 181.8 180.2 179.8 180.7 179.2 181.5 180.1 179.6 179.2 179.3 179.1 179.1 179.5 181.1 180.7 180.3 178.6,44.68,44.69,44.69,0,0,0,0,28.25,79
CompilationBenchmarksSmallWeekly,tuple,150,1,190.5 188.6 189.6 193.4 188.8 189 188.5 187.9 189.6 188.6 189.3 188.2 188.5 189.3 187.6 190.6 189.8 190.7 189.9 188.7,46.79,46.79,46.8,0,0,0,1,31.35,92
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,153.9 152.1 154 156.3 156 157.4 158.2 157.7 157.1 156.8 156.9 156.5 156.9 155.8 153.5 155.1 154.5 153.8 153.3 155.2,38.32,38.32,38.32,0,0,0,0,33.15,86
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,176.2 176.2 177.1 177 176.5 176.9 176.8 176.7 176.6 176.4 176.5 177 177 176.3 176 176.6 176.2 176.7 176 176,45.08,45.08,45.09,0,0,0,0,14.25,48
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,115.4 115.5 114.8 115.5 115 114.6 114.3 114.2 115.1 114.9 114.7 114.1 126.5 119.4 114.4 113.9 114.3 115 114.9 114,33.22,33.22,33.22,0,0,0,0,15.05,64
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,137.9 137.1 138.6 136.9 135.9 137 137.1 136.5 137.4 137.3 137.1 137 136.6 136.6 137.1 136.2 136.6 139 137.4 136.6,36.11,36.11,36.12,0,0,0,2,26.25,59
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,172.9 173.9 173 173.3 172.9 173.3 172.5 173.2 171.7 172.9 171.9 172.1 171.4 171.7 170.9 171.7 171.4 171.5 171.3 168.9,43.67,43.67,43.68,0,0,0,9,39.75,112
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,120.7 120.3 119 120.8 120.4 120.1 120.3 120.1 120.5 120.5 119.8 119.5 118.7 119.4 119.9 119.4 119.1 118.6 119.2 119.3,34.28,34.28,34.29,0,0,0,0,22.9,67
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5074 5056 5066 5073 5067 5062 5341 5155 5134 5082 5063 5076 5060 5054 5055 5054 5053 5045 5040 5040,641,641.1,641.2,0,0,0,39,181,759
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.71 21.68 21.74 21.68 21.88 21.68 21.51 21.75 21.97 21.27,4.439,4.439,4.439,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.17 15.29 15.3 15.23 15.37 15.22 15.18 15.19 15.24 15.19,16.82,16.82,16.82,0,0,0,0,0.8,3
