suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26279 26279 26954 26682 26817 26960 27398 26434 26254 26279 26518 26475 26652 26274 26482 26560 26895 27355 26698 26761,4209,4210,4210,0,0,0,930,1113,1451
CompilationBenchmarksBigNightly,caskApp,150,1,566.6 570.7 568 566.7 566 566.1 565.7 566.4 566.2 591.1 566.2 585.6 564.8 565 565.8 568.4 566.2 569.7 594.5 558.9,108.1,108.2,108.2,0,0,0,4,98.6,333
CompilationBenchmarksBigNightly,dottyUtils,170,1,1093 1090 1088 1091 1098 1088 1092 1092 1087 1092 1087 1085 1089 1091 1086 1088 1087 1172 1133 1206,154.9,154.9,155,0,0,0,0,81.5,396
CompilationBenchmarksBigNightly,fansi,150,1,1290 1292 1416 1309 1317 1298 1292 1291 1288 1290 1289 1293 1292 1290 1290 1294 1290 1289 1288 1288,199.5,199.6,199.7,0,0,0,443,583.6,1178
CompilationBenchmarksBigNightly,parallelCollections,100,1,4561 4573 4563 4560 4563 4562 4564 4560 4561 4563 4559 4560 4560 4558 4559 4560 4561 4560 4559 4558,572.5,572.5,572.5,0,0,0,0,80.75,314
CompilationBenchmarksBigNightly,re2s,120,1,1818 1820 1808 1796 1797 1816 1802 1887 1917 1788 1795 1771 1772 1771 1765 1768 1766 1764 1766 1766,251.2,251.2,251.3,0,0,0,7,183.4,638
CompilationBenchmarksBigNightly,scalaToday,150,1,3262 3261 3258 3259 3258 3267 3292 3498 3430 3315 3294 3393 3579 3312 3292 3293 3294 3297 3292 3504,474.4,474.4,474.8,0,0,0,18,121.9,322
CompilationBenchmarksBigNightly,scalaYaml,80,1,4490 4507 4492 4487 4487 4494 4485 4480 4481 4481 4482 4487 4479 4479 4502 4490 4597 4571 4499 4681,555.2,555.3,555.5,0,0,0,12,166.5,511
CompilationBenchmarksBigNightly,sourcecode,170,1,933.7 930.5 934.3 932.2 933 932.7 931.9 931.1 931.8 931.3 930.8 930.6 927.3 934.6 929.9 929.6 929.5 929.4 929.9 929.3,162.3,162.3,162.4,0,0,0,0,84.15,323
CompilationBenchmarksBigNightly,tastyQuery,60,1,5208 5187 5583 5439 5103 5095 5040 5039 5039 5039 5037 5035 5034 5033 5033 5034 5032 5067 5064 5034,636.6,636.7,636.7,0,0,0,17,198.1,977
CompilationBenchmarksBigNightly,tictactoe,150,1,1149 1150 1150 1148 1151 1148 1150 1149 1145 1144 1144 1148 1148 1146 1145 1142 1146 1141 1142 1144,212.5,212.5,212.5,0,0,0,72,272.6,1294
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,781 782.3 781.2 779.9 780.5 780.1 779.2 778.3 779.5 780 780 779.1 815.7 819.4 779 786.2 779.9 777.9 825.6 777.1,139,139.1,139.1,0,0,0,0,66.65,207
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1559 1540 1541 1538 1538 1556 1559 1555 1556 1555 1555 1552 1553 1681 1575 1561 1560 1559 1551 1551,226.1,226.2,226.2,0,0,0,4,128.6,463
CompilationBenchmarksBigWeekly,scalaz,60,1,27294 27253 27625 28056 27918 28416 27981 27310 27260 27617 27863 27916 27749 27737 27314 27558 27799 27229 27231 27231,3836,3836,3836,0,0,0,18,191.8,1184
