suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26816 27056 26566 26604 26681 26937 27007 26982 26990 26975 26980 27196 26894 26640 26390 26721 26977 27049 26995 26967,4191,4193,4193,0,0,0,969,1145,1480
CompilationBenchmarksBigNightly,caskApp,150,1,563.3 565.8 564.4 564.2 563.7 563.9 563.5 564.6 585.7 607.6 570 598.3 561.8 562.3 561.4 566.1 562.6 559.5 561 561,107.9,107.9,107.9,0,0,0,8,111.3,372
CompilationBenchmarksBigNightly,dottyUtils,170,1,1077 1079 1077 1077 1077 1077 1076 1077 1076 1075 1074 1076 1074 1074 1075 1142 1132 1098 1085 1075,155.7,155.7,155.7,0,0,0,1,79.5,352
CompilationBenchmarksBigNightly,fansi,150,1,1293 1291 1393 1325 1326 1310 1291 1294 1298 1293 1296 1289 1289 1290 1286 1287 1291 1293 1290 1321,201,201,201.2,0,0,0,517,619,909
CompilationBenchmarksBigNightly,parallelCollections,100,1,4723 4730 4695 4584 4580 4579 4583 4582 4581 4582 4523 4522 4522 4522 4523 4522 4577 4578 4578 4519,582.2,582.2,582.3,0,0,0,1,80.05,307
CompilationBenchmarksBigNightly,re2s,120,1,1791 1796 1795 1796 1800 1795 1789 1828 1798 1794 1791 1790 1792 1791 1786 1793 1789 1786 1787 1786,252.4,252.4,252.5,0,0,0,6,159,821
CompilationBenchmarksBigNightly,scalaToday,150,1,3312 3313 3313 3312 3312 3310 3311 3310 3309 3425 3436 3386 3284 3394 3411 3467 3467 3407 3280 3271,477.3,477.3,477.7,0,0,0,18,112.6,289
CompilationBenchmarksBigNightly,scalaYaml,80,1,4558 4561 4554 4554 4552 4568 4549 4550 4551 4550 4550 4630 4803 4922 4592 4735 4730 4678 4669 4556,545.3,545.4,545.5,0,0,0,12,177.3,486
CompilationBenchmarksBigNightly,sourcecode,170,1,945.8 952.6 946.3 949.2 949.9 945.9 949 953.1 944.4 945.2 942.9 984.6 937.9 932.1 933.1 941 940.1 942.8 940.8 942.6,162.4,162.4,162.4,0,0,0,0,87.65,392
CompilationBenchmarksBigNightly,tastyQuery,60,1,5093 5090 5091 5098 5090 5081 5080 5077 5079 5080 5081 5081 5079 5079 5075 5074 5072 5067 5070 5082,640.9,640.9,641,0,0,0,9,198.4,881
CompilationBenchmarksBigNightly,tictactoe,150,1,1224 1199 1206 1185 1221 1260 1233 1187 1186 1184 1183 1187 1184 1185 1192 1183 1186 1179 1188 1184,212,212.1,212.1,0,0,0,76,246.3,840
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,813.6 793.7 767.2 770.6 767.4 767.5 766.2 768.7 766.4 767 766.3 766.8 767.9 768.3 769.2 778.9 777.9 782.9 778.5 776.9,139.2,139.2,139.2,0,0,0,3,80.7,269
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1633 1636 1581 1578 1617 1624 1639 1603 1635 1648 1644 1635 1599 1559 1711 1549 1555 1552 1549 1587,229,229.1,229.1,0,0,0,8,150,678
CompilationBenchmarksBigWeekly,scalaz,60,1,28378 28145 27961 27819 28335 28070 28196 28268 30079 28725 29136 28373 27953 27621 29228 28081 28358 29072 30009 29607,3869,3872,3879,2,2.55,3,5,191,1066
CompilationBenchmarksSmallNightly,helloWorld,150,1,125.1 124.3 124.1 123.9 123.9 123.3 124.6 123.3 124.7 123.3 122.9 123.4 124.1 123.2 122.7 124 123.2 123.9 122.4 122.6,33.87,33.87,33.87,0,0,0,1,27.55,66
CompilationBenchmarksSmallNightly,implicitInductive,150,1,897.2 897.2 897 896.8 896.9 896.2 896 896.5 896.3 896.3 894.3 896.1 895.5 896 895.6 895.8 895.4 895.4 895.3 895.2,65.6,65.61,65.62,0,0,0,3,53.15,191
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,594.1 596.1 577.3 577.1 576.1 584.9 574.8 576.9 575.7 575.6 574.9 576.6 574 575.3 574.9 573.2 575.1 574.1 574.7 574.5,105.1,105.1,105.1,0,0,0,0,68.8,287
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,358.8 367.7 352.6 348.1 349.1 346 344.8 345.6 347.3 344.4 345.4 345.2 344.6 344 351.9 365.4 369.4 359.7 362.4 360.6,68.48,68.49,68.65,0,0,0,9,96.15,568
