suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26995 26698 26723 27159 27207 27290 27478 28066 26958 26787 27044 27389 27289 27298 27310 27111 26774 27225 26712 26725,4211,4211,4212,0,0,0,916,1098,1390
CompilationBenchmarksBigNightly,caskApp,150,1,551 551.9 551.9 551.4 550.4 550.8 550.4 551 549.7 552.1 550 550 549.5 584.3 558.6 567.2 584.5 571.1 578.4 565,107.8,107.9,107.9,0,0,0,3,105.3,371
CompilationBenchmarksBigNightly,dottyUtils,170,1,1224 1150 1128 1132 1127 1130 1135 1134 1131 1136 1129 1130 1133 1141 1131 1133 1130 1128 1206 1182,157,157,157,0,0,0,0,91.15,623
CompilationBenchmarksBigNightly,fansi,150,1,1334 1335 1342 1335 1333 1332 1335 1335 1331 1334 1333 1333 1334 1336 1331 1333 1333 1333 1331 1331,201.5,201.5,201.5,0,0,0,441,547.3,938
CompilationBenchmarksBigNightly,parallelCollections,100,1,4695 4730 4679 4678 4678 4680 4679 4678 4678 4704 5084 4771 4677 4678 4678 4675 4674 4676 4673 4676,581.7,581.7,581.7,0,0,0,1,85.6,294
CompilationBenchmarksBigNightly,re2s,120,1,1912 1887 1841 1845 1861 1851 1844 1871 1858 1848 1865 1865 1866 1864 1862 1863 1861 1860 1843 1843,254.9,254.9,255,0,0,0,4,210.5,1156
CompilationBenchmarksBigNightly,scalaToday,150,1,3365 3363 3364 3363 3362 3367 3362 3362 3380 3365 3361 3362 3364 3360 3361 3364 3362 3365 3362 3361,475.9,476,476,0,0,0,13,100.1,331
CompilationBenchmarksBigNightly,scalaYaml,80,1,4489 4557 4554 4549 4549 4502 4549 4549 4558 4494 4491 4504 4489 4481 4506 4491 4485 4477 4480 4481,562.3,562.4,562.6,0,0,0,39,192,621
CompilationBenchmarksBigNightly,sourcecode,170,1,954 956.7 952.3 952.1 951.9 952.3 951 954.9 950.3 938.9 937 939.2 941.8 942 937.3 936.3 935.2 936.1 936.2 936.5,163.4,163.5,163.6,0,0,0,0,75.85,322
CompilationBenchmarksBigNightly,tastyQuery,60,1,5567 5380 5321 5268 5272 5320 5321 5318 5261 5259 5260 5262 5258 5259 5261 5260 5256 5255 5250 5264,651.9,652,652,0,0,0,14,223.6,824
