suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27674 27482 28228 27228 26850 26847 26846 26852 26829 26836 26841 26846 27237 27730 27321 27410 27432 27463 26964 27165,4243,4244,4244,0,0,0,943,1107,1573
CompilationBenchmarksBigNightly,caskApp,150,1,557.6 554.8 554.3 554.6 553.5 553.9 555.5 554.3 554.2 554.3 558.2 554.8 555.9 555.2 555 552.1 551.4 553.8 553.7 551.3,107.8,107.8,107.8,0,0,0,7,104.5,375
CompilationBenchmarksBigNightly,dottyUtils,170,1,1108 1108 1107 1106 1107 1107 1106 1107 1106 1105 1105 1106 1104 1104 1105 1104 1103 1104 1104 1105,155.7,155.7,155.7,0,0,0,0,78.85,407
CompilationBenchmarksBigNightly,fansi,150,1,1350 1344 1342 1346 1342 1343 1375 1339 1335 1340 1341 1339 1339 1336 1338 1340 1339 1348 1340 1342,208.5,208.6,208.6,0,0,0,404,525.5,875
CompilationBenchmarksBigNightly,parallelCollections,100,1,4619 4691 4624 4698 4682 4654 4700 4567 4559 4564 4558 4560 4559 4559 4559 4556 4566 4559 4554 4557,577.7,577.7,577.8,0,0,0,1,83.6,272
CompilationBenchmarksBigNightly,re2s,120,1,1855 1845 1844 1843 1845 1846 1843 1860 1851 1843 1845 1843 1845 1844 1840 1843 1840 1837 1841 1841,252.6,252.7,252.8,0,0,0,8,181.7,831
CompilationBenchmarksBigNightly,scalaToday,150,1,3324 3318 3454 3514 3388 3325 3338 3317 3385 3439 3437 3365 3450 3427 3399 3438 3428 3321 3314 3315,488.4,488.4,488.8,0,0,0,16,89.1,259
CompilationBenchmarksBigNightly,scalaYaml,80,1,4611 4618 4612 4608 4608 4621 4608 4602 4603 4606 4606 4608 4602 4621 4615 4612 4715 4744 4679 4807,549.6,549.7,549.9,0,0,0,13,168.5,454
CompilationBenchmarksBigNightly,sourcecode,170,1,993 963.4 969.2 927.6 925 926.3 926.4 926.9 926 925.4 925.2 925.8 924 925.6 924.1 924.3 924.6 924.7 924.5 924.9,162.6,162.6,162.6,0,0,0,0,80.85,525
CompilationBenchmarksBigNightly,tastyQuery,60,1,5080 5080 5095 5149 5140 5136 5136 5133 5136 5196 5134 5199 5239 5190 5222 5148 5141 5146 5122 5119,639.7,639.7,639.8,0,0,0,14,193.6,601
CompilationBenchmarksBigNightly,tictactoe,150,1,1183 1194 1174 1186 1195 1182 1145 1183 1178 1172 1301 1209 1177 1166 1190 1158 1173 1166 1153 1147,212.2,212.3,212.3,0,0,0,70,261.5,1206
CompilationBenchmarksSmallNightly,helloWorld,150,1,125.1 125.2 131.6 128.5 129 129.7 128.6 129.7 128.4 130 129 128.4 127.2 128.1 128.8 128.6 127.9 127.7 128.5 128.6,34.04,34.04,34.05,0,0,0,1,21.85,61
CompilationBenchmarksSmallNightly,implicitInductive,150,1,877.9 877.7 877.7 877.4 876.2 876.6 876 875.8 880 877 877.3 876 876.8 875.4 875.7 911.6 886.3 876.7 875.5 876.7,66.49,66.5,66.51,0,0,0,4,61.65,201
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,588.6 589.2 588.8 587.8 587.5 587.3 586.6 587.3 587.5 587.8 585.9 587.2 585.5 586.3 586.2 585.6 585.8 585.2 590.2 584.9,105,105,105,0,0,0,0,66.7,227
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,357 367 355.4 354.2 352.2 351.7 351.8 357.1 359.4 356.2 367.8 356.2 355.9 355.2 358.1 355.1 357 355.5 354.1 354.4,68.44,68.46,68.61,0,0,0,3,88.8,465
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.529 8.549 8.533 8.547 8.563 8.528 8.519 8.549 8.523 8.539,0.3672,0.3672,0.3672,0,0,0,0,0.1,1
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,194.3 192.6 186.9 186.7 186.9 187 186.7 186.7 186.7 187,350.4,350.4,350.4,0,0,0,0,2.7,18
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.31 22.43 22.31 22.3 22.37 22.37 22.4 22.31 22.33 22.35,6.574,6.574,6.574,0,0,0,0,1.1,5
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,454.4 454.6 454.5 455.4 454.6 454.5 503.3 508.9 455.1 457.5,267.5,267.5,267.5,0,0,0,0,1.1,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,25.67 25.28 25.31 25.43 25.31 25.12 25.17 25.03 25.23 25.35,5.613,5.613,5.613,0,0,0,0,1.3,4
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,93.53 93.4 93.3 93.39 93.3 93.56 93.23 93.24 93.28 96.61,96.1,96.1,96.1,0,0,0,0,1.3,5
