suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,812.8 801.1 799.3 804.4 800.5 801.2 799.1 802.2 798.9 798.9 800.1 800.6 801.6 798.6 798.7 798.8 801.2 889.1 797.9 788.9,140.7,140.7,140.7,0,0,0,2,64.15,256
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1593 1594 1595 1592 1588 1592 1591 1589 1589 1601 1654 1625 1643 1620 1584 1579 1580 1646 1616 1587,239.4,239.4,239.4,0,0,0,13,128.3,457
CompilationBenchmarksBigWeekly,scalaz,60,1,28088 28985 28705 28316 28095 28108 28247 27762 28066 29752 28478 28342 28203 28381 28138 28093 28557 28158 27982 28384,4041,4045,4051,2,2.9,3,3,183.1,879
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,251.8 251.4 252.1 251.2 251.2 250.9 252.5 252 251.2 249.5 250.5 250.9 249.5 248.5 250.5 247.8 253.7 255.7 267.3 262.2,61.94,61.96,61.99,0,0,0,0,88.6,572
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,163.5 164.1 163.5 164.1 163.7 163.6 164.4 163.8 164.2 163.4 163.4 163.8 163.2 163.6 162.6 163.2 163 163.6 163.3 162.6,44.83,44.84,44.84,0,0,0,0,23.45,50
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,148.2 148.5 148.3 148.2 148.5 148.7 148 147.8 148.3 147.2 147.9 146.9 152.8 146.8 146.7 146.9 147.8 147.9 146.9 146.7,39.43,39.44,39.44,0,0,0,2,20.7,75
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,146.4 147.3 146.2 145.8 146.2 146.4 146.4 146.3 146.5 165.3 150 146.4 146.3 145.5 144.8 145.7 182.2 148.3 149.1 149.3,39.55,39.55,39.56,0,0,0,3,33.35,98
CompilationBenchmarksSmallWeekly,findRef,150,1,113.6 113 113 112.5 114.1 113.7 111.6 113.1 112.5 112.7 112.5 112.5 111.9 112.6 111.6 113.3 110.6 111.7 111.1 111.6,30.34,30.34,30.34,0,0,0,5,31.7,128
CompilationBenchmarksSmallWeekly,i1535,150,1,193.5 194.2 192.3 192.1 194.2 192.4 191.6 194 192.9 192.8 190 193.6 191.6 192.6 192.1 192.2 192.7 189.5 191.9 192.2,44.61,44.61,44.62,0,0,0,5,32.3,95
CompilationBenchmarksSmallWeekly,i1687,150,1,116.6 117.7 118.1 117.6 117.7 117.8 118.2 117.6 117.6 117.9 117.8 117.5 116.9 117.3 117.9 116.8 117.4 117.3 117.3 117.6,33.05,33.05,33.06,0,0,0,1,20.75,65
CompilationBenchmarksSmallWeekly,implicitCache,150,1,166.1 165.3 165.7 165.4 164.5 164.8 165.2 164.5 165.5 164.6 164.7 164.5 164.6 164.9 164.2 163.8 164.3 164.8 164.4 163.9,44.24,44.24,44.24,0,0,0,3,27.9,95
CompilationBenchmarksSmallWeekly,implicitNums,150,1,368.3 371.7 369.6 369.1 368.8 368.6 368.9 368.4 372 371.8 368.7 367.9 368.4 369.1 368.3 367.6 369 368.4 368.7 368.3,85.81,85.81,85.82,0,0,0,0,33.05,201
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,170.3 171.1 170.8 170 170.6 170.1 171 172.1 169.1 170.8 170.3 170.3 170.1 170.1 170.4 192 170.8 167.9 168.7 168.1,44.58,44.59,44.59,0,0,0,0,23.3,109
CompilationBenchmarksSmallWeekly,tuple,150,1,185.7 186.3 185.7 186.3 186.3 185.9 185.7 186 185.4 186.1 186 185.9 184.7 187.4 185.4 187.8 185.3 193.2 186.6 185,46.84,46.84,46.85,0,0,0,1,28.2,81
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,147.2 147.9 147.6 148.2 147.7 148 146.3 148 147.5 147.8 147.4 147.1 146.3 150.1 147.1 146.7 146.7 146.4 146.7 146.8,38.24,38.24,38.25,0,0,0,1,28.05,85
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,176.1 178.6 176.6 176.4 176.2 176.4 176.5 186 188.7 189.9 185.5 189.5 189 189.7 189.5 189.3 189.8 189.5 189.1 189.6,44.67,44.68,44.68,0,0,0,0,15.35,38
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,125.3 125.2 125 125.1 124.7 124.7 124.3 124.6 125.3 124.9 124.9 124.7 125 124.7 124.6 124.5 124.3 125.4 125 124.9,33.1,33.1,33.1,0,0,0,0,13.7,51
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,137.9 139 138.2 154.6 151.9 139.3 138.2 138.3 138.1 138.7 138.1 138.8 137.9 138.7 135.7 137.3 139.9 137.3 138.2 137.8,36.17,36.17,36.18,0,0,0,0,28.55,75
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,175.2 176.1 175.5 175.5 175.1 175.3 174.8 174.9 173.7 175.4 173.7 175 174.2 172.1 174.6 174.9 173.7 173 172.5 171.6,43.82,43.82,43.83,0,0,0,1,43.6,120
