suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27233 26713 26665 27243 27324 27403 27440 27519 27218 26942 27091 28134 27495 27409 27671 27179 26857 26845 26847 26847,4297,4298,4298,0,0,0,943,1106,1475
CompilationBenchmarksBigNightly,caskApp,150,1,556.5 563.5 563.9 563.3 562.8 561.7 561.4 563.3 561.8 608.2 571.8 560.1 561.5 560.6 581.6 601 559.2 561.6 558.7 556.8,108.8,108.8,108.8,0,0,0,4,114.8,566
CompilationBenchmarksBigNightly,dottyUtils,170,1,1109 1108 1106 1106 1107 1107 1107 1107 1106 1105 1106 1106 1105 1107 1106 1106 1104 1106 1103 1106,158.5,158.5,158.5,0,0,0,0,66.25,260
CompilationBenchmarksBigNightly,fansi,150,1,1329 1390 1352 1378 1376 1374 1311 1315 1308 1313 1314 1313 1312 1312 1311 1312 1312 1307 1310 1310,202.8,202.8,203,0,0,0,513,600.2,881
CompilationBenchmarksBigNightly,parallelCollections,100,1,4609 4611 4607 4609 4608 4607 4608 4629 4609 4608 4607 4607 4641 4611 4607 4605 4611 4618 4610 4604,599.6,599.6,599.6,0,0,0,2,78.25,259
CompilationBenchmarksBigNightly,re2s,120,1,1829 1835 1838 1837 1843 1839 1827 1845 1849 1832 1829 1847 1838 1829 1863 1829 1827 1842 1823 1822,261.2,261.3,261.3,0,0,0,1,207.7,1188
CompilationBenchmarksBigNightly,scalaToday,150,1,3519 3499 3476 3500 3510 3398 3390 3390 3394 3408 3388 3388 3392 3388 3387 3391 3389 3559 3386 3576,487.3,487.4,487.8,0,0,0,32,124,341
CompilationBenchmarksBigNightly,scalaYaml,80,1,4520 4521 4512 4517 4516 4523 4508 4521 4591 4626 4604 4609 4592 4627 4624 4573 4568 4566 4570 4581,563.7,563.8,564,0,0,0,16,174.2,502
CompilationBenchmarksBigNightly,sourcecode,170,1,929.1 924.3 926.4 926.6 926 925.2 939.9 925.3 922.9 923.2 922.5 915.8 911.6 913.6 921.8 912.6 913 911.9 912.6 913.2,163.8,163.8,163.8,0,0,0,0,78.4,386
CompilationBenchmarksBigNightly,tastyQuery,60,1,5209 5207 5205 5214 5207 5195 5194 5194 5207 5199 5189 5194 5190 5435 5568 5440 5357 5313 5340 5194,662.7,662.8,662.9,0,0,0,21,198.1,602
CompilationBenchmarksBigNightly,tictactoe,150,1,1144 1144 1142 1144 1141 1155 1137 1135 1143 1139 1141 1135 1135 1135 1137 1141 1254 1158 1150 1145,212.7,212.7,212.8,0,0,0,70,275.7,1356
CompilationBenchmarksSmallNightly,helloWorld,150,1,125.1 124.6 123.8 124.4 123.9 123.7 124.1 123.6 125.6 123.6 123.6 124.3 124.5 123.9 123.2 123.1 122.6 122.3 122.8 122.8,34.1,34.1,34.1,0,0,0,0,20.5,62
CompilationBenchmarksSmallNightly,implicitInductive,150,1,880.1 903.7 880.3 878 876.6 881.3 876.9 876.7 879.3 877.7 878.2 877.1 877.2 875.8 875.9 876.2 875.7 875.9 875.1 876.2,66.83,66.84,66.85,0,0,0,3,60.35,185
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,592.2 592.4 591.2 592 591.5 592 592.7 591.6 591.3 593.8 592.1 594.8 595.5 596.2 595.4 594.9 596.6 595.2 594.7 593,102.9,102.9,102.9,0,0,0,1,67,186
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,375.1 388.4 389.4 353.2 350.7 353.9 353.7 351.5 365.1 352.1 351.9 351.2 350.7 350 353 350.8 346.3 348.1 346.5 346.2,69.17,69.18,69.35,0,0,0,2,83.05,562
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.524 8.518 8.519 8.545 8.517 8.525 8.518 8.528 8.514 8.526,0.3672,0.3672,0.3672,0,0,0,0,0.1,1
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,191.6 186.4 186.3 187 186.5 186.7 186.9 186.3 186.3 186.4,350.4,350.4,350.4,0,0,0,0,3.2,17
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.31 22.3 22.3 22.31 22.29 22.41 22.28 22.25 22.31 22.28,6.574,6.574,6.574,0,0,0,0,1.1,5
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,456.4 457.4 456.3 456.5 456.3 456.4 546.8 470.9 456.9 457,267.5,267.5,267.5,0,0,0,0,1.3,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,26.14 25.72 25.82 25.77 25.72 26.27 25.96 26.77 26.04 26.06,5.613,5.613,5.613,0,0,0,0,1.1,5
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,93.49 93.47 93.4 93.44 93.38 93.55 93.28 93.22 93.34 96.39,96.1,96.1,96.1,0,0,0,0,1.3,5
