suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,780.2 776.3 782.2 788.3 782.6 782.3 783.6 784.9 781.3 773.3 774.8 774.3 775.8 774.9 772.5 782.8 780.4 787.5 783 782.9,141.2,141.2,141.2,0,0,0,3,69.65,220
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1589 1588 1591 1588 1589 1586 1588 1585 1591 1586 1586 1583 1584 1585 1583 1584 1585 1585 1583 1582,238.4,238.4,238.6,0,0,0,16,149,495
CompilationBenchmarksBigWeekly,scalaz,60,1,28126 27652 27714 27766 27944 27943 27903 27752 27780 27964 28404 28026 27773 27983 27843 28501 28516 28684 28159 28515,4014,4017,4021,2,2.9,3,22,197.5,891
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,248.2 247.9 247.9 248.7 247.6 247.3 249.9 248.2 247.8 246.3 247.5 247.2 247 246.9 246.5 244.2 245.7 246.1 247.7 244.5,61.91,61.93,61.96,0,0,0,0,73.6,531
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,163.6 163.9 163.6 162 165.2 165 162.7 163.7 163.8 162.4 163 162.1 163.2 163.4 162.9 163 163.3 168.4 161.6 162,44.43,44.43,44.43,0,0,0,0,29.3,104
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,148.9 148.5 148.1 148.3 148.2 148.3 148.3 147.8 148.4 148 148.8 148.6 148.9 148.2 146.5 146.9 147.6 147.4 163.4 149.4,39.41,39.41,39.42,0,0,0,2,22.4,85
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,153.2 153.1 150.7 160.4 161.6 161.3 160.8 160.8 158.8 158.6 161.8 149.8 150.5 154 169 154.6 154.5 154 153.6 152.3,39.56,39.57,39.57,0,0,0,1,33.65,101
CompilationBenchmarksSmallWeekly,findRef,150,1,116.8 115.1 115.6 115.5 113.8 116.1 115.3 114.9 114.9 114.8 114.9 116.3 115.9 114.7 115.3 114.8 114.7 115.2 114.7 113.2,30.35,30.35,30.35,0,0,0,0,31.1,125
CompilationBenchmarksSmallWeekly,i1535,150,1,186.4 189.3 188.6 194.7 194.8 188.2 194.3 188.2 188.2 190.3 187.8 187.5 187.2 187.7 187 187.3 187.7 185.9 187.2 187,44.6,44.6,44.6,0,0,0,1,37.15,148
CompilationBenchmarksSmallWeekly,i1687,150,1,118.7 118.7 118.9 118.5 118.6 119 119.1 118.5 118.7 121 118.5 118.5 117.8 118.4 118.4 118.4 118.4 117.3 118.5 118.4,32.93,32.93,32.94,0,0,0,1,20.4,66
