suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27026 27599 27468 26807 26432 26432 26420 26436 26430 26463 26418 27610 27544 27501 26421 26960 27211 27442 27026 26399,4294,4295,4295,0,0,0,961,1119,1600
CompilationBenchmarksBigNightly,caskApp,150,1,559.2 563.5 562.4 562.3 561.6 561.9 560 561.6 559.3 562.8 559.6 573.9 560.2 560.4 555.1 561.3 560 556.3 558.1 558.6,108.9,108.9,108.9,0,0,0,10,112.9,347
CompilationBenchmarksBigNightly,dottyUtils,170,1,1131 1129 1130 1128 1129 1128 1127 1129 1126 1126 1110 1111 1116 1110 1110 1126 1125 1113 1125 1129,157.6,157.6,157.6,0,0,0,0,75.6,322
CompilationBenchmarksBigNightly,fansi,150,1,1329 1329 1329 1328 1332 1328 1327 1330 1323 1330 1334 1325 1326 1326 1325 1336 1333 1341 1333 1314,203.1,203.1,203.3,0,0,0,437,560.2,865
CompilationBenchmarksBigNightly,parallelCollections,100,1,4586 4586 4585 4585 4586 4624 4586 4584 4716 4640 4583 4661 4655 4581 4590 4583 4581 4618 4583 4578,597.5,597.5,597.5,0,0,0,3,78.05,223
CompilationBenchmarksBigNightly,re2s,120,1,1887 1871 1872 1869 1875 1880 1858 1875 1891 1866 2075 1887 1860 1859 2077 1893 1859 1876 1855 1854,261.5,261.5,261.7,0,0,0,2,190.7,749
CompilationBenchmarksBigNightly,scalaToday,150,1,3314 3315 3365 3425 3422 3337 3315 3320 3323 3312 3308 3320 3310 3281 3280 3313 3281 3282 3280 3280,485.1,485.2,485.2,0,0,0,17,89.7,324
CompilationBenchmarksBigNightly,scalaYaml,80,1,4556 4499 4497 4553 4550 4556 4552 4551 4550 4550 4550 4650 4702 4618 4664 5065 4732 4656 4558 4548,562,562.1,562.2,0,0,0,10,149.2,428
CompilationBenchmarksBigNightly,sourcecode,170,1,929.2 929.5 925.7 928.2 934 933.6 933.9 935.2 932.8 934.3 931.6 932.6 934.8 936.4 931.9 932.9 930.9 931.6 932.4 944.4,163.4,163.4,163.6,0,0,0,0,98.95,417
CompilationBenchmarksBigNightly,tastyQuery,60,1,5118 5070 5069 5088 5073 5065 5065 5065 5140 5251 5164 5142 5079 5081 5060 5059 5057 5057 5142 5189,655.8,655.9,656,0,0,0,13,185.7,548
CompilationBenchmarksBigNightly,tictactoe,150,1,1204 1165 1162 1204 1160 1198 1200 1177 1150 1142 1145 1137 1137 1136 1136 1160 1129 1128 1224 1136,212.5,212.5,212.5,0,0,0,95,302.3,1374
CompilationBenchmarksSmallNightly,helloWorld,150,1,126.8 126.8 126.5 124.8 125.9 126.2 125.9 126.2 125.7 127.2 126.3 125.7 125 125.7 125.9 125.9 125.2 124.7 125.4 125.5,33.97,33.97,33.98,0,0,0,0,21,63
CompilationBenchmarksSmallNightly,implicitInductive,150,1,879.9 879.5 879.6 879.5 880 879.5 878.4 878.8 881.8 878.8 880.9 878.2 878.3 877.3 877.6 878.4 879.4 877.6 877.1 878.7,66.67,66.68,66.69,0,0,0,0,67.2,197
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,583.4 583.9 582.9 583.1 582.6 582.9 584.6 583.4 583 582 584.3 581.7 584.3 583.4 582 581.7 582.6 583.4 582 580.5,105.1,105.1,105.1,0,0,0,0,74.35,288
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,375.2 373.1 387.1 396.1 365.5 361.8 361.5 363.8 367.2 361.9 363.5 362.6 364.5 362.8 377.1 398 370.7 364.4 379.3 373.1,69.37,69.38,69.42,0,0,0,1,88.55,664
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.525 8.519 8.518 8.521 8.518 8.517 8.518 8.52 8.523 8.519,0.3672,0.3672,0.3672,0,0,0,0,0.1,1
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,192 186.8 186.7 186.7 186.8 186.9 187.1 186.6 186.6 186.7,350.4,350.4,350.4,0,0,0,0,1.2,4
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.32 22.33 22.36 22.34 22.33 22.44 22.31 22.28 22.33 22.29,6.574,6.574,6.574,0,0,0,0,1,4
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,456.2 456.4 456 456 456.1 456 456.1 456.7 456.1 456,267.5,267.5,267.5,0,0,0,0,1.2,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,28.31 28.28 28.27 28.25 28.23 28.98 28.24 28.24 28.22 28.23,5.613,5.613,5.613,0,0,0,0,1.4,5
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,93.7 93.62 93.63 93.62 93.58 93.8 93.43 93.43 93.48 96.64,96.1,96.1,96.1,0,0,0,0,1.3,4
