suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,799.1 794.7 797 800.4 792.2 812.5 828.4 804.7 826.6 828.8 821.9 828.3 790.2 827 820.9 784.6 825.6 835.9 810.5 809.9,140.3,140.3,140.3,0,0,0,5,61.95,242
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1587 1588 1587 1584 1587 1588 1593 1610 1643 1615 1637 1612 1611 1639 1616 1642 1742 1668 1619 1636,237.1,237.3,237.4,0,0,0,12,145.3,648
CompilationBenchmarksBigWeekly,scalaz,60,1,28348 28225 28497 28447 28533 28466 28676 29738 29903 28377 28690 28458 29393 29300 28847 28325 29313 29980 30467 28523,3987,3990,3996,2,2.85,3,5,193.6,888
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,254.7 255.6 254.1 253.9 252.9 254.5 253.7 253.2 254.3 256.6 254.3 253.3 254.6 254.4 251.8 258.2 259.9 257.7 251.4 252,61.95,61.97,61.99,0,0,0,0,53.95,231
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,161.4 161 160.7 160.9 160.1 161.4 159.9 160.7 165.8 160.2 158.3 158.1 159.1 159.6 159.2 159.3 159.7 158.6 158.6 159,44.5,44.5,44.51,0,0,0,0,26,82
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,149 148.5 149 148.3 148.8 148 148 148.7 148 148.3 147.4 148 147.6 147.8 147.4 147.6 147.8 146.8 147.5 147.3,39.34,39.35,39.35,0,0,0,0,25.85,71
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,145.6 146.1 145.9 145.9 145.5 146.1 149.5 145.4 145.9 145.6 144.2 145.7 144.2 144.8 144 144.6 144.8 143.5 144.7 147.2,39.56,39.57,39.57,0,0,0,1,31.25,128
CompilationBenchmarksSmallWeekly,findRef,150,1,113.9 113.7 113.3 113.4 112.4 114.8 112.8 113.6 113.3 113.6 113.5 113.4 112.7 113.5 111.9 113.3 111.4 112 111.6 111.9,30.25,30.25,30.26,0,0,0,1,33.6,119
CompilationBenchmarksSmallWeekly,i1535,150,1,188.8 187.4 187.1 189.6 188.1 187.9 191.3 186.3 186.4 186.2 188.7 187 189 186.1 187.1 188 188 189.2 187.6 187,44.6,44.61,44.61,0,0,0,4,45.35,135
CompilationBenchmarksSmallWeekly,i1687,150,1,116.7 116.7 117 116.6 116.9 116.5 116.9 116.4 116.7 116.6 116.6 116.5 115.9 116.3 116.3 116.4 116.3 116.1 116.7 115.9,33.01,33.01,33.01,0,0,0,2,23,66
CompilationBenchmarksSmallWeekly,implicitCache,150,1,168.8 167.9 173.5 168.9 167.1 168 168.1 167.3 169 167.3 167.1 167 167.2 167.7 166.8 166.8 167.9 168.4 167.8 166.7,44.3,44.3,44.3,0,0,0,1,24.05,81
CompilationBenchmarksSmallWeekly,implicitNums,150,1,376.8 376.4 377.1 376.1 376.4 376.3 376.6 376.2 376.1 377.1 376.4 377.5 378.9 386 379.1 377.9 383.6 387.8 390.1 380.8,87.06,87.1,87.7,0,0,0,0,33.5,202
