suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,799.7 812.1 789 793.6 784.7 784.9 784 785.7 784.2 784 784 784.2 787.6 783.1 783 784.3 781.8 788.4 783 783.3,140.9,140.9,140.9,0,0,0,2,63.3,219
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1657 1624 1613 1612 1611 1610 1611 1609 1610 1610 1609 1608 1609 1608 1608 1608 1606 1607 1789 1630,237.5,237.6,237.7,0,0,0,16,151,658
CompilationBenchmarksBigWeekly,scalaz,60,1,28824 28312 28473 28945 28813 29720 30662 29292 28954 28704 28831 29155 29647 29157 29390 28646 30078 28479 29074 28554,3994,3997,4001,2,2.6,3,7,187.5,860
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,252.8 254.4 252.8 252.4 251.9 252.4 254.6 251.7 252.4 253.7 252.4 252 252.4 252.5 250.9 252.5 254.1 255.2 253.8 249.7,61.98,62.01,62.03,0,0,0,0,77.9,524
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,162 162.5 162.2 162.1 162.3 162.5 162.8 161.9 162.3 160.8 161.2 161.6 161.3 161.8 161.3 161.6 161.9 161.5 161 161.3,44.83,44.84,44.84,0,0,0,0,25.6,122
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,152.9 152.1 151.2 151 151 151.4 150.6 151.2 151.7 151.4 151.7 150.5 151.7 151.5 152 150.5 161.3 161.3 160.1 159.2,39.51,39.52,39.52,0,0,0,1,24.45,81
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,148 148.8 148.9 147.7 148.3 148.3 148.1 147.9 147.4 147.8 146.6 147.8 147.6 147.1 146.2 147.1 147 146 168.6 146.6,39.54,39.55,39.56,0,0,0,2,34.8,87
CompilationBenchmarksSmallWeekly,findRef,150,1,116.1 114.9 114.8 114.3 115.8 114.9 114.4 113.9 115.1 114.2 114 113.7 114.4 114 115.1 113.1 113.7 114.3 113.9 112.9,30.42,30.42,30.42,0,0,0,0,36.25,123
CompilationBenchmarksSmallWeekly,i1535,150,1,192.3 191.9 191.4 191.7 191.3 215.4 201.9 194.1 191.1 190.8 193.5 189.4 187.9 188.2 187.7 188.4 187.8 189.6 210.9 188.6,44.68,44.69,44.69,0,0,0,3,43.8,153
CompilationBenchmarksSmallWeekly,i1687,150,1,120.6 121.2 120.7 121.9 121.7 121.4 122.3 120.9 122.4 121 120.8 121.4 121.8 120.7 120.6 121.2 120.8 121.3 121.8 121,32.98,32.98,32.99,0,0,0,5,24.15,68
CompilationBenchmarksSmallWeekly,implicitCache,150,1,169.6 169.3 169 168.7 168 168.9 168.6 168.4 185.8 174.3 168 178.6 171.2 167.6 166.7 166.9 168 170.6 167.9 166.5,44.27,44.27,44.27,0,0,0,0,25.05,85
CompilationBenchmarksSmallWeekly,implicitNums,150,1,375.4 374.5 375.4 379.7 377.3 375.2 375.9 375.1 377.8 379 379.9 375.8 375 375.4 379.7 375.4 376.1 374.8 375.6 375.5,86.36,86.37,86.37,0,0,0,1,32.55,210
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,178.5 185.7 180.3 177.3 177.2 175.2 175.4 174.7 176.6 175.4 174.5 174.3 174.6 174.3 174.1 174.6 174.9 176.2 174.8 173.9,44.67,44.67,44.67,0,0,0,0,25.6,110
