suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,786.7 782.5 780.8 786.3 782.4 781.8 781 783.6 783 780.1 780.9 781.6 782 780.8 780.9 786.1 828.8 860.9 795.4 829.2,140.6,140.6,140.6,0,0,0,2,54.15,170
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1702 1607 1591 1569 1569 1582 1640 1565 1571 1564 1569 1566 1626 1616 1561 1585 1591 1575 1581 1584,237.4,237.5,237.5,0,0,0,15,134.7,485
CompilationBenchmarksBigWeekly,scalaz,60,1,28137 28629 28398 28199 28406 28450 28451 27990 30826 29781 29119 28084 27727 29768 28188 28071 28143 28419 29649 29775,4055,4058,4065,2,2.95,3,4,191.3,880
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,251.1 253.1 251.8 250.8 251.4 250.6 250.9 250.9 250.6 248.7 250 250.1 249.3 251.1 250.9 247.1 250.1 247.8 252.4 247.6,61.76,61.78,61.81,0,0,0,0,59.9,211
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,163.6 163.1 163.7 164.1 163 164.1 162.3 163.4 164.1 163.5 162.2 163.1 163 163.1 163.3 162.8 163.4 162.4 162.6 162.2,44.48,44.49,44.49,0,0,0,0,23.45,51
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,153 146.9 146.5 148.8 149.1 147.8 146.4 146.1 147 146.3 147 146.2 146 145.4 145.1 145 146 146.7 145.4 144.5,39.34,39.35,39.35,0,0,0,0,24.8,81
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,151.7 151.8 150.3 151.7 151.5 150.4 150.7 150.3 150.9 150.4 151.4 150.7 151.3 151.5 152.5 150.2 149.7 150.7 150.1 149.5,39.61,39.61,39.62,0,0,0,1,27.75,79
CompilationBenchmarksSmallWeekly,findRef,150,1,117.4 115.3 129.2 120.8 116.1 115.6 116.1 114.2 114.7 114.2 114.5 114.3 115.1 113.8 115.2 113.9 114.4 114.5 114.6 113.4,30.44,30.45,30.45,0,0,0,2,36.6,111
CompilationBenchmarksSmallWeekly,i1535,150,1,190.7 190.3 189.9 190.9 190 190.6 191.3 191.8 189.5 189.2 193.1 189.4 188.4 188.2 188.7 188.5 188.1 189.3 188.8 187.9,44.71,44.72,44.72,0,0,0,0,42.25,218
CompilationBenchmarksSmallWeekly,i1687,150,1,122.2 123.7 122.2 122.1 121.7 121.8 121.7 121.1 122.4 121.5 121.2 121.3 122.2 121.1 121.3 121.9 121.1 121.6 122.2 119.5,33.02,33.02,33.02,0,0,0,1,21.6,67
CompilationBenchmarksSmallWeekly,implicitCache,150,1,170.2 169.4 169.6 168.9 168.7 169.2 169.2 168.6 169.8 168.6 168.7 168.5 169.1 169.2 168.2 168.2 168.3 169.4 168.2 168,44.38,44.38,44.39,0,0,0,0,25.4,107
CompilationBenchmarksSmallWeekly,implicitNums,150,1,371 378.4 370.6 370.8 369.7 370.1 370.2 369.4 378.7 372 369.6 369.4 369.4 369.2 369.9 370.2 369.2 369.6 368.8 422.5,86.29,86.29,86.3,0,0,0,0,37.2,235
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,180.5 178.9 178.7 178.9 179.1 178.7 179.3 178.5 180.2 179 178.4 178.2 178.3 177.7 178.8 178.3 178.5 178.8 178 177.1,44.71,44.71,44.71,0,0,0,1,36.9,93
