suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,783.9 783.8 782.5 782.9 782.5 782.3 781.6 781 782.2 782 782.1 782.1 782.1 781.8 782.4 781.1 781.2 780.6 781.8 781,141.4,141.4,141.4,0,0,0,4,49.7,160
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1613 1594 1615 1612 1592 1589 1593 1589 1591 1591 1590 1588 1589 1590 1588 1589 1587 1588 1587 1588,240.4,240.5,240.6,0,0,0,21,142.1,460
CompilationBenchmarksBigWeekly,scalaz,60,1,28454 28416 30037 28194 28150 28862 29462 28366 29632 29301 28315 28567 30706 29569 28489 28404 28725 28441 28827 28727,4048,4051,4056,2,2.9,3,39,205.5,814
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,246.2 247.3 245.3 245.6 245 245.7 245.3 244.7 245.2 246.7 246 244.7 246 245.9 243.4 246 247.1 246.9 246.1 242.1,61.28,61.31,61.33,0,0,0,0,53.05,245
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,176.5 175.8 176.9 176 176.1 179.1 174.3 177.8 178.8 175.5 176.1 190.4 177.4 176.3 171 175 175.3 174.7 174.2 176.7,44.72,44.73,44.73,0,0,0,1,27,63
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,146.4 147.2 147 146.4 145.9 146.1 146 146.3 144.7 146.4 146.2 146.7 146.4 146.7 146.4 146.7 146.7 145.2 156.3 145.3,39.4,39.4,39.41,0,0,0,1,20.4,62
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,148.6 147.8 147 147.9 147.7 147 147.4 147.1 147.8 147.1 147.7 146.6 147.5 148.4 148.5 146.8 146.2 151.4 146.6 145.6,39.74,39.74,39.75,0,0,0,2,34.3,111
CompilationBenchmarksSmallWeekly,findRef,150,1,110.8 110.7 110.1 110.1 111.4 110.8 110 110.5 110.2 110.5 110.1 110.4 109.5 110.1 109 110.7 108.5 109.3 108.9 108.8,30.33,30.33,30.34,0,0,0,0,29.15,92
CompilationBenchmarksSmallWeekly,i1535,150,1,190.7 190.3 190.1 191.4 190.6 190.6 191.2 190 189.7 189.9 189.7 189.2 189.6 189 188.7 188.8 188.7 189.6 188.4 187.9,44.87,44.88,44.88,0,0,0,1,36.8,136
CompilationBenchmarksSmallWeekly,i1687,150,1,119.2 118.6 118.9 118.7 118.8 118.8 119.1 118 118.1 117.2 118.7 118.7 117.4 118.5 118.3 118.3 118.5 118.2 118.6 117.2,33.05,33.06,33.06,0,0,0,1,20.5,80
CompilationBenchmarksSmallWeekly,implicitCache,150,1,167.7 167.5 167.3 168.3 167.5 175.2 168.3 167.7 169.2 167.5 166.9 166.8 167.4 168 167.5 167.6 167.8 168.7 167.6 167.2,44.25,44.25,44.25,0,0,0,4,26.3,117
CompilationBenchmarksSmallWeekly,implicitNums,150,1,372.5 374.5 372 372 371.2 371.9 372.1 371.1 373.7 371.9 373.2 371.6 370.9 371.2 370.8 372.2 371 371.6 375.6 370.2,87.31,87.31,87.32,0,0,0,0,36.1,166
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,182.2 180.9 183 176.2 176.5 181 170.2 181.8 176.7 179.7 172.9 172.5 177.8 181.3 181 179.7 180.6 177.2 183.4 171.1,44.82,44.82,44.83,0,0,0,0,21.05,74
CompilationBenchmarksSmallWeekly,tuple,150,1,185.2 185.5 185.7 185.9 185.5 185.4 185.2 185 185.5 185 185.1 185.1 184.6 186.3 184.9 184 184.6 184.6 184.9 184.3,47.66,47.66,47.66,0,0,0,2,23.55,80
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,186.2 159.1 152.1 158 149 158.5 148.2 148.1 154.4 159 150.9 156.1 147.6 153.6 152.6 157.4 156.2 152.2 148.7 157.1,38.4,38.4,38.41,0,0,0,1,34.25,99
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,177.4 176.9 178 177.9 177.7 177.6 177.6 178 176.4 177.5 177.1 176.9 177 176.9 176.5 176.8 176.8 176.4 177.1 176.7,44.99,45,45,0,0,0,1,22.15,113
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,117 140.6 124.7 122.6 115.9 117.2 122.2 121.6 121.6 121.6 121.2 115.8 119.8 121.9 113.6 114.9 121.8 123.2 122.6 120.8,33.4,33.4,33.4,0,0,0,0,13.75,47
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,137.5 136.9 138.3 137.6 137.6 137.5 137.7 137.1 137 138.1 137.6 138.3 137.2 137.6 134.9 137 135.7 136.2 136.6 137.1,36.26,36.27,36.27,0,0,0,0,28.8,62
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,187.2 186.9 187 178.2 187 186.6 176 185.3 187.7 186 187.5 177.8 185.3 186.1 185.8 185.9 185.5 177.7 186.1 173.4,44.29,44.29,44.3,0,0,0,6,45.2,135
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,122.7 127.7 130.8 121.4 121.4 134.5 121.1 135.2 121.7 121.2 120.1 120 120.6 120.4 124.3 120.9 120.2 120.2 119.9 119.8,34.44,34.44,34.44,0,0,0,0,22.6,68
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5097 5101 5107 5105 5090 5084 5192 5216 5452 5228 5426 5217 5165 5082 5081 5082 5080 5088 5073 5074,657.9,658,658,0,0,0,42,232,598
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.52 21.67 21.29 21.56 21.49 21.62 21.54 21.6 21.48 21.54,4.439,4.439,4.439,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.15 15.15 15.15 15.14 15.12 15.11 15.14 15.14 15.12 15.11,16.82,16.82,16.82,0,0,0,0,0.9,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,29.27 29.34 29.3 29.28 29.27 30.13 29.51 27.69 27.63 27.64 27.65 27.66 27.62 27.65 27.65 27.64 27.61 27.68 27.63 27.65,36.4,36.44,36.52,0,0,0,0,0.95,6
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,22.92 22.72 22.74 22.84 22.71 22.57 22.46 22.46 22.47 22.44,15.8,15.81,15.83,0,0,0,0,1.2,6
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,234.8 138.1 139 138.5 139.2 138.5 141.7 144.2 139.5 139.5 139 139.2 139.1 139.3 139.4 139 139.5 140.4 139.7 139.2,490.4,490.4,490.4,0,0,0,0,0.65,5
RuntimeBenchmarksAwfyWeekly,json,10,10,14.53 14.5 14.57 14.54 14.54 14.52 14.51 14.51 14.54 14.56,16.53,16.53,16.53,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,160.5 157.9 154.5 154.8 154.7 154.8 154.8 154.5 154.9 154.6 154.9 154.6 154.8 155.2 154.7 154.8 154.6 154.6 154.6 154.5,23.26,23.26,23.26,0,0,0,0,1.85,8
RuntimeBenchmarksAwfyWeekly,list,10,1000,69.81 70.09 69.86 70.45 69.79 69.74 69.93 70.01 69.84 69.73,0.7268,0.7268,0.7268,0,0,0,0,0.9,2
