suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27200 27349 27567 26472 26400 27297 28232 27642 27419 27678 26663 26431 27415 27732 27225 27380 27973 27661 27356 27571,4397,4398,4404,0,0,0,958,1103,1405
CompilationBenchmarksBigNightly,caskApp,150,1,556.9 552 551.2 552.1 550.4 556.1 556.3 557.4 555.7 557.5 557.7 555.5 555.8 555.4 555.2 555.6 555.1 562 560.5 554.1,109.1,109.1,109.1,0,0,0,2,85.45,244
CompilationBenchmarksBigNightly,dottyUtils,170,1,1114 1114 1113 1111 1113 1113 1112 1114 1112 1109 1112 1111 1111 1110 1112 1111 1111 1112 1108 1112,158.7,158.7,158.8,0,0,0,0,92,515
CompilationBenchmarksBigNightly,fansi,150,1,1312 1313 1313 1442 1375 1320 1298 1295 1300 1307 1305 1305 1309 1306 1306 1307 1304 1437 1348 1304,204.1,204.1,204.1,0,0,0,312,429.5,770
CompilationBenchmarksBigNightly,parallelCollections,100,1,4632 4634 4641 4638 4637 4635 4639 4638 4636 4638 4912 4638 4637 4636 4851 4635 4633 4652 4643 4634,604,604,604,0,0,0,1,83.9,281
CompilationBenchmarksBigNightly,re2s,120,1,1893 1884 1857 1831 1835 1832 1827 1844 1995 1838 1833 1843 1842 1828 1858 1826 1820 1840 1820 1816,264.4,264.5,264.5,0,0,0,1,207.2,1033
CompilationBenchmarksBigNightly,scalaToday,150,1,3338 3337 3338 3336 3336 3335 3335 3335 3335 3495 3424 3434 3363 3362 3334 3331 3354 3334 3331 3333,492.3,492.4,492.7,0,0,0,17,163.5,329
CompilationBenchmarksBigNightly,scalaYaml,80,1,4484 4489 4545 4535 4536 4549 4538 4533 4535 4534 4552 4535 4760 4530 4685 4567 4488 4473 4494 4478,570.1,570.2,570.4,0,0,0,10,161.4,485
CompilationBenchmarksBigNightly,sourcecode,170,1,949.2 946.3 1031 969.3 948.2 948.8 948 960.8 949.2 948 973.8 946.5 941.5 945.8 943.7 943.5 944.5 943 943.9 943.9,165,165,165,0,0,0,0,91.35,415
CompilationBenchmarksBigNightly,tastyQuery,60,1,5066 5070 5064 5072 5067 5419 5155 5062 5059 5068 5059 5058 5179 5369 5086 5056 5068 5106 5101 5102,661.1,661.2,661.3,0,0,0,19,192.8,593
CompilationBenchmarksBigNightly,tictactoe,150,1,1139 1120 1120 1121 1118 1119 1118 1143 1143 1119 1124 1116 1117 1116 1119 1123 1118 1120 1138 1184,214.6,214.7,214.7,0,0,0,57,269.4,1238
CompilationBenchmarksSmallNightly,helloWorld,150,1,121.1 120.8 121.2 120.1 120.4 119.9 142.5 119.7 121.1 121.1 119.8 121.5 121.3 121.1 121.5 121.1 120.7 121.4 120.4 120,34.07,34.07,34.07,0,0,0,0,19.2,61
CompilationBenchmarksSmallNightly,implicitInductive,150,1,913.8 906.7 884.6 886.5 876.4 884.8 904.7 884.9 890.4 899.3 886.9 889.3 889.1 889.1 885.4 883.7 888.9 876.7 882.1 872,66.86,66.87,66.87,0,0,0,1,55.65,162
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,571.5 571 576 574.9 575.6 575 575.4 575.1 574.9 575.2 574.4 575 572.8 570.7 570.5 573.7 573.9 573.5 574.8 573.9,102.5,102.5,102.5,0,0,0,0,60.35,266
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,354.9 360.2 353 353.8 351.4 349.4 349 350.4 351.9 349.5 349.2 388.6 352.2 357 349.9 349.4 348.9 350.6 348.6 347.5,69.26,69.26,69.3,0,0,0,2,88.2,611
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.521 8.518 8.537 8.527 8.518 8.533 8.523 8.523 8.529 8.527,0.3672,0.3672,0.3672,0,0,0,0,0,0
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,229.2 127 127.1 126.9 126.8 127 126.8 126.7 133.6 128.7,350.4,350.4,350.4,0,0,0,0,2.5,13
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.28 22.29 22.3 22.29 22.32 22.33 22.29 22.27 22.26 22.29,6.574,6.574,6.574,0,0,0,0,1.1,5
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,424.9 420.3 421.3 420.4 420.3 420.3 421.2 420.2 420.3 472.9,222.9,222.9,222.9,0,0,0,0,1.2,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,26.05 25.56 25.52 25.89 26.03 26.45 25.58 26.12 26.02 25.86,5.613,5.613,5.613,0,0,0,0,1.4,5
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,75.72 75.42 75.29 103.3 78.27 75.35 75.2 75.17 75.51 75.36,96.1,96.1,96.1,0,0,0,0,1.6,6
