suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,786.5 787.2 786.5 785.6 786 775 784.9 784.4 785.7 786 786.2 785.2 788.5 786.5 784.5 807.8 825.8 814.7 827.7 811.5,141.4,141.4,141.4,0,0,0,2,59.7,220
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1577 1582 1584 1580 1580 1580 1581 1579 1580 1579 1577 1577 1611 1634 1629 1646 1613 1640 1607 1640,240.3,240.5,240.6,0,0,0,16,153.2,558
CompilationBenchmarksBigWeekly,scalaz,60,1,29088 29885 29615 29334 29588 28779 30234 31827 29723 29554 29489 29493 29825 28754 29500 29000 29564 30780 29376 28924,4075,4080,4086,2,2.75,3,31,194,846
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,253.3 250.6 247.7 247.1 247.2 246.9 246.7 247.1 246.4 244.7 245.9 246 244.7 244.2 245.9 242.9 245.9 242.8 244.8 245.4,61.28,61.3,61.32,0,0,0,0,45.3,179
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,161.5 161.6 161 161.3 161.9 161.9 160.4 162.2 163.5 161.1 160.7 161.3 161.2 167.1 162 161.8 162.1 162.7 161.9 166.1,44.82,44.82,44.83,0,0,0,0,31.8,106
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,148.8 148.9 148.3 148 149 149.1 148.2 148 149 149.2 148.8 148 148.7 148.2 147.6 147.2 148 148.6 147.7 146.6,39.56,39.57,39.57,0,0,0,1,24.05,74
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,145.2 145.8 144.8 145.6 145.4 144.9 145.3 144.3 145.1 145 143.4 144.5 143.2 144.1 143.4 143.9 143.3 142.7 143.9 143.8,39.68,39.69,39.69,0,0,0,1,31.3,84
CompilationBenchmarksSmallWeekly,findRef,150,1,113.7 112.6 112.7 112.3 111.8 114.4 111.5 112.8 111.8 112.6 112.4 112.8 111.5 112.6 110.8 112.9 111 111.5 110.8 111.4,30.46,30.47,30.47,0,0,0,0,27.2,66
CompilationBenchmarksSmallWeekly,i1535,150,1,191.1 207.7 197.9 191.3 199.6 194.7 190 191.7 191.6 192.1 188.2 190.9 189.9 190.7 190.9 190.1 190.8 187.7 189.4 189.1,44.82,44.83,44.83,0,0,0,4,34.45,102
CompilationBenchmarksSmallWeekly,i1687,150,1,118.2 119.1 118.2 118 118 117.9 117.9 117.6 118.7 118 117.5 117.7 118.2 117.3 117.7 118 117.3 117.6 118.2 117.1,33.06,33.06,33.06,0,0,0,0,22,70
