suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27212 28297 28246 26940 29542 30146 27297 33547 31513 28668 27136 26747 29657 30132 30128 29524 30214 29787 28234 27335,4398,4398,4398,0,0,0,955,1101,1385
CompilationBenchmarksBigNightly,caskApp,150,1,564.2 557 561.4 587.5 598.3 590.9 597.3 598.3 598.5 561 562 564.3 563 589.4 597.8 594.6 595.7 591.5 592.2 555.3,108.7,108.7,108.8,0,0,0,9,107.4,370
CompilationBenchmarksBigNightly,dottyUtils,170,1,1129 1128 1129 1127 1128 1127 1127 1129 1127 1126 1126 1127 1125 1126 1126 1127 1125 1126 1125 1127,159.1,159.1,159.1,0,0,0,0,66.8,361
CompilationBenchmarksBigNightly,fansi,150,1,1303 1303 1303 1302 1302 1303 1305 1304 1305 1304 1301 1304 1300 1302 1300 1301 1300 1303 1301 1299,205.2,205.2,205.2,0,0,0,323,433.1,718
CompilationBenchmarksBigNightly,parallelCollections,100,1,4605 4698 4680 4612 4609 4615 4611 4610 4624 4612 4604 4609 4604 4606 4606 4605 4610 4606 4603 4604,602.9,602.9,602.9,0,0,0,4,93.2,335
CompilationBenchmarksBigNightly,re2s,120,1,1875 1870 1871 1864 1874 1862 1867 1868 1868 1864 1851 1833 1829 1827 1820 1828 1825 1823 1824 1823,265,265,265,0,0,0,6,171.6,744
CompilationBenchmarksBigNightly,scalaToday,150,1,3582 3368 3321 3312 3311 3309 3310 3311 3310 3311 3309 3310 3308 3309 3308 3309 3308 3308 3306 3305,491.7,491.7,491.7,0,0,0,17,120.5,265
CompilationBenchmarksBigNightly,scalaYaml,80,1,4594 4595 4596 4593 4590 4599 4590 4598 4590 4590 4658 4982 4608 4592 4804 4872 4600 4591 4593 4607,570.6,570.7,570.9,0,0,0,14,148.1,400
CompilationBenchmarksBigNightly,sourcecode,170,1,916.3 923 916.4 918.9 916.4 915.5 916 934.5 914.2 915.1 912.2 914.4 915.7 917.7 912.2 912.6 911.8 911.7 912.2 914.5,164.5,164.5,164.7,0,0,0,0,85.95,431
CompilationBenchmarksBigNightly,tastyQuery,60,1,5202 5210 5138 5102 5096 5090 5089 5088 5088 5085 5085 5087 5084 5084 5083 5083 5451 5213 5107 5074,661.7,661.8,662,0,0,0,13,197.8,580
CompilationBenchmarksBigNightly,tictactoe,150,1,1143 1138 1137 1137 1137 1137 1136 1135 1136 1134 1149 1135 1134 1135 1133 1133 1134 1132 1132 1134,214.2,214.2,214.2,0,0,0,63,251.5,1333
CompilationBenchmarksSmallNightly,helloWorld,150,1,133.4 132.7 124.8 127.4 124.8 123.9 124.4 124 125 123.8 123.2 123.3 124.4 123.9 123.2 123.9 123.6 123.9 123.6 124.8,34.06,34.06,34.06,0,0,0,1,23,59
CompilationBenchmarksSmallNightly,implicitInductive,150,1,884.1 885.7 885 886.7 883.5 883.2 882 882.3 887 883.2 885.7 881.3 898.5 883.8 879.8 880.8 880.7 878.8 879.8 878.5,66.86,66.87,66.87,0,0,0,1,55.7,186
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,665.5 597.6 589.5 587.7 588.8 588.5 587.1 587.2 588.6 588 607.4 591 587.1 587.3 586.1 584.9 585.9 586.1 585.8 582.8,102.9,103,103,0,0,0,11,70.45,316
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,353.7 361 350.6 349.9 347 346.8 346.6 347.2 349.5 346.5 347.2 346.7 346.6 346.1 346.1 345.4 345.1 346.1 344.9 345.8,69.27,69.28,69.33,0,0,0,1,95.95,845
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.531 8.523 8.547 8.529 8.527 8.575 8.533 8.527 8.541 8.525,0.3672,0.3672,0.3672,0,0,0,0,0,0
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,231.6 127.1 127.2 127.5 127 127.2 126.8 127 130.8 132.4,350.4,350.4,350.4,0,0,0,0,2.3,13
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.22 22.26 22.33 22.26 22.25 22.34 22.26 22.25 22.26 22.23,6.574,6.574,6.574,0,0,0,0,0.9,5
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,418.8 419.6 418.6 418.6 418.6 429 494.1 419 418.8 418.7,222.9,222.9,222.9,0,0,0,0,1.1,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,25.52 25.54 25.72 25.52 25.57 26.36 26.56 26.52 26.31 25.97,5.613,5.613,5.613,0,0,0,0,1.7,4
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,74.97 74.95 74.84 92.78 87.7 75.07 74.84 74.78 74.84 74.85,96.1,96.1,96.1,0,0,0,0,1.3,5
