suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,29758 28559 27958 28252 28028 28144 28409 27577 27567 27004 28159 28612 27965 28138 28198 27783 28108 28163 28857 28512,4468,4469,4469,0,0,0,918,1075,1444
CompilationBenchmarksBigNightly,caskApp,150,1,558.3 553.9 553.7 553.9 549.3 553 555.6 553.3 556.4 553.8 554.7 557.1 555.7 617.1 564.2 554.5 552.1 587.8 551.2 548.7,109,109,109,0,0,0,1,94.7,258
CompilationBenchmarksBigNightly,dottyUtils,170,1,1126 1126 1151 1132 1125 1124 1128 1115 1111 1117 1111 1111 1113 1114 1112 1112 1111 1110 1123 1124,158.6,158.6,158.6,0,0,0,0,71.6,235
CompilationBenchmarksBigNightly,fansi,150,1,1350 1352 1352 1352 1352 1350 1350 1352 1349 1352 1352 1353 1352 1485 1423 1353 1349 1346 1350 1349,205.4,205.5,205.6,0,0,0,336,424.9,746
CompilationBenchmarksBigNightly,parallelCollections,100,1,4583 4584 4579 4581 4581 4580 4581 4581 4577 4622 4579 4758 4608 4633 4695 4579 4581 4593 4627 4594,603.8,603.8,603.8,0,0,0,1,87.25,303
CompilationBenchmarksBigNightly,re2s,120,1,1848 1849 1849 1848 1849 1850 1872 1904 1877 1894 1876 1884 1878 1885 1857 1886 1871 1868 1882 1850,264.9,264.9,265.1,0,0,0,3,199.4,863
CompilationBenchmarksBigNightly,scalaToday,150,1,3340 3344 3341 3339 3340 3337 3336 3338 3337 3549 3449 3345 3340 3337 3339 3337 3365 3348 3336 3335,490.4,490.4,490.4,0,0,0,31,129,285
CompilationBenchmarksBigNightly,scalaYaml,80,1,4485 4489 4485 4482 4480 4493 4484 4479 4481 4480 4497 4704 4669 4523 4493 4500 4483 4475 4479 4481,572.8,572.9,573.1,0,0,0,11,162.3,452
CompilationBenchmarksBigNightly,sourcecode,170,1,955.8 988.7 982.7 982.1 979.4 979.9 984.7 978.4 982.4 980.1 979.1 978.7 973 985 977.4 978.2 978.3 978.2 976 976.7,164.7,164.7,164.8,0,0,0,0,92.4,491
CompilationBenchmarksBigNightly,tastyQuery,60,1,5237 5238 5258 5268 5257 5188 5094 5086 5086 5082 5084 5085 5081 5082 5083 5082 5081 5082 5079 5077,663.1,663.2,663.3,0,0,0,15,209.4,762
CompilationBenchmarksBigNightly,tictactoe,150,1,1177 1144 1143 1144 1142 1142 1142 1140 1145 1143 1143 1140 1140 1141 1158 1154 1151 1161 1168 1201,213.9,213.9,213.9,0,0,0,68,286.7,1317
CompilationBenchmarksSmallNightly,helloWorld,150,1,124 124.1 123.7 131.4 131.4 130.6 131.5 142.5 132.3 129.6 130.9 129.9 131.3 130.1 123 129.9 122 123.8 130.3 129,33.98,33.98,33.98,0,0,0,1,20.5,62
CompilationBenchmarksSmallNightly,implicitInductive,150,1,869.3 868.5 868.8 868.1 868.3 868.6 867.9 867.9 867.1 867.2 866.1 868.4 866.7 866.4 866.8 867.1 868.1 867.3 866.6 866.3,66.95,66.96,66.97,0,0,0,1,45.4,162
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,584.3 583.9 583.3 583.3 583.4 583.4 582.7 583.4 583.4 583.2 582.8 584.4 581.7 584.2 583.9 583.3 582.9 582.1 582.9 580.8,102.8,102.9,102.9,0,0,0,0,47.8,174
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,367.5 372 362.8 372.6 360.6 362.7 356 356.4 367.8 361.1 357.3 383.5 354 354.3 355 353.8 355.7 354.2 353.6 353.4,69.38,69.4,69.6,0,0,0,0,99.55,604
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.547 8.558 8.546 8.547 8.605 8.544 8.565 8.543 8.543 8.565,0.3672,0.3672,0.3672,0,0,0,0,0,0
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,229.5 127.2 126.8 126.7 126.9 126.9 126.8 126.8 130.5 132.2,350.4,350.4,350.4,0,0,0,0,2,13
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.31 22.35 22.33 22.32 22.32 22.41 22.37 22.32 22.34 22.31,6.574,6.574,6.574,0,0,0,0,1,5
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,421.5 421.5 421.6 421.6 421.5 421.4 421.6 421.6 421.6 421.5,222.9,222.9,222.9,0,0,0,0,1.2,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,26.28 26.27 26.31 26.29 26.29 26.45 26.31 26.94 26.4 26.3,5.613,5.613,5.613,0,0,0,0,1.2,4
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,75.05 74.95 74.89 92.02 88.64 75.17 74.88 74.87 74.88 74.84,96.1,96.1,96.1,0,0,0,0,1.2,5
