suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27905 28141 27487 28595 28207 26978 26771 26815 27850 28055 27484 27679 27975 28026 28369 28133 27277 26791 26758 26827,4412,4413,4420,0,0,0,881,1087,1546
CompilationBenchmarksBigNightly,caskApp,150,1,567.9 564.7 563.7 564.9 564.4 563.5 565.3 564.3 564.9 564.8 564.6 568.3 570 566.3 574.2 567.8 566.2 569.8 565.6 565.4,109.4,109.4,109.4,0,0,0,3,111.2,382
CompilationBenchmarksBigNightly,dottyUtils,170,1,1088 1090 1089 1090 1086 1086 1091 1089 1087 1091 1086 1084 1088 1090 1093 1086 1085 1085 1102 1086,158.9,159,159,0,0,0,0,104.8,538
CompilationBenchmarksBigNightly,fansi,150,1,1307 1308 1307 1309 1305 1304 1315 1306 1312 1306 1305 1306 1306 1306 1303 1306 1329 1310 1306 1304,207.7,207.7,207.9,0,0,0,318,451.2,768
CompilationBenchmarksBigNightly,parallelCollections,100,1,4598 4598 4595 4597 4595 4597 4606 4604 4615 4599 4597 4600 4601 4602 4648 4834 4688 4654 4623 4618,606,606,606,0,0,0,1,95.45,298
CompilationBenchmarksBigNightly,re2s,120,1,1822 1822 1830 1825 1831 1828 1826 1838 1830 1822 1801 1816 1832 1820 1852 1818 1820 1837 1816 1814,265.3,265.3,265.3,0,0,0,4,205.9,1050
CompilationBenchmarksBigNightly,scalaToday,150,1,3321 3344 3321 3320 3320 3319 3320 3318 3322 3320 3320 3319 3320 3490 3319 3319 3363 3447 3318 3392,494.5,494.5,494.9,0,0,0,14,121.4,293
CompilationBenchmarksBigNightly,scalaYaml,80,1,4454 4453 4454 4453 4469 4613 4533 4648 4455 4480 4445 4445 4453 4446 4445 4444 4443 4439 4441 4440,572.9,573,573.1,0,0,0,19,152,441
CompilationBenchmarksBigNightly,sourcecode,170,1,940.3 1053 946.1 946.3 940.3 940.7 944.6 996.9 989.6 982 990.7 989.6 990.6 938.9 943.9 940.9 968.3 986 960.6 988.1,165,165,165,0,0,0,0,88.8,441
CompilationBenchmarksBigNightly,tastyQuery,60,1,5134 5132 5130 5135 5135 5130 5078 5076 5181 5240 5132 5208 5078 5079 5089 5080 5084 5073 5066 5066,662.4,662.4,662.5,0,0,0,32,202.2,574
CompilationBenchmarksBigNightly,tictactoe,150,1,1150 1151 1150 1233 1197 1150 1155 1149 1186 1137 1135 1135 1135 1134 1134 1133 1135 1131 1133 1131,215.8,215.8,215.8,0,0,0,81,247.7,997
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,811.8 811.7 813.6 811.4 811.5 811.5 814.2 785.2 781.4 863.9 806 792.2 790.2 790.9 789.2 790.5 788.2 792.6 790.2 806.5,141.3,141.3,141.3,0,0,0,2,63.8,175
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1587 1593 1590 1588 1593 1591 1585 1601 1590 1587 1565 1568 1568 1563 1592 1582 1595 1582 1581 1590,241.9,241.9,241.9,0,0,0,14,165.9,506
CompilationBenchmarksBigWeekly,scalaz,60,1,29096 29148 28443 28222 28161 28022 28195 28267 28251 28328 28556 29560 28162 27923 27996 27989 27906 28372 28062 28142,4077,4080,4085,2,2.95,3,11,206.3,889
CompilationBenchmarksSmallNightly,helloWorld,150,1,125.3 124.9 124.3 124.1 124.6 124.1 123.5 123.4 125.1 124.9 123.7 124 124.3 123.7 123.2 122.6 123.5 124.2 123.6 122.9,34.52,34.52,34.53,0,0,0,1,20.6,59
