suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27305 27700 26660 26873 27525 27623 27464 27362 27655 27400 26461 27271 27603 27934 27789 27726 27091 26442 26433 26549,4402,4403,4409,0,0,0,954,1112,1408
CompilationBenchmarksBigNightly,caskApp,150,1,564.8 565.7 564.9 565.2 564.4 565 563.7 565.1 563.9 566 562.1 561.4 563 564 559.6 564.6 563.8 561.1 563.1 562.8,109.2,109.3,109.3,0,0,0,3,90.1,348
CompilationBenchmarksBigNightly,dottyUtils,170,1,1109 1108 1190 1134 1127 1126 1110 1108 1104 1110 1105 1103 1106 1107 1105 1106 1103 1104 1121 1105,159.2,159.3,159.3,0,0,0,0,84.6,377
CompilationBenchmarksBigNightly,fansi,150,1,1322 1319 1322 1318 1317 1318 1318 1319 1313 1316 1317 1320 1317 1317 1316 1320 1316 1317 1316 1314,207.5,207.6,207.8,0,0,0,308,416.5,694
CompilationBenchmarksBigNightly,parallelCollections,100,1,4568 4578 4594 4701 4669 4723 4987 4710 4738 4688 4586 4564 4565 4563 4576 4563 4563 4562 4562 4562,606,606,606,0,0,0,6,85.5,234
CompilationBenchmarksBigNightly,re2s,120,1,1831 1834 1837 1833 1836 1834 1826 1842 1837 1828 1822 1832 1823 1825 1856 1823 1820 1841 1819 1819,265.6,265.7,265.8,0,0,0,5,171.9,755
CompilationBenchmarksBigNightly,scalaToday,150,1,3351 3437 3434 3351 3348 3359 3349 3349 3399 3350 3348 3348 3348 3346 3444 3468 3438 3427 3453 3425,496.2,496.3,496.7,0,0,0,28,152.5,350
CompilationBenchmarksBigNightly,scalaYaml,80,1,4490 4527 4852 4490 4864 4516 4442 4549 4725 4481 4435 4433 4435 4435 4433 4433 4450 4431 4430 4527,571.8,571.9,572.1,0,0,0,21,165.8,557
CompilationBenchmarksBigNightly,sourcecode,170,1,934 927.9 925.3 924.5 926 923.1 923.8 927.1 923.3 923.5 927.6 923.8 927.6 923.4 920.9 920.9 922.9 921.2 921 924.2,164.3,164.3,164.3,0,0,0,0,95.15,484
CompilationBenchmarksBigNightly,tastyQuery,60,1,5122 5138 5125 5134 5131 5122 5230 5368 5207 5150 5119 5118 5115 5117 5117 5121 5115 5115 5108 5111,661.3,661.3,661.4,0,0,0,22,213.8,656
CompilationBenchmarksBigNightly,tictactoe,150,1,1150 1139 1138 1152 1137 1138 1138 1136 1161 1197 1178 1186 1191 1155 1153 1192 1196 1174 1200 1185,216.1,216.1,216.1,0,0,0,66,276,1234
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,794.8 794.8 794.7 794.5 797.2 794.2 792.6 791.5 793.1 793.4 792.8 792.1 792 801.7 836.2 827.4 834.7 822.7 833.8 812.5,141.2,141.2,141.2,0,0,0,4,65.5,222
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1693 1691 1693 1847 1728 1597 1593 1731 1765 1648 1666 1635 1594 1657 1629 1657 1647 1637 1591 1821,241.3,241.4,241.5,0,0,0,22,180.4,656
CompilationBenchmarksBigWeekly,scalaz,60,1,28997 29396 29154 28497 28343 28778 28510 28276 30023 29469 29149 28735 28345 28545 28355 28515 28172 28570 29413 28681,4072,4074,4080,2,2.85,3,5,203.4,838
CompilationBenchmarksSmallNightly,helloWorld,150,1,124.8 125.7 126 126 125.9 126.2 126 126.2 125.7 126.4 126.3 125.7 124.9 125.7 125.8 125.7 125.9 125.3 127.2 127,34.46,34.46,34.46,0,0,0,1,21.8,72
CompilationBenchmarksSmallNightly,implicitInductive,150,1,878.2 877.9 877.7 877.7 877.9 876.7 879.8 879 878.6 879.8 878.2 879.5 878.7 878.4 878.5 878.9 879.1 878.7 878.8 878.1,67.54,67.55,67.56,0,0,0,1,54.55,198
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,586.7 586.5 586.7 585.9 586.4 586.6 584.6 585.7 586.5 586.8 584.8 586.7 584.5 586.2 586.6 584.9 584.7 585 585.5 583.4,104.1,104.1,104.1,0,0,0,6,61.25,343
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,357.8 370.9 355.5 354.9 356.9 351.8 352 354.6 354.4 352.1 352 351.4 350.5 350.4 350.5 350.8 350 351.6 349.8 349.3,70.45,70.47,70.68,0,0,0,5,97.15,530
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,246.3 244 246.5 246 246 245.8 242.8 243.3 243.3 241.1 242.5 242.6 241.8 241 242.6 239.6 241.3 244.6 268.5 239.7,61.54,61.56,61.59,0,0,0,1,60.8,215
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,162.2 162.8 162.9 162.3 172 172.4 174.1 169.5 172.2 173.9 172.9 170.8 171.6 169.8 173.4 169.9 160.1 161.2 161 159.9,45.07,45.08,45.08,0,0,0,0,35.45,126
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,154.2 155.9 155 154.3 154.6 153.6 157.3 154.6 151.4 154.6 154.2 155.1 153.8 154.8 154.9 154.4 154.2 152.9 154.8 154.5,39.83,39.84,39.84,0,0,0,1,22.45,77
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,150.5 151.4 148.4 150.8 149.2 151.6 153.1 149.8 149.8 150.1 148.2 149.6 149.5 148.3 147.8 149.3 148.6 161.2 159.5 150.5,40.09,40.1,40.11,0,0,0,4,35.35,102
CompilationBenchmarksSmallWeekly,findRef,150,1,118.1 116.3 116.1 116 122.8 116.5 116.6 116.4 116.6 115.2 115.8 113.9 114.6 113.5 115.1 113.8 113.1 113.8 113 112.6,30.77,30.77,30.77,0,0,0,2,27.7,96
CompilationBenchmarksSmallWeekly,i1535,150,1,205.4 195.5 204.4 206.3 204.8 203.2 201.7 196.4 203.1 191.3 191.7 190.4 190.5 189.9 189 190.3 190.1 191 189.5 189.2,45.13,45.13,45.14,0,0,0,4,40.15,95
CompilationBenchmarksSmallWeekly,i1687,150,1,119.2 119.3 120 119.8 119.2 118.9 119.2 119 119.2 119.3 118.7 119.3 117.9 119 119.2 118.4 118.4 118.9 119.2 118.9,33.46,33.46,33.47,0,0,0,2,22.4,74
CompilationBenchmarksSmallWeekly,implicitCache,150,1,177.1 181.6 179.9 174.3 183.1 182.1 182 182.3 176 176.9 182.4 172.7 171.2 171.2 171.4 171.4 170.3 170.7 171.8 171.3,44.78,44.78,44.78,0,0,0,1,26.25,79
CompilationBenchmarksSmallWeekly,implicitNums,150,1,370 372.6 369 369.7 369.1 369.5 368.5 368.5 371.4 369 369.3 368.6 368.3 368 368.8 369.5 367.9 369.1 367.9 368.5,87.26,87.26,87.27,0,0,0,0,36.65,184
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,180.4 185.4 180.5 180.5 179.8 179.2 180.2 179 183.3 182 179.3 179 178.9 178.6 178.8 178.9 179.4 179.1 179 177.8,45.22,45.22,45.22,0,0,0,0,37.55,96
CompilationBenchmarksSmallWeekly,tuple,150,1,187.6 188.8 188.6 213 198.3 188.7 189.2 188.5 188.9 189.3 189 188.6 188.3 190 188.3 187.3 188.3 188 188.2 186.2,47.52,47.52,47.52,0,0,0,1,30,91
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,150.9 149.6 150.8 149.9 149.5 149.2 150.2 149.3 149.5 148.8 150.3 148 148.3 148.8 148.5 148.6 148.1 147.9 148.3 147.1,38.85,38.86,38.86,0,0,0,2,30.2,90
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,181.2 182.8 181.2 182.3 180.2 180.5 180.8 181.3 180.8 180.3 181.5 180.9 180.6 180.1 179.8 180.4 179.6 180.4 179.8 179.4,44.98,44.98,44.99,0,0,0,0,25.85,113
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,130.5 121.3 119.3 120.6 122.3 121.6 120.4 120.7 121.2 121.9 121.3 121.7 120.6 121.6 121 120.8 121.4 119.9 120.3 120.9,33.67,33.67,33.67,0,0,0,0,14.6,57
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,140.3 140.1 140.2 141.2 140.3 138.9 139.5 139.9 140.4 140.4 139.9 139.7 138.8 139.7 139.9 138.4 139.6 139.6 139.3 139.1,36.67,36.67,36.67,0,0,0,0,31.9,115
