suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26867 26526 26530 26562 27906 28144 27858 27879 28403 27138 26539 26992 27379 27889 27311 27603 27827 26715 27441 27955,4408,4409,4415,0,0,0,867,1047,1433
CompilationBenchmarksBigNightly,caskApp,150,1,570.7 567.2 565.9 567.1 567.5 566.4 638.9 567.3 568.1 566.7 568.1 571.8 569.3 564.8 572.8 565.3 564.6 568.1 565.1 563.2,109.3,109.3,109.3,0,0,0,8,118.1,458
CompilationBenchmarksBigNightly,dottyUtils,170,1,1109 1167 1141 1174 1177 1140 1142 1120 1119 1122 1120 1118 1120 1121 1119 1119 1118 1118 1130 1118,159.1,159.1,159.1,0,0,0,0,90,402
CompilationBenchmarksBigNightly,fansi,150,1,1328 1331 1336 1330 1328 1327 1329 1332 1324 1329 1328 1328 1329 1329 1324 1323 1312 1311 1309 1310,206.7,206.7,206.7,0,0,0,335,424.8,769
CompilationBenchmarksBigNightly,parallelCollections,100,1,4734 4651 4645 4646 4655 4645 4658 4648 4646 4649 4646 4646 4644 4646 4643 4642 4648 4646 4641 4643,605.7,605.7,605.8,0,0,0,3,95.3,286
CompilationBenchmarksBigNightly,re2s,120,1,1862 1864 1865 1865 1871 1863 1860 1875 1878 1891 1891 1919 1893 1884 1898 1889 1890 1934 1876 1855,266,266.1,266.1,0,0,0,1,200.4,920
CompilationBenchmarksBigNightly,scalaToday,150,1,3429 3429 3429 3426 3428 3426 3426 3427 3427 3427 3427 3427 3425 3445 3427 3427 3424 3424 3425 3422,495.1,495.2,495.5,0,0,0,43,162.2,395
CompilationBenchmarksBigNightly,scalaYaml,80,1,4487 4482 4466 4499 4460 4469 4462 4454 4456 4466 4458 4457 4457 4456 4469 4462 4459 4454 4456 4457,579.7,579.8,580.1,0,0,0,13,170.3,518
CompilationBenchmarksBigNightly,sourcecode,170,1,949.6 941.8 947.8 944.4 945.8 945.7 945.8 943.9 947.6 947.5 943.4 973.6 939.9 943.9 943.1 942.6 942.8 932.4 931.9 931.2,165.1,165.1,165.2,0,0,0,0,87.7,419
CompilationBenchmarksBigNightly,tastyQuery,60,1,5119 5244 5175 5131 5124 5043 5043 5054 5042 5047 5032 5032 5030 5029 5029 5028 5030 5027 5022 5025,664.6,664.7,664.8,0,0,0,24,198.2,545
CompilationBenchmarksBigNightly,tictactoe,150,1,1208 1197 1178 1145 1144 1142 1143 1143 1140 1139 1137 1140 1141 1139 1137 1136 1138 1136 1137 1136,215.5,215.6,215.6,0,0,0,67,247.3,1150
CompilationBenchmarksSmallNightly,helloWorld,150,1,128.4 125.8 127.3 128 135.5 134.3 133.9 128.4 130.2 135 135.3 151.5 134.4 134 126.2 125.5 125.4 125.8 125.2 124.7,34.6,34.61,34.61,0,0,0,0,22.45,80
CompilationBenchmarksSmallNightly,implicitInductive,150,1,888.3 887.4 888.3 887.6 888.1 887.6 887.2 888 887.4 887.4 885.8 887.4 886.2 888.4 900 897.3 897.9 898.6 901.7 894,67.56,67.57,67.58,0,0,0,0,58.8,191
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,594.4 594.9 594.5 594 594 594.5 596.6 594 593.4 592.9 594.7 593.5 597.3 593.9 592.5 593 593.3 595 592.8 591.1,103.5,103.5,103.5,0,0,0,5,63.45,259
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,358.4 369.5 384.8 382.6 380.2 377.5 376.6 383.6 383.2 377.1 370.2 373.9 373.7 371.2 378.4 372.6 370.3 373.9 374.3 374.6,70.25,70.26,70.3,0,0,0,0,110,896
RuntimeBenchmarksOptimizerSmallNightly,ary,40,10,8.517 8.52 8.522 8.527 8.527 8.536 8.519 8.52 8.526 8.519,0.3672,0.3672,0.3672,0,0,0,0,0,0
RuntimeBenchmarksOptimizerSmallNightly,ary2,20,10,228.9 127.2 127.1 127.2 127.2 127.4 127 130.3 132.3 127.1,350.4,350.4,350.4,0,0,0,0,1.2,5
RuntimeBenchmarksOptimizerSmallNightly,matMul,20,10,22.33 22.26 22.25 22.25 22.27 22.34 22.28 22.27 22.29 22.24,6.574,6.574,6.574,0,0,0,0,1.1,4
RuntimeBenchmarksOptimizerSmallNightly,meteor,20,1,422.1 422.9 422.4 423.2 422.4 422.4 428.9 496.8 421.2 420.2,222.9,222.9,222.9,0,0,0,0,1.1,6
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop,20,10,25.53 25.68 25.72 25.55 25.77 25.8 25.56 26.29 25.98 26.12,5.613,5.613,5.613,0,0,0,0,1.1,5
RuntimeBenchmarksOptimizerSmallNightly,nestedLoop2,20,10,75.14 74.99 74.88 91.85 87.52 75.11 74.88 74.88 74.92 74.86,96.1,96.1,96.1,0,0,0,0,1.3,5
