suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27487 27366 28021 27014 26746 27620 27668 27427 27064 27563 27605 26486 26452 26464 27111 28000 27986 27332 27887 27688,4371,4373,4377,0,0,0,934,1116,1422
CompilationBenchmarksBigNightly,caskApp,150,1,554.2 555.6 554.4 554.6 572.3 555.2 551.9 553.2 551.5 552.8 552.3 549.6 551.3 551.8 549.2 551.3 551 549.4 550 549.9,109.1,109.1,109.1,0,0,0,6,99.35,339
CompilationBenchmarksBigNightly,dottyUtils,170,1,1101 1090 1089 1090 1087 1086 1102 1094 1100 1091 1085 1085 1087 1089 1087 1087 1085 1084 1125 1149,158.8,158.8,158.8,0,0,0,2,84.65,408
CompilationBenchmarksBigNightly,fansi,150,1,1321 1322 1321 1321 1321 1321 1920 1315 1295 1299 1298 1298 1297 1296 1295 1296 1294 1291 1296 1294,206.5,206.5,206.5,0,0,0,363,494.5,812
CompilationBenchmarksBigNightly,parallelCollections,100,1,4580 4581 4580 4580 4581 4582 4580 4579 4579 4580 4573 4573 4572 4571 4573 4572 4573 4571 4580 4573,601,601,601,0,0,0,1,83.45,264
CompilationBenchmarksBigNightly,re2s,120,1,1795 1799 1919 1851 1815 1815 1815 1832 1816 1802 1818 1825 1818 1815 1841 1811 1812 1831 1811 1990,261.2,261.3,261.4,0,0,0,15,175.7,677
CompilationBenchmarksBigNightly,scalaToday,150,1,3431 3333 3331 3336 3329 3327 3353 3334 3330 3330 3337 3330 3329 3329 3332 3328 3329 3330 3329 3330,492.6,492.7,493,0,0,0,16,168.3,358
CompilationBenchmarksBigNightly,scalaYaml,80,1,4524 4529 4526 4523 4524 4530 4525 4525 4524 4522 4521 4522 4522 4521 4520 4524 4523 4518 4516 4518,570.2,570.3,570.5,0,0,0,22,156.5,446
CompilationBenchmarksBigNightly,sourcecode,170,1,936.2 934.3 936.8 936.1 938.3 936.2 937.2 936.6 935.9 935.6 935.7 934.9 932.9 935.5 933.7 934.5 934.5 934.3 933.8 934.4,164.1,164.1,164.1,0,0,0,2,82.45,379
CompilationBenchmarksBigNightly,tastyQuery,60,1,5030 5099 5279 5225 5079 5025 5022 5020 5026 5019 4966 4965 4962 4961 4962 4961 4959 4959 4958 4956,657.5,657.5,657.6,0,0,0,11,207,594
CompilationBenchmarksBigNightly,tictactoe,150,1,1120 1121 1143 1131 1132 1129 1219 1215 1140 1127 1126 1127 1126 1117 1234 1134 1143 1112 1112 1113,215,215,215,0,0,0,72,241.8,1027
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,781.1 777.4 777.9 781.8 777.1 776.8 776.1 779.6 775.2 776.4 777.1 774.8 777.9 775.2 773.8 774.7 774.7 780.2 774.2 775.2,141.4,141.4,141.4,0,0,0,3,60.8,217
