suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,769.4 770.6 769.4 768.4 769.3 770.9 777.3 777.2 778.7 779.6 778.2 778 777.4 778.3 777.4 776.9 777.4 776.9 767.1 766.3,141.1,141.1,141.1,0,0,0,4,63.3,174
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1592 1590 1588 1597 1592 1588 1581 1601 1584 1584 1581 1583 1585 1578 1589 1577 1586 1579 1584 1748,239.5,239.5,239.5,0,0,0,17,148.8,502
CompilationBenchmarksBigWeekly,scalaz,60,1,28105 27963 27919 29578 28376 28135 28155 28149 27975 27912 28113 28109 28147 28042 28038 28099 27850 28041 28072 27906,4059,4063,4068,2,2.75,3,7,203.5,872
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,248 247.1 246.8 246.4 246.3 246.6 246.4 245.9 247 248.1 247.3 245.9 246.4 246.7 245.1 246.9 247.9 258.2 249.6 243.8,61.42,61.44,61.45,0,0,0,0,73.85,544
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,164.7 165 164.7 164.6 163.8 164.1 165.4 164.2 165.3 163.8 165 163 163.5 164.2 165.6 164.1 163.2 165.3 164.2 163,44.88,44.88,44.88,0,0,0,0,31.45,103
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,153 149 149.2 149.1 150.7 150.3 149.8 150.1 151 149 157.1 150.5 150 149.3 149.4 149 148.3 148.6 147.6 148.3,39.7,39.7,39.7,0,0,0,0,28.5,91
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,154.8 150.9 149.6 149.8 151.5 149.4 150 149.7 150.2 149.5 150.6 149.2 150.4 151 151.6 149.4 148.5 150.8 149.9 148.5,39.93,39.94,39.94,0,0,0,2,32.2,87
CompilationBenchmarksSmallWeekly,findRef,150,1,113.6 113.5 113.4 113.1 113.9 114.1 112.5 112.9 112.8 113 112.6 113 112.1 112.8 111.4 113 110.9 111.7 111.4 111.7,30.73,30.73,30.74,0,0,0,2,27,85
CompilationBenchmarksSmallWeekly,i1535,150,1,186.8 187.5 186.8 185.8 187.6 186.3 185.5 187.3 185.9 187.7 186.4 186.8 186.2 187.6 187.6 187.6 187.5 185.1 187.2 187.3,45.12,45.13,45.13,0,0,0,0,45,168
CompilationBenchmarksSmallWeekly,i1687,150,1,122.3 123.1 122.5 122.6 122 121.8 121.8 120.9 122.2 121.3 121 121.1 122.4 121.4 121.4 121.6 121.1 121.3 122.3 121.8,33.39,33.39,33.4,0,0,0,2,26.6,92
