suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,28081 28209 27607 27483 27948 28157 27677 27157 27318 28231 27029 28074 28519 27525 26824 26818 28166 29261 29151 28457,4393,4394,4400,0,0,0,935,1084,1444
CompilationBenchmarksBigNightly,caskApp,150,1,565.6 565.5 563.3 564.1 562.8 563.7 561 563.1 554.5 556.2 554.2 553.2 553.4 555.2 551.2 554.9 553.5 553.8 552.9 553.5,109.7,109.7,109.7,0,0,0,8,112.4,390
CompilationBenchmarksBigNightly,dottyUtils,170,1,1096 1098 1095 1098 1096 1095 1099 1098 1095 1097 1095 1094 1096 1096 1095 1096 1094 1093 1109 1112,158.6,158.6,158.7,0,0,0,0,75.25,313
CompilationBenchmarksBigNightly,fansi,150,1,1325 1303 1290 1289 1289 1288 1286 1392 1330 1322 1288 1288 1287 1289 1329 1312 1327 1329 1315 1308,206,206,206.2,0,0,0,318,437.5,715
CompilationBenchmarksBigNightly,parallelCollections,100,1,4586 4590 4717 4738 4694 4776 4667 4985 4664 4680 4631 4592 4581 4589 4584 4578 4581 4579 4577 4579,602.7,602.7,602.8,0,0,0,6,86.75,261
CompilationBenchmarksBigNightly,re2s,120,1,1812 1810 1812 1809 1817 1810 1810 1828 1821 1811 1969 1834 1833 1812 1840 1806 1808 1827 1803 1800,261,261,261.1,0,0,0,4,204.7,1011
CompilationBenchmarksBigNightly,scalaToday,150,1,3368 3368 3367 3367 3391 3366 3366 3366 3537 3473 3443 3395 3367 3364 3366 3365 3361 3370 3370 3365,494,494,494,0,0,0,15,118.2,363
CompilationBenchmarksBigNightly,scalaYaml,80,1,4416 4418 4464 4462 4460 4475 4461 4456 4458 4468 4464 4464 4463 4462 4477 4472 4465 4458 4460 4464,569.3,569.4,569.7,0,0,0,32,160.9,490
CompilationBenchmarksBigNightly,sourcecode,170,1,922.8 924 919.1 922.2 917.3 921.2 917.8 909.9 907.7 965.7 944.6 911.6 912.4 912.5 945.2 908.1 920.3 902.6 898.8 904.4,165.9,165.9,166,0,0,0,0,96.7,380
CompilationBenchmarksBigNightly,tastyQuery,60,1,5024 5028 5028 5483 5395 5126 5019 5018 5017 5014 5015 5014 5016 5014 5014 5015 5010 5010 5007 5009,657.4,657.5,657.6,0,0,0,20,205.7,615
CompilationBenchmarksBigNightly,tictactoe,150,1,1160 1158 1157 1161 1156 1157 1158 1174 1161 1157 1161 1154 1151 1151 1151 1156 1153 1152 1152 1148,215.7,215.7,215.7,0,0,0,50,228.3,1190
CompilationBenchmarksSmallNightly,helloWorld,150,1,121.7 121.3 119.9 120.6 120.3 120.2 120.8 119.8 121.4 121.8 120.4 120 120.6 120.4 119.8 119.9 119.7 120.6 119.2 119.4,34.54,34.54,34.55,0,0,0,1,24,61
CompilationBenchmarksSmallNightly,implicitInductive,150,1,884.9 884.9 884.5 885.7 884 885.7 883.2 883.3 887.2 881.1 882.9 883.5 881 879.2 882.8 882.3 880.2 879.7 881.7 882.8,67.54,67.55,67.56,0,0,0,0,56.65,161
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,604.6 601.6 592 602.5 604.5 603.4 598.2 602.2 591.2 589.9 601.6 601.5 606.4 597.4 585 584.6 585.4 585.9 583.8 586.6,107.3,107.3,107.3,0,0,0,3,76.85,483
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,362.1 367.6 354.4 351 351.4 350.5 350.4 347.6 349.5 350.3 348.6 349.8 349.5 349.9 349.5 349.2 349.3 348.4 349.3 348.8,70.97,70.98,71.03,0,0,0,1,103.3,974
