suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27586 27650 27366 28257 27889 26520 27659 27774 27274 27721 27697 26889 27651 27906 28229 27482 27612 27096 27518 27650,4396,4397,4403,0,0,0,918,1066,1382
CompilationBenchmarksBigNightly,caskApp,150,1,558.8 561.7 561 560.8 559.7 560.1 559.5 560.7 558.6 560.8 559.8 557.8 557.4 558.5 556.1 559.2 558.1 557.4 557.2 562,110.1,110.1,110.1,0,0,0,8,101.4,342
CompilationBenchmarksBigNightly,dottyUtils,170,1,1088 1199 1103 1089 1085 1084 1090 1088 1085 1095 1085 1084 1172 1136 1088 1085 1083 1082 1111 1096,157.9,157.9,157.9,0,0,0,0,83.35,461
CompilationBenchmarksBigNightly,fansi,150,1,1290 1292 1292 1292 1291 1292 1293 1294 1290 1291 1289 1294 1292 1290 1290 1290 1277 1279 1278 1277,206.5,206.5,206.6,0,0,0,292,379.2,707
CompilationBenchmarksBigNightly,parallelCollections,100,1,4560 4563 4558 4853 4730 4564 4560 4563 4562 4894 4697 4578 4673 4711 4612 4705 4689 4912 4884 4614,602.6,602.6,602.7,0,0,0,4,92.7,301
CompilationBenchmarksBigNightly,re2s,120,1,1809 1811 1810 1811 1810 1808 1807 1824 1815 1813 1810 1923 1831 1808 1807 1810 1807 1805 1806 1803,260.8,260.9,260.9,0,0,0,3,173.7,725
CompilationBenchmarksBigNightly,scalaToday,150,1,3342 3341 3339 3338 3340 3337 3339 3339 3338 3339 3340 3339 3338 3337 3338 3339 3336 3337 3336 3335,495.3,495.4,495.7,0,0,0,13,144.5,371
CompilationBenchmarksBigNightly,scalaYaml,80,1,4493 4492 4489 4464 4423 4432 4419 4432 4431 4429 4447 4656 4459 4601 4438 4434 4440 4427 4427 4427,570.7,570.7,570.7,0,0,0,20,162.1,486
CompilationBenchmarksBigNightly,sourcecode,170,1,921.3 928 930.8 929.2 929.6 929.4 929.6 928.8 929.9 928.9 928.2 928 924.5 927.9 927.1 927.6 928.2 927.2 927.4 926,165.9,165.9,165.9,0,0,0,0,84.3,384
CompilationBenchmarksBigNightly,tastyQuery,60,1,4965 4966 4975 4979 4972 4967 5041 4966 5380 4971 4970 4965 4980 4964 4961 4960 4961 4957 4953 4955,654.3,654.4,654.5,0,0,0,37,199.6,572
CompilationBenchmarksBigNightly,tictactoe,150,1,1113 1113 1127 1113 1113 1111 1113 1111 1111 1110 1111 1110 1110 1109 1109 1107 1109 1106 1113 1109,215,215,215,0,0,0,68,213.7,544
CompilationBenchmarksSmallNightly,helloWorld,150,1,124.3 123.7 122.6 123.8 123 123 123 122.5 124 124.8 123.5 123.8 124.3 123.7 123.4 123.4 122.2 122.9 121.9 121.3,34.48,34.48,34.48,0,0,0,1,25.5,62
CompilationBenchmarksSmallNightly,implicitInductive,150,1,880.8 880.5 881.3 880.2 880.4 880 879.3 880.3 882.9 881.2 881.4 879.5 880.1 880.2 880.7 879.1 879.5 879.2 878 879.1,67.48,67.49,67.5,0,0,0,2,56.15,161
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,580.8 579.8 580.9 580.3 581.8 580.6 579 580.3 581.4 580.6 579 579.6 649.5 582.6 598.7 603.4 596.7 570.4 579.9 571,106,106,106,0,0,0,0,50.75,150
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,371 358.1 361.7 359.3 355.6 357.1 357.4 356.6 354.5 354.1 354.8 356.4 355.8 356.3 354.6 397.6 359.6 361.1 356 355.8,70.32,70.33,70.37,0,0,0,3,96.9,487
