suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27433 27188 26952 26950 26959 26922 28503 27846 27790 28678 27605 29089 27321 27331 27540 27673 26774 26831 27224 27227,4397,4398,4404,0,0,0,929,1093,1438
CompilationBenchmarksBigNightly,caskApp,150,1,587.9 583.4 608 586 586.1 584 586.2 587.1 587.2 585.7 588 590.9 587.7 583.1 593.9 583.7 584.7 589.4 581 580.7,109.3,109.3,109.3,0,0,0,4,107.1,384
CompilationBenchmarksBigNightly,dottyUtils,170,1,1099 1099 1098 1103 1097 1096 1101 1102 1097 1103 1096 1082 1086 1087 1084 1085 1083 1081 1098 1084,158.6,158.6,158.6,0,0,0,1,94.85,536
CompilationBenchmarksBigNightly,fansi,150,1,1334 1333 1336 1334 1329 1329 1330 1332 1338 1327 1329 1330 1332 1328 1328 1329 1330 1329 1332 1327,214.5,214.5,214.5,0,0,0,438,535.2,912
CompilationBenchmarksBigNightly,parallelCollections,100,1,4611 4614 4607 4612 4609 4611 4612 4610 4610 4611 4608 4606 4607 4603 4606 4604 4605 4604 4604 4605,606.7,606.7,606.7,0,0,0,2,89.1,269
CompilationBenchmarksBigNightly,re2s,120,1,1861 1872 1873 1866 1872 1870 1859 1877 1881 1869 1863 1872 1864 1865 1891 1862 1859 1878 1859 1867,264.6,264.6,264.8,0,0,0,2,190.4,768
CompilationBenchmarksBigNightly,scalaToday,150,1,3475 3443 3382 3495 3496 3424 3369 3368 3369 3369 3368 3368 3368 3368 3368 3366 3366 3517 3386 3362,497.7,497.8,498.1,0,0,0,18,160.7,341
CompilationBenchmarksBigNightly,scalaYaml,80,1,4696 4702 4691 4775 4670 4683 4760 4934 4878 4941 4794 4831 4937 4748 4696 4680 4671 4658 4667 4674,572.4,572.5,572.5,0,0,0,12,154.1,424
CompilationBenchmarksBigNightly,sourcecode,170,1,922.7 920.2 923.5 921.7 921.2 921.4 921.4 921.8 921.7 920.9 919.9 919.7 918.5 923.6 918.8 919.7 919.4 919.1 919.6 918.8,164.5,164.5,164.6,0,0,0,4,98.25,419
CompilationBenchmarksBigNightly,tastyQuery,60,1,5063 5062 5060 5066 5066 5058 5056 5054 5054 5052 5051 5052 5055 5054 5050 5054 5192 5170 5199 5124,662.8,662.9,663,0,0,0,20,232.8,1043
CompilationBenchmarksBigNightly,tictactoe,150,1,1171 1178 1156 1148 1129 1127 1126 1127 1126 1124 1125 1125 1124 1124 1122 1123 1124 1126 1123 1122,215.7,215.7,215.8,0,0,0,78,270.4,1216
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,786.2 782.5 780.1 783.8 780.3 780.1 780.4 781 778.8 778.2 780.4 781.3 781.9 779.6 778.2 851.7 789.3 783.4 778.2 778.3,140.8,140.8,140.8,0,0,0,4,66.7,210
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1596 1594 1599 1594 1596 1594 1588 1602 1597 1587 1585 1588 1589 1583 1591 1581 1591 1582 1578 1579,241.5,241.7,241.7,0,0,0,18,174.7,674
CompilationBenchmarksBigWeekly,scalaz,60,1,28069 28467 28196 28390 28097 28284 29255 29114 29395 28463 28605 28514 27736 28169 27833 27976 28266 28991 28001 27926,4079,4085,4089,2,2.55,3,28,219.5,816
CompilationBenchmarksSmallNightly,helloWorld,150,1,126.8 127.1 126 126.2 126.5 126.6 125.5 126.3 126 125.9 126.6 125.4 124.9 125.7 125.9 124.4 125.4 125 125.8 125.5,34.5,34.5,34.5,0,0,0,1,21.9,66
CompilationBenchmarksSmallNightly,implicitInductive,150,1,894.1 894.1 902.9 896.6 894.6 895.5 894.3 895.4 897 918.1 924.4 942.5 910.4 896.8 897.8 898.6 897.2 896.8 896 897.2,67.51,67.52,67.52,0,0,0,4,55.15,169
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,588.8 590.5 589.6 589.8 589.1 589.9 590.7 588.8 589.4 588.6 589.7 588.6 592.9 589.5 589.1 588.6 589.6 589.5 587.8 586.6,103.4,103.5,103.5,0,0,0,1,63.3,288
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,380.1 382.4 361.3 377.9 369.6 373.1 373 357.5 360.1 350.4 353.9 351.6 350.9 351.4 351.2 349.7 350.6 349.3 350.2 350.1,70.15,70.17,70.22,0,0,0,4,101.2,809
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,246.7 246.6 246.1 245.8 245.5 245.9 245.6 245.4 246.6 247.1 245.6 245.1 245.4 246.1 244.8 245.7 246.1 245.4 248.9 245,61.44,61.45,61.46,0,0,0,0,60.65,211
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,166.9 166.9 174.9 166.5 167.3 167.1 165.5 166.9 185.7 171.2 176.5 168.8 176.4 167.8 164 164.8 166.1 165.7 167.2 166.4,45.01,45.02,45.02,0,0,0,0,30.95,110
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,148.3 147.5 148.4 147.7 148.1 147.4 147.4 148 147.4 148.4 147.2 147.6 146.9 147.5 147.2 146.2 147.3 146.4 147.2 147,39.93,39.93,39.94,0,0,0,1,23.25,78
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,147.4 149.2 148 147.8 147.8 147.9 148 147.6 148.2 147.8 147.1 147.5 147.3 147.2 146.1 146 146.6 146.3 146.9 146,40,40.01,40.01,0,0,0,2,34.6,138
CompilationBenchmarksSmallWeekly,findRef,150,1,114.6 113.9 113.7 113.3 114.7 114.6 113 113.8 113.3 113.7 112.9 113.8 112.8 113.3 112 113.5 111.7 112.6 111.2 112.5,30.66,30.66,30.67,0,0,0,0,28,76
CompilationBenchmarksSmallWeekly,i1535,150,1,190.6 189.6 189.3 191.6 218.4 189.3 191 187.8 187.7 187.6 188.8 188.6 187.6 187 186.3 188.4 186.6 188.7 187.5 186.6,45.16,45.16,45.17,0,0,0,2,53.35,185
CompilationBenchmarksSmallWeekly,i1687,150,1,121.6 122.2 121.2 121.3 120.3 120.8 120.8 138.5 129.9 120.7 120.3 120.4 120.9 119.9 124.7 122.1 121 120.7 122 120.8,33.48,33.48,33.48,0,0,0,0,26.1,84
CompilationBenchmarksSmallWeekly,implicitCache,150,1,168.4 168 167.3 168 167.9 167.8 167.7 167.6 167.1 167.6 167.3 167.3 167.1 167 166.9 166.5 166.8 166.2 167.3 166.7,44.83,44.83,44.83,0,0,0,0,24.35,94
CompilationBenchmarksSmallWeekly,implicitNums,150,1,372 374.8 371.2 371.8 371 371.6 370.8 371.9 385.2 379 374.9 374.4 373.9 374 374.7 375.6 374.2 375.6 373.7 373.5,86.93,86.94,86.95,0,0,0,0,35.05,205
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,177 176.6 176.6 177.1 175.2 175 177.3 175.8 176.7 176.5 176.3 176.1 175.4 176.4 175.2 177.2 175.6 175.8 175.5 174.3,45.08,45.08,45.09,0,0,0,1,25,64
CompilationBenchmarksSmallWeekly,tuple,150,1,196 194.6 195.8 195.1 194.1 195.7 194.6 194 196.1 194.4 196.1 195.1 194.4 195.3 194.3 195.8 193.9 195.9 194.3 194.3,47.41,47.42,47.42,0,0,0,0,33.85,134
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,147.2 148.2 147.7 148.1 147.5 147.9 147.2 148 147.4 148.3 146.7 147 146 146.3 146.7 145.7 146 146 146.5 146.2,38.82,38.82,38.83,0,0,0,1,28.3,69
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,177.2 176.9 177.8 176.1 177.1 177.2 177 177.4 201.5 177.6 175.5 179.5 176.5 177 182.6 175.8 176.9 176.4 176.9 176.6,45.31,45.31,45.32,0,0,0,0,24.9,127
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,118.3 118.2 117.9 118.2 117.6 117.3 117.5 117.1 117.8 117.7 117.5 117 117.5 117.6 117.2 118.2 117.5 118.6 118 117.4,33.68,33.68,33.68,0,0,0,0,17.7,62
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,139.3 138.9 139 137.7 139 138.8 139 138.6 138 138.7 138 139.6 137.6 139.3 135.7 136.8 136 136.5 138 137.9,36.66,36.66,36.67,0,0,0,0,25.6,60
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,171.8 172.1 172 171.9 171.3 171.7 171.4 171.5 170.9 171.6 171.3 171.2 170.3 169.3 169.4 170.5 170.3 170.3 169.9 169.4,44.23,44.23,44.24,0,0,0,5,43.6,120
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,122.2 122.8 122.7 122.7 122.4 122.6 122.5 122.5 121.9 122.5 122.6 121.9 121.4 121 121.2 120.3 120.7 120.3 120.8 120.1,34.95,34.95,34.96,0,0,0,0,23.1,63
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5108 5107 5111 5121 5120 5102 5181 5393 5199 5144 5101 5032 5027 5028 5028 5117 5241 5112 5105 5039,660.3,660.4,660.5,0,0,0,31,224.3,770
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,22.05 22.04 21.88 21.79 21.91 21.66 21.79 21.96 21.79 21.8,4.439,4.439,4.439,0,0,0,0,0.3,1
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.19 15.27 15.26 15.18 15.19 15.21 15.31 15.2 15.17 15.19,16.82,16.82,16.82,0,0,0,0,0.8,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,29.36 29.38 29.35 29.43 29.42 30.22 29.51 27.69 27.64 27.58 27.53 27.49 27.53 27.5 27.48 27.49 27.56 27.51 27.46 27.49,36.4,36.44,36.52,0,0,0,0,0.55,4
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23.18 22.92 22.93 22.89 22.8 22.72 22.6 22.61 22.61 22.59,15.8,15.81,15.83,0,0,0,0,1.3,7
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,214.9 138.9 138.4 139.8 139.4 139.5 139.1 147.3 140.6 139.1 139.1 139.7 140.6 139.7 139.6 140.1 139.7 141.6 139.8 140.1,490.4,490.4,490.4,0,0,0,0,0.8,5
RuntimeBenchmarksAwfyWeekly,json,10,10,14.68 14.73 14.81 14.62 14.66 14.79 14.7 14.78 14.78 14.74,16.53,16.53,16.53,0,0,0,0,0.5,2
RuntimeBenchmarksAwfyWeekly,kmeans,20,1,96.96 96.6 96.54 96.16 96.78 96.81 96.59 96.81 96.67 101.2 99.65 96.01 96.19 96.25 96.16 96.65 96.04 96.15 96.08 95.83,23.26,23.26,23.26,0,0,0,0,1.5,6
RuntimeBenchmarksAwfyWeekly,list,10,1000,74.15 74.05 74.43 74.79 73.99 74.35 74.35 74.12 74.01 74.29,0.7268,0.7268,0.7268,0,0,0,0,0.6,2
RuntimeBenchmarksAwfyWeekly,mandelbrot,20,1,150.6 150.7 150.6 150.6 150.6 150.7 150.7 150.6 150.7 151.1 150.6 150.6 150.7 150.6 150.7 150.6 150.7 150.6 152.9 150.6,0.006784,0.006784,0.006784,0,0,0,0,0.6,5
RuntimeBenchmarksAwfyWeekly,nbody,10,10,411 407.4 406.9 407.5 411.9 407.1 407.8 407.2 407.4 407.3,60.01,60.01,60.01,0,0,0,0,0.4,1
RuntimeBenchmarksAwfyWeekly,permute,10,1000,79.96 79.98 79.99 79.99 79.98 79.96 80.02 80.06 79.97 79.95,134.1,134.1,134.1,0,0,0,0,0.8,1
RuntimeBenchmarksAwfyWeekly,queens,10,10000,30.79 29.69 29.51 29.52 29.56 29.67 29.57 29.71 29.96 29.76,1.367,1.367,1.367,0,0,0,0,1,4
RuntimeBenchmarksAwfyWeekly,richards,10,1000,102.7 102.7 102.6 102.7 102.7 102.7 102.6 102.7 106 102.6,0.9828,0.9828,0.9828,0,0,0,0,0.8,2
