suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,24458 23380 23773 23508 23320 24018 24239 24302 24054 24276 24178 23257 23490 24436 25176 23933 24194 24480 23345 23362,3936,3936,3936,0,0,0,948,1099,1394
CompilationBenchmarksBigNightly,caskApp,150,1,586.7 577.2 576.5 576.1 574.9 574.9 573.2 575.5 574 569.9 571 563.9 563.4 568.4 563.7 569.5 566.6 566.3 566.5 567.1,111.7,111.7,111.7,0,0,0,4,104.5,330
CompilationBenchmarksBigNightly,dottyUtils,170,1,1073 1074 1074 1075 1071 1070 1076 1074 1070 1074 1072 1069 1073 1072 1070 1071 1070 1081 1085 1071,159.9,159.9,159.9,0,0,0,0,91.8,487
CompilationBenchmarksBigNightly,fansi,150,1,1019 1021 1026 1021 1021 1024 1024 1022 1027 1021 1100 1069 1040 1053 1032 1041 1035 1044 1036 1058,164,164,164,0,0,0,307,427,837
CompilationBenchmarksBigNightly,parallelCollections,100,1,4669 4622 4779 4669 4672 4743 4620 4639 4619 4639 4621 4625 4622 4618 4551 4548 4557 4616 4691 4614,611.3,611.3,611.4,0,0,0,1,89.45,281
CompilationBenchmarksBigNightly,re2s,120,1,1830 1837 1838 1838 1826 1821 1811 1828 1830 1820 1817 1834 1820 1817 1849 1815 1817 1833 1812 1812,272.2,272.3,272.3,0,0,0,3,187.5,945
CompilationBenchmarksBigNightly,scalaToday,150,1,3009 3010 3010 3008 3007 3006 3008 3008 3007 3004 3004 3002 3002 3003 3002 3002 3002 3002 3001 3000,464.8,464.8,464.8,0,0,0,15,104.9,318
CompilationBenchmarksBigNightly,scalaYaml,80,1,4400 4407 4352 4396 4298 4275 4245 4476 4450 4250 4252 4250 4247 4267 4265 4258 4251 4244 4248 4248,559.6,559.7,559.9,0,0,0,13,161.6,451
CompilationBenchmarksBigNightly,sourcecode,170,1,893.1 979.3 885.7 899.5 895.6 922.9 895.8 901.1 895.2 893.3 892.9 892.6 889.5 896.8 890.8 891.9 891.8 880.5 881.2 880.9,162.6,162.6,162.8,0,0,0,1,85.05,374
CompilationBenchmarksBigNightly,tastyQuery,60,1,4899 4902 4900 4854 4847 4842 4845 5008 4900 4951 5551 5065 5022 5332 4962 4888 4886 4893 4885 4879,651.5,651.5,651.5,0,0,0,19,208.6,640
CompilationBenchmarksBigNightly,tictactoe,150,1,1110 1108 1108 1106 1115 1106 1106 1113 1104 1104 1104 1104 1103 1103 1102 1101 1103 1101 1102 1101,219.1,219.1,219.1,0,0,0,2,179.6,1296
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,781.2 782.7 781.5 780.7 780.7 780.6 779.6 778.9 780 780.4 779.8 779.4 779.6 779.9 780 778.7 779.2 778.6 779.4 778.9,143.6,143.6,143.6,0,0,0,2,56.4,169
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1568 1566 1566 1561 1565 1566 1563 1575 1563 1560 1558 1560 1560 1556 1571 1634 1640 1557 1561 1565,245,245.1,245.2,0,0,0,15,192.5,801
