suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27815 28691 27287 27634 27533 27110 27323 27554 26453 26339 26349 27192 28176 27716 27185 27539 27321 26319 26752 27354,4359,4360,4360,0,0,0,886,1056,1345
CompilationBenchmarksBigNightly,caskApp,150,1,578.4 581.5 580.9 580.5 577.7 580 577.6 581 577.5 580.9 577.7 573.8 576.5 578.8 572.7 579 579 575.3 575.4 578.9,109.6,109.6,109.6,0,0,0,13,103,336
CompilationBenchmarksBigNightly,dottyUtils,170,1,1076 1085 1089 1089 1092 1092 1119 1092 1092 1091 1088 1088 1087 1087 1087 1091 1089 1090 1085 1102,158.2,158.2,158.2,0,0,0,0,84.7,493
CompilationBenchmarksBigNightly,fansi,150,1,1318 1319 1373 1915 1345 1297 1323 1305 1325 1295 1296 1296 1314 1302 1332 1333 1308 1367 1374 1341,205.6,205.6,205.8,0,0,0,349,442.9,706
CompilationBenchmarksBigNightly,parallelCollections,100,1,4652 4705 4726 4571 4561 4560 4560 4562 4560 4561 4560 4560 4559 4558 4559 4558 4557 4557 4556 4556,603.1,603.1,603.1,0,0,0,3,80.35,233
CompilationBenchmarksBigNightly,re2s,120,1,1799 1801 1802 1800 1805 1820 1814 1823 1927 1877 1813 1818 1810 1833 1844 1812 1809 1828 1810 1807,260.2,260.3,260.3,0,0,0,5,171,646
CompilationBenchmarksBigNightly,scalaToday,150,1,3284 3285 3284 3283 3283 3280 3315 3316 3384 3414 3424 3424 3429 3337 3379 3389 3339 3289 3281 3281,495.2,495.2,495.2,0,0,0,15,127.4,301
CompilationBenchmarksBigNightly,scalaYaml,80,1,4523 4761 4504 4513 4498 4718 4763 4513 4501 4500 4499 4498 4517 4689 4744 4711 4680 4623 4603 4545,571.9,572,572.2,0,0,0,17,166.6,589
CompilationBenchmarksBigNightly,sourcecode,170,1,957.6 938.8 928.4 926.9 923.7 923 925.8 928.3 922.7 941.7 920.6 923.4 925.5 921 922 921.7 919.3 919.7 919.5 921.3,166.4,166.4,166.5,0,0,0,0,106.1,378
CompilationBenchmarksBigNightly,tastyQuery,60,1,4970 4971 4970 4975 4973 4966 4963 4962 4962 4961 4960 4962 4962 4959 4959 4957 4958 4959 4955 4954,658,658,658.1,0,0,0,19,199.2,567
CompilationBenchmarksBigNightly,tictactoe,150,1,1134 1130 1142 1132 1128 1129 1126 1267 1185 1133 1137 1123 1126 1207 1171 1136 1137 1126 1138 1126,215.7,215.8,215.8,0,0,0,63,299.8,1738
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,774.9 773.7 770.1 772.8 768.4 768.9 768.1 770.3 766.9 766.8 767.5 770.1 769.4 783.8 841.8 767.9 770.4 813.3 806.6 797.1,141,141,141,0,0,0,0,68.8,176
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1556 1555 1554 1552 1554 1554 1555 1551 1552 1553 1551 1550 1551 1567 1551 1549 1547 1548 1553 1548,241,241,241,0,0,0,20,155.4,496
CompilationBenchmarksBigWeekly,scalaz,60,1,28422 28454 29806 28372 28433 29032 28613 27650 28327 29116 27694 27776 28598 27877 28569 28847 28037 28031 28776 29458,4057,4059,4066,2,2.85,3,10,219.2,869
CompilationBenchmarksSmallNightly,helloWorld,150,1,126.5 125.9 125.7 126.3 125.5 125.5 125.7 125.2 126.7 124.9 125.2 125.2 126.2 125.3 125.1 125.6 125 125.7 124.4 124.9,34.61,34.61,34.61,0,0,0,1,24.2,66
CompilationBenchmarksSmallNightly,implicitInductive,150,1,891.4 892.3 892.4 891.4 890.9 891.9 890.6 891.4 893.9 891.7 892.2 890.2 890.8 889.2 891.2 890.9 890.3 890.4 926.8 894.9,67.98,67.98,67.99,0,0,0,2,49.15,177
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,584 584.6 583.6 584.8 584.6 584.3 585.5 584.3 584.1 583.2 584 583.5 584 583.5 582.1 582.8 582.6 583.6 582.1 581.1,105.9,105.9,105.9,0,0,0,1,53.1,150
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,356.7 356.2 358.4 376.7 355.3 352.6 352.4 349.2 351.8 351.7 350.4 351.4 351 351 348.6 349.6 350.5 348.6 350.4 349.8,70.4,70.42,70.46,0,0,0,1,92.65,703
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,247.9 247.3 279.8 247.2 247.1 247.3 246.8 246.2 251 248.9 252.2 247.1 252.2 248.2 246.1 248.3 247.8 249.1 247.7 247,61.46,61.48,61.5,0,0,0,0,57.25,211
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,160.8 161.9 160.3 159.8 160.2 160.2 160 160.2 168.9 163.4 166 168.6 162 168.6 166.1 164.2 176.7 166.2 161.1 169.7,45.08,45.09,45.09,0,0,0,0,28.5,95
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,150.8 150.4 151.2 151 151 149.6 150.3 151 148.7 151 149.6 150.2 148.9 165.6 152.3 148.3 149.4 148.5 149.7 149.4,40.03,40.03,40.04,0,0,0,0,26.3,93
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,145.1 152.6 153.8 148.2 151.4 154.8 153.4 150.9 154.6 155.1 149.5 154.7 153.2 145.4 146.3 145.1 144.9 144.4 145.3 152.3,39.93,39.93,39.94,0,0,0,0,28.45,95
CompilationBenchmarksSmallWeekly,findRef,150,1,119.5 116.3 116.1 116.5 117.1 116.5 114.1 115.9 116 115.9 115.2 115.7 114.7 115.6 114 115.4 115.7 115.6 115 115.1,30.82,30.82,30.83,0,0,0,1,32.85,112
CompilationBenchmarksSmallWeekly,i1535,150,1,187.5 189.4 188.5 187.5 189.5 187.2 187.2 188.1 187.5 188.4 189.7 188.2 186.9 187.2 187.1 185.1 186.4 184.4 187 186.4,45.29,45.29,45.29,0,0,0,9,48.35,190
CompilationBenchmarksSmallWeekly,i1687,150,1,118.7 119.3 120.9 119.3 119.8 119.7 119.2 119 119.6 119.4 118.9 119 118.2 118.9 119 117.7 119.5 119 119.1 118.8,33.54,33.54,33.54,0,0,0,0,25.35,91
CompilationBenchmarksSmallWeekly,implicitCache,150,1,177.9 180.8 210.2 172 175.3 179.8 180.3 179.7 172.2 179.9 170.2 180 177.8 175 179.6 173.7 171.6 174.8 169.4 170.3,44.84,44.85,44.85,0,0,0,0,29.15,106
CompilationBenchmarksSmallWeekly,implicitNums,150,1,366.6 372.4 369.2 395.2 380.7 369.9 367.9 367.5 370.2 367.7 367.7 367.7 383.9 366.1 366.1 367.6 365.6 366.7 365.5 365.2,87.24,87.24,87.25,0,0,0,0,42.2,187
CompilationBenchmarksSmallWeekly,implicitScopeLoop,150,1,185 181 179.1 179.6 179.6 178.9 180.2 178.4 181.8 179.7 179.6 178.8 179.3 178.8 178.5 179.7 177.8 177.3 176.8 175.4,45.23,45.23,45.24,0,0,0,1,23.4,103
CompilationBenchmarksSmallWeekly,tuple,150,1,194 193.1 193.5 193.3 192.9 193.5 192.8 192.7 194.3 193.2 193.3 192.3 208.8 192.3 191.1 191.2 190.3 191.4 191 189.6,47.4,47.41,47.42,0,0,0,0,28.5,104
CompilationBenchmarksSmallWeekly,tuple22Apply,150,1,150.2 148.4 148.5 148.9 147.9 148.1 148.6 148.4 148.6 148.2 148.8 147.7 147.9 149.1 147.8 147.6 146.9 147 146.8 146.2,38.78,38.78,38.78,0,0,0,0,24.8,73
CompilationBenchmarksSmallWeekly,tuple22Cons,150,1,179.1 180.8 178.9 179.8 177.5 177.6 177.7 178.5 177.7 177.5 204.1 182.8 178 177.2 177.6 178 177.1 177.6 176.7 176.7,45.37,45.37,45.38,0,0,0,0,34.15,143
CompilationBenchmarksSmallWeekly,tuple22Creation,150,1,115.2 116.5 115.8 116.1 115.6 115.3 115.5 115.6 115.6 115.8 115.6 115.2 115.4 115.6 115.6 124.1 114.8 115.6 115.9 115.4,33.7,33.7,33.7,0,0,0,0,19.45,56
CompilationBenchmarksSmallWeekly,tuple22Size,150,1,139.8 142.3 142.2 139.9 142.5 141.5 141.7 141.4 141.4 141.2 140.4 141.9 141.2 140.5 138.8 139.2 138.6 139 139.8 141,36.53,36.54,36.54,0,0,0,0,36.85,107
CompilationBenchmarksSmallWeekly,tuple22Tails,150,1,174.8 175.9 175.2 176 175.1 175.8 175.3 175 174.3 175.4 175.1 174.9 174.1 172.5 173.1 173.1 174.1 174.7 173.9 174.5,44.1,44.1,44.11,0,0,0,5,41.2,123
CompilationBenchmarksXsbtiWeekly,xsbtiHelloWorld,150,1,121.6 121.2 120.7 121.3 120.3 120.3 120.4 120.7 121.6 121.3 120.1 119.7 119.1 119.9 119.4 118.6 119.4 119.1 119.5 119.6,34.91,34.91,34.92,0,0,0,0,25.7,81
CompilationBenchmarksXsbtiWeekly,xsbtiTastyQuery,60,1,5218 5151 5218 5109 5052 5045 5045 5041 5045 5037 5040 5040 5038 5036 5038 5036 5037 5044 5038 5039,655.8,655.9,656,0,0,0,33,202.4,685
RuntimeBenchmarksAwfyWeekly,bounce,10,1000,21.57 21.6 21.9 21.7 21.65 21.56 21.87 21.74 21.65 21.58,4.439,4.439,4.439,0,0,0,0,0.5,1
RuntimeBenchmarksAwfyWeekly,brainfuck,10,10,15.12 15.24 15.16 15.14 15.17 15.14 15.15 15.18 15.12 15.13,16.82,16.82,16.82,0,0,0,0,1,4
RuntimeBenchmarksAwfyWeekly,cd,20,1,29.31 29.42 29.29 29.31 29.32 30.09 29.4 27.86 27.74 27.74 27.77 27.73 27.78 27.72 27.72 27.79 27.77 27.73 27.73 27.75,36.4,36.44,36.52,0,0,0,0,0.55,5
RuntimeBenchmarksAwfyWeekly,deltablue,10,100,23 22.81 22.74 22.82 22.58 22.46 22.39 22.44 22.44 22.45,15.8,15.81,15.83,0,0,0,0,0.4,1
RuntimeBenchmarksAwfyWeekly,gcbench,20,1,225.3 138.7 138.2 138 138.4 138.5 139.1 141.7 144.5 138.9 139.1 139.3 138.9 139 139.4 139.2 139.8 140.8 139 139.2,490.4,490.4,490.4,0,0,0,0,0.65,5
