suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,26582 26462 26481 26580 26531 26485 26485 26496 26750 26749 27213 26967 26733 26713 26585 26575 26565 26678 27238 27470,4376,4377,4383,0,0,0,871,1088,1472
CompilationBenchmarksBigNightly,caskApp,150,1,578.2 574 575 574.7 574.3 573.7 574.2 615.2 605.3 575.8 575.7 592 579.2 572.7 580.7 572.2 573.7 575.9 574.2 571,110.1,110.1,110.1,0,0,0,5,128.2,367
CompilationBenchmarksBigNightly,dottyUtils,170,1,1115 1115 1114 1113 1115 1114 1114 1115 1114 1113 1113 1113 1113 1113 1143 1166 1113 1113 1110 1113,160.3,160.3,160.3,0,0,0,0,79.7,471
CompilationBenchmarksBigNightly,fansi,150,1,1351 1346 1357 1334 1331 1310 1309 1309 1306 1309 1308 1311 1310 1309 1308 1308 1308 1308 1307 1306,203.8,203.9,204,0,0,0,291,387.5,748
CompilationBenchmarksBigNightly,parallelCollections,100,1,4675 4656 4655 4655 4701 4948 4771 4680 4653 4652 4652 4651 4651 4650 4654 4650 4650 4651 4650 4649,605.3,605.3,605.3,0,0,0,1,87,255
CompilationBenchmarksBigNightly,re2s,120,1,1839 1848 1848 1848 1853 1849 1833 1840 1843 1827 1826 1835 1824 1825 1858 1824 2023 1842 1820 1824,265.5,265.6,265.6,0,0,0,6,178.7,991
CompilationBenchmarksBigNightly,scalaToday,150,1,3418 3448 3453 3349 3343 3342 3344 3343 3359 3345 3343 3342 3341 3341 3342 3447 3394 3343 3339 3450,494.9,494.9,495,0,0,0,27,124.1,285
CompilationBenchmarksBigNightly,scalaYaml,80,1,4574 4654 4886 4614 4720 4693 4671 4664 4595 4666 4661 4568 4565 4566 4565 4567 4566 4561 4561 4561,570.8,570.9,571.1,0,0,0,12,146.4,449
CompilationBenchmarksBigNightly,sourcecode,170,1,933.1 938.1 933.9 936.2 932.7 932.6 935.2 936.8 931.5 932.1 930.7 932.3 933.9 930.5 929.8 930 928.9 929.3 929.8 932,165.9,165.9,165.9,0,0,0,0,103.3,433
CompilationBenchmarksBigNightly,tastyQuery,60,1,5109 5337 5107 5167 5047 5098 5097 5099 5096 5093 5094 5236 5216 5242 5190 5162 5094 5097 5087 5087,661.2,661.3,661.3,0,0,0,13,203.3,639
CompilationBenchmarksBigNightly,tictactoe,150,1,1135 1136 1136 1136 1135 1133 1134 1133 1133 1132 1132 1132 1132 1131 1139 1131 1142 1128 1132 1129,216.3,216.3,216.3,0,0,0,63,233,1000
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,780.4 781.6 780.7 780.1 792.9 778.1 777.8 775.9 777.4 777 777.1 776.9 776 776.6 776.7 774.9 776.1 851.9 789.8 779.3,141.8,141.8,141.8,0,0,0,2,63.85,192
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1589 1589 1590 1588 1588 1587 1587 1603 1603 1603 1601 1599 1601 1601 1599 1600 1581 1583 1582 1582,241.4,241.5,241.6,0,0,0,10,149.9,508
CompilationBenchmarksBigWeekly,scalaz,60,1,28583 28260 28695 28422 28215 28167 29576 28588 28009 27917 27899 27943 27943 28036 28121 28237 29354 28893 27902 27987,4095,4099,4106,2,2.8,3,8,205.3,936
CompilationBenchmarksSmallNightly,helloWorld,150,1,125.6 125.8 125.2 124.4 124.8 124.9 124.4 124.8 124.2 125.2 125.1 123.9 123.3 124.3 124.4 123 123.7 123.4 124.2 123.9,34.81,34.81,34.81,0,0,0,1,26.15,69
