suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,27046 27861 28362 28563 27766 27890 28033 27428 27029 27492 27871 28153 27957 27420 27027 27026 26779 26882 27580 27638,4407,4408,4420,0,0,0,910,1065,1455
CompilationBenchmarksBigNightly,caskApp,150,1,564.3 560.8 561 560.8 560.6 560.3 560.9 561 561.2 559.9 561.1 563.4 562 558 565.3 559.8 558.2 559.3 557.1 556.4,109.1,109.1,109.1,0,0,0,3,108.5,416
CompilationBenchmarksBigNightly,dottyUtils,170,1,1099 1095 1093 1094 1092 1091 1096 1093 1091 1096 1092 1090 1093 1094 1090 1093 1090 1089 1104 1090,158.9,159,159,0,0,0,0,80,348
CompilationBenchmarksBigNightly,fansi,150,1,1276 1277 1279 1277 1277 1280 1276 1289 1275 1276 1277 1279 1280 1275 1274 1273 1300 1288 1277 1275,206.4,206.4,206.4,0,0,0,324,424.2,836
CompilationBenchmarksBigNightly,parallelCollections,100,1,4672 4661 4791 4776 4802 4688 4600 4598 4598 4654 4653 4653 4681 4668 4596 4818 4594 4720 4619 4598,606.5,606.5,606.5,0,0,0,3,86.65,261
CompilationBenchmarksBigNightly,re2s,120,1,1839 1844 1837 1836 1836 1836 1836 1873 1862 1856 1854 1854 1853 1853 2020 1865 1851 1850 1856 1849,264.1,264.2,264.2,0,0,0,9,165.1,777
CompilationBenchmarksBigNightly,scalaToday,150,1,3336 3338 3336 3336 3337 3337 3334 3354 3335 3341 3337 3349 3337 3340 3340 3334 3337 3343 3519 3336,504.3,504.4,504.5,0,0,0,20,149.8,449
CompilationBenchmarksBigNightly,scalaYaml,80,1,4541 4536 4538 4539 4537 4540 4535 4534 4533 4533 4535 4536 4535 4533 4531 4531 4535 4530 4529 4541,572.5,572.5,572.6,0,0,0,12,155.9,417
CompilationBenchmarksBigNightly,sourcecode,170,1,973.2 944.5 967.2 975.3 924.4 937.2 927.1 923.4 918.1 919 916.7 917.7 978.9 967 917.7 915.3 915.3 928.3 915.1 920.9,164.7,164.7,164.7,0,0,0,0,102,442
CompilationBenchmarksBigNightly,tastyQuery,60,1,5086 5089 5087 5088 5085 5084 5083 5082 5083 5079 5077 5079 5077 5080 5089 5079 5076 5076 5073 5075,661.6,661.7,661.8,0,0,0,12,213.5,897
CompilationBenchmarksBigNightly,tictactoe,150,1,1138 1137 1136 1128 1123 1123 1123 1122 1129 1124 1129 1127 1141 1177 1144 1152 1194 1146 1141 1147,215.2,215.2,215.2,0,0,0,84,272.3,1253
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,789.3 785.7 785.4 790 785.5 786.8 784.1 786.4 789.7 782.7 785.2 783.8 785.9 784.4 782.8 783.8 781.9 788.1 788.7 828.6,141.3,141.3,141.3,0,0,0,3,65.05,214
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1585 1587 1590 1574 1581 1581 1572 1589 1574 1574 1571 1573 1574 1569 1582 1561 1583 1567 1567 1573,241.2,241.2,241.3,0,0,0,23,150.3,488
CompilationBenchmarksBigWeekly,scalaz,60,1,28367 28474 28400 28258 28743 28391 28401 28561 28524 28808 28781 28366 28430 28486 28568 28275 28283 28320 28984 29961,4101,4106,4112,2,2.6,3,6,195.6,860
CompilationBenchmarksSmallNightly,helloWorld,150,1,124.8 126.3 124.9 125.7 126.8 126.6 125.1 125.1 125.2 124.8 125.6 124.5 123.8 124.7 125.2 123.6 124.9 124.4 125.1 124.9,34.57,34.57,34.57,0,0,0,1,26.3,68
CompilationBenchmarksSmallNightly,implicitInductive,150,1,892.2 891.4 891.2 890.7 891.7 891.2 890.2 890.8 890.2 890.6 888.9 890.7 889 889.7 889.3 890.5 890.2 888.9 890.1 889.2,67.55,67.55,67.56,0,0,0,3,59.45,218
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,588 588.8 590 589 589.1 588.1 587.8 589.1 588.3 589.1 587.9 587.1 585.1 588.7 594.4 586.5 587.3 586.9 587.3 592.8,105.7,105.7,105.7,0,0,0,0,50.65,171
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,360.2 361 361.4 360.8 361.7 358 358.5 358.3 359.1 360.7 358.1 358.1 356.8 357 357.1 357.3 356.9 359 356.9 359.1,70.4,70.41,70.46,0,0,0,1,94.45,519
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,243.6 243 242.9 243.4 242.4 242.4 243 242 242.9 244.1 264.9 252.2 242.7 253.3 242.3 248.4 244.2 243.2 243.6 251.6,61.39,61.4,61.41,0,0,0,3,69.7,361
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,173.8 173.8 176 173.9 165.9 173.3 177.3 176.1 175.8 174.3 166.3 172.1 166.2 177.2 174.2 172.7 165.4 174.4 172 173.7,45.22,45.23,45.23,0,0,0,1,35.15,138
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,149.3 149.7 150.7 150.1 149.7 149.4 149.5 150.4 147.8 149.7 148.9 149.1 148.5 149.5 148.9 147.7 148.4 147.9 148.8 148.7,39.84,39.85,39.85,0,0,0,1,25.9,75
