suite,benchmark,warmup_iterations,batch_size,times,allocs_min,allocs_avg,allocs_max,gc_min,gc_avg,gc_max,comp_min,comp_avg,comp_max
CompilationBenchmarksBig36Nightly,indigo,60,1,24393 23488 23364 23357 23682 24611 24399 24190 24035 24275 24323 23384 23479 24321 24438 23777 24439 24899 24158 23339,3939,3939,3939,0,0,0,926,1072,1378
CompilationBenchmarksBigNightly,caskApp,150,1,589 585.1 559.2 581.1 551.2 550.2 566.9 586.4 592.4 570.8 586.2 591.6 556.1 552.3 559.8 552.8 553.6 554.1 553.6 551.3,111.2,111.2,111.2,0,0,0,4,100.2,323
CompilationBenchmarksBigNightly,dottyUtils,170,1,1067 1067 1066 1066 1067 1066 1066 1071 1067 1103 1066 1064 1066 1066 1067 1066 1064 1064 1074 1076,160,160,160,0,0,0,0,94.35,400
CompilationBenchmarksBigNightly,fansi,150,1,994.3 995.2 994.9 994.6 994.7 998.1 994 996.4 992.3 993.4 992.3 993.3 1057 1040 1016 1000 992.3 999.5 995.2 991.1,163.7,163.8,163.8,0,0,0,308,412.4,800
CompilationBenchmarksBigNightly,parallelCollections,100,1,4609 4609 4617 4611 4609 4608 4610 4609 4608 4610 4609 4609 4609 4661 4608 4732 4665 4646 4761 4609,613.1,613.1,613.1,0,0,0,1,87.95,323
CompilationBenchmarksBigNightly,re2s,120,1,1839 1838 1838 1838 1837 1838 1841 1849 1840 1832 1830 1832 1830 1831 1830 1830 1829 1828 1830 1827,275,275.1,275.1,0,0,0,12,205.9,813
CompilationBenchmarksBigNightly,scalaToday,150,1,3018 3077 3081 3038 3047 3058 3076 3062 3073 3085 2985 2985 2984 2985 2985 2986 2982 2981 2982 2981,463.5,463.5,463.5,0,0,0,18,181.1,342
CompilationBenchmarksBigNightly,scalaYaml,80,1,4236 4236 4235 4235 4287 4295 4286 4285 4285 4285 4284 4285 4284 4284 4321 4330 4322 4304 4324 4293,559.8,559.9,560.1,0,0,0,12,150.8,422
CompilationBenchmarksBigNightly,sourcecode,170,1,889.8 991.8 930.5 911.4 896.5 896 896.4 996.8 939.9 900.7 897.1 897.7 900.2 899.2 893.1 893.6 894.4 896 895.5 896.5,163,163,163.2,0,0,0,0,98.25,397
CompilationBenchmarksBigNightly,tastyQuery,60,1,4869 4867 4866 4867 4862 4859 4859 4855 4855 4922 5168 4937 4878 4857 4855 4853 4853 4854 4852 4849,650.1,650.2,650.3,0,0,0,36,227.7,679
CompilationBenchmarksBigNightly,tictactoe,150,1,1118 1116 1117 1141 1119 1118 1117 1115 1124 1117 1131 1115 1117 1114 1113 1121 1115 1118 1126 1155,219,219.1,219.1,0,0,0,1,169.5,778
CompilationBenchmarksBigWeekly,areWeFastYet,150,1,771.9 772.5 771.2 771.9 771.5 770.7 770.2 769.5 770.3 770.3 769.9 770.4 769.9 769.7 770 768.5 769.4 768.3 770.1 769.2,143.5,143.5,143.5,0,0,0,3,65.7,209
CompilationBenchmarksBigWeekly,parserCombinators,100,1,1576 1567 1568 1564 1570 1568 1562 1580 1574 1562 1560 1564 1564 1577 1581 1574 1589 1600 1646 1626,244.4,244.5,244.6,0,0,0,14,156,488
CompilationBenchmarksBigWeekly,scalaz,60,1,28143 28144 27934 28200 28042 28076 28226 28133 28339 28330 28466 28453 28937 29331 28970 28685 28272 28390 28116 28808,4118,4122,4128,2,2.8,3,5,208.8,825
CompilationBenchmarksSmallNightly,helloWorld,150,1,127.7 126.8 125.6 126.8 125.5 125.4 126 125.7 133.3 127.1 125.9 125.5 125.9 125.4 124.8 127.4 125.5 125.5 124.6 124.2,35.37,35.37,35.38,0,0,0,1,28.5,67
CompilationBenchmarksSmallNightly,implicitInductive,150,1,875.1 875.5 874.7 875.2 873.9 874.7 873.3 873.8 876.5 874.9 875 873.1 873.8 873.2 873.4 873.5 872.6 873.2 872.2 872.7,68.65,68.66,68.67,0,0,0,7,60.95,217
CompilationBenchmarksSmallNightly,matchTypeSort,150,1,588.2 589.4 587.7 596 587 585.1 584.6 583.7 591.9 600.5 601.1 600.6 594.1 600.8 585 585.6 583 583.4 582.6 583.1,106.6,106.6,106.6,0,0,0,6,67.55,301
CompilationBenchmarksSmallNightly,patmatexhaust,150,1,358.4 365.2 356.3 356.2 352.3 351.3 351 352.6 354.1 351 352.1 351.4 350.7 350.5 352 351.4 349.9 351.1 350 349.7,71.71,71.72,71.76,0,0,0,0,81.05,544
CompilationBenchmarksSmallWeekly,exhaustivityI,150,1,242.8 242.9 243.3 242.5 242.7 242.5 241.7 242.5 243.1 240.5 241.8 242.1 241.1 240.2 241.3 267.5 249.2 239.9 243.4 243.9,62.46,62.47,62.49,0,0,0,1,62.5,212
CompilationBenchmarksSmallWeekly,exhaustivityS,150,1,161.3 161.4 161.5 161.2 161.4 161.7 160.4 161.4 161.6 161.4 160.6 160.8 161.1 161.2 159.5 159.8 160.9 160.9 160.7 160.6,45.86,45.86,45.87,0,0,0,0,31.4,112
CompilationBenchmarksSmallWeekly,exhaustivityT,150,1,148.2 147.5 147.5 146.7 146.6 147.6 146.9 147.1 148.2 147.1 147.1 145.7 147.6 146.6 146.2 146.8 146.3 147.6 146.5 146,40.54,40.54,40.54,0,0,0,3,28.65,81
CompilationBenchmarksSmallWeekly,exhaustivityV,150,1,147.5 148.4 147.9 147.7 150.3 149.6 147.3 146.8 147.6 147.5 145.5 147.2 146.5 147.1 145.7 145.4 146.2 145.5 146.6 146,40.78,40.79,40.79,0,0,0,0,33,97
CompilationBenchmarksSmallWeekly,findRef,150,1,115.2 113.8 113.6 113.5 114.9 113.9 113.9 113.5 113.8 112.9 113.3 113 113.4 112.9 114.7 113.1 112.5 112.8 112.7 111.9,31.45,31.46,31.46,0,0,0,3,35.65,114
CompilationBenchmarksSmallWeekly,i1535,150,1,188 187.5 187.1 189.1 187.5 187.4 190.6 189.2 188.9 192.8 189.3 187.7 187.7 187.2 188.1 186.5 185.8 186.4 186.3 185.5,46.1,46.11,46.11,0,0,0,2,53.5,171
CompilationBenchmarksSmallWeekly,i1687,150,1,119 126.2 118.8 118.1 118.6 118.4 118.7 117.7 118.5 118.3 118.4 118.7 118 118.5 118.1 117.5 118.3 118.3 118.7 118.3,34.27,34.27,34.27,0,0,0,0,24.85,90
